"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"AL","Autauga","01001","0100100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",14831,"Republican","Sarah Hicks Stewart",14516
"AL","Autauga","01001","0100100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",14831,"No party","Write-In",315
"AL","Baldwin","01003","0100300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",62478,"Republican","Sarah Hicks Stewart",61450
"AL","Baldwin","01003","0100300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",62478,"No party","Write-In",1028
"AL","Barbour","01005","0100500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4355,"Republican","Sarah Hicks Stewart",4236
"AL","Barbour","01005","0100500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4355,"No party","Write-In",119
"AL","Bibb","01007","0100700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",5433,"Republican","Sarah Hicks Stewart",5365
"AL","Bibb","01007","0100700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",5433,"No party","Write-In",68
"AL","Blount","01009","0100900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",17452,"Republican","Sarah Hicks Stewart",17327
"AL","Blount","01009","0100900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",17452,"No party","Write-In",125
"AL","Bullock","01011","0101100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",951,"Republican","Sarah Hicks Stewart",909
"AL","Bullock","01011","0101100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",951,"No party","Write-In",42
"AL","Butler","01013","0101300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4741,"Republican","Sarah Hicks Stewart",4658
"AL","Butler","01013","0101300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4741,"No party","Write-In",83
"AL","Calhoun","01015","0101500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",26811,"Republican","Sarah Hicks Stewart",26059
"AL","Calhoun","01015","0101500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",26811,"No party","Write-In",752
"AL","Chambers","01017","0101700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6948,"Republican","Sarah Hicks Stewart",6757
"AL","Chambers","01017","0101700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6948,"No party","Write-In",191
"AL","Cherokee","01019","0101900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6921,"Republican","Sarah Hicks Stewart",6870
"AL","Cherokee","01019","0101900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6921,"No party","Write-In",51
"AL","Chilton","01021","0102100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",10588,"Republican","Sarah Hicks Stewart",10517
"AL","Chilton","01021","0102100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",10588,"No party","Write-In",71
"AL","Choctaw","01023","0102300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",3168,"Republican","Sarah Hicks Stewart",3101
"AL","Choctaw","01023","0102300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",3168,"No party","Write-In",67
"AL","Clarke","01025","0102500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6422,"Republican","Sarah Hicks Stewart",6327
"AL","Clarke","01025","0102500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6422,"No party","Write-In",95
"AL","Clay","01027","0102700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4194,"Republican","Sarah Hicks Stewart",4165
"AL","Clay","01027","0102700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4194,"No party","Write-In",29
"AL","Cleburne","01029","0102900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",3927,"Republican","Sarah Hicks Stewart",3907
"AL","Cleburne","01029","0102900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",3927,"No party","Write-In",20
"AL","Coffee","01031","0103100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",12561,"Republican","Sarah Hicks Stewart",12365
"AL","Coffee","01031","0103100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",12561,"No party","Write-In",196
"AL","Colbert","01033","0103300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",13662,"Republican","Sarah Hicks Stewart",13341
"AL","Colbert","01033","0103300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",13662,"No party","Write-In",321
"AL","Conecuh","01035","0103500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",2368,"Republican","Sarah Hicks Stewart",2332
"AL","Conecuh","01035","0103500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",2368,"No party","Write-In",36
"AL","Coosa","01037","0103700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",2888,"Republican","Sarah Hicks Stewart",2839
"AL","Coosa","01037","0103700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",2888,"No party","Write-In",49
"AL","Covington","01039","0103900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",9826,"Republican","Sarah Hicks Stewart",9826
"AL","Crenshaw","01041","0104100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",3706,"Republican","Sarah Hicks Stewart",3669
"AL","Crenshaw","01041","0104100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",3706,"No party","Write-In",37
"AL","Cullman","01043","0104300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",25243,"Republican","Sarah Hicks Stewart",25090
"AL","Cullman","01043","0104300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",25243,"No party","Write-In",153
"AL","Dale","01045","0104500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",10948,"Republican","Sarah Hicks Stewart",10718
"AL","Dale","01045","0104500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",10948,"No party","Write-In",230
"AL","Dallas","01047","0104700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4901,"Republican","Sarah Hicks Stewart",4647
"AL","Dallas","01047","0104700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4901,"No party","Write-In",254
"AL","DeKalb","01049","0104900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",17382,"Republican","Sarah Hicks Stewart",17240
"AL","DeKalb","01049","0104900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",17382,"No party","Write-In",142
"AL","Elmore","01051","0105100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",22581,"Republican","Sarah Hicks Stewart",22255
"AL","Elmore","01051","0105100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",22581,"No party","Write-In",326
"AL","Escambia","01053","0105300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",8115,"Republican","Sarah Hicks Stewart",8115
"AL","Etowah","01055","0105500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",25599,"Republican","Sarah Hicks Stewart",25075
"AL","Etowah","01055","0105500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",25599,"No party","Write-In",524
"AL","Fayette","01057","0105700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",5626,"Republican","Sarah Hicks Stewart",5578
"AL","Fayette","01057","0105700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",5626,"No party","Write-In",48
"AL","Franklin","01059","0105900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6269,"Republican","Sarah Hicks Stewart",6193
"AL","Franklin","01059","0105900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",6269,"No party","Write-In",76
"AL","Geneva","01061","0106100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",7782,"Republican","Sarah Hicks Stewart",7723
"AL","Geneva","01061","0106100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",7782,"No party","Write-In",59
"AL","Greene","01063","0106300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",733,"Republican","Sarah Hicks Stewart",701
"AL","Greene","01063","0106300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",733,"No party","Write-In",32
"AL","Hale","01065","0106500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",2468,"Republican","Sarah Hicks Stewart",2407
"AL","Hale","01065","0106500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",2468,"No party","Write-In",61
"AL","Henry","01067","0106700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4545,"Republican","Sarah Hicks Stewart",4470
"AL","Henry","01067","0106700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4545,"No party","Write-In",75
"AL","Houston","01069","0106900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",24352,"Republican","Sarah Hicks Stewart",23773
"AL","Houston","01069","0106900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",24352,"No party","Write-In",579
"AL","Jackson","01071","0107100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",12332,"Republican","Sarah Hicks Stewart",12212
"AL","Jackson","01071","0107100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",12332,"No party","Write-In",120
"AL","Jefferson","01073","0107300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",141647,"Republican","Sarah Hicks Stewart",131330
"AL","Jefferson","01073","0107300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",141647,"No party","Write-In",10317
"AL","Lamar","01075","0107500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4525,"Republican","Sarah Hicks Stewart",4489
"AL","Lamar","01075","0107500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",4525,"No party","Write-In",36
"AL","Lauderdale","01077","0107700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",21689,"Republican","Sarah Hicks Stewart",21689
"AL","Lawrence","01079","0107900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",8285,"Republican","Sarah Hicks Stewart",8174
"AL","Lawrence","01079","0107900000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",8285,"No party","Write-In",111
"AL","Lee","01081","0108100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",32564,"Republican","Sarah Hicks Stewart",31437
"AL","Lee","01081","0108100000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",32564,"No party","Write-In",1127
"AL","Limestone","01083","0108300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",25040,"Republican","Sarah Hicks Stewart",24331
"AL","Limestone","01083","0108300000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",25040,"No party","Write-In",709
"AL","Lowndes","01085","0108500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",1551,"Republican","Sarah Hicks Stewart",1484
"AL","Lowndes","01085","0108500000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",1551,"No party","Write-In",67
"AL","Macon","01087","0108700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",1682,"Republican","Sarah Hicks Stewart",1508
"AL","Macon","01087","0108700000","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","",1682,"No party","Write-In",174
