"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"AR","Union","05139","0513900000","ALDERMAN - EL DORADO - W1P2","statewide",1103,"unknown","Billy E. Blann",588
"AR","Union","05139","0513900000","ALDERMAN - EL DORADO - W1P2","statewide",1103,"unknown","Robert Henderson",515
"AR","Union","05139","0513900000","ALDERMAN - EL DORADO - W4P1","statewide",1317,"unknown","Patrick D. Frazier",578
"AR","Union","05139","0513900000","ALDERMAN - EL DORADO - W4P1","statewide",1317,"unknown","Paul D. Choate",739
"AR","Union","05139","0513900000","ALDERMAN - FELSENTHAL","statewide",53,"unknown","Amy Linder",35
"AR","Union","05139","0513900000","ALDERMAN - FELSENTHAL","statewide",53,"unknown","Penny Owens",18
"AR","Arkansas","05001","0500100000","Attorney General","statewide",4957,"unknown","Kerry Hicks",94
"AR","Arkansas","05001","0500100000","Attorney General","statewide",4957,"unknown","Leslie Rutledge",3348
"AR","Arkansas","05001","0500100000","Attorney General","statewide",4957,"unknown","Mike Lee",1515
"AR","Ashley","05003","0500300000","Attorney General","statewide",6154,"unknown","Kerry Hicks",103
"AR","Ashley","05003","0500300000","Attorney General","statewide",6154,"unknown","Leslie Rutledge",4133
"AR","Ashley","05003","0500300000","Attorney General","statewide",6154,"unknown","Mike Lee",1918
"AR","Baxter","05005","0500500000","Attorney General","statewide",14315,"unknown","Kerry Hicks",543
"AR","Baxter","05005","0500500000","Attorney General","statewide",14315,"unknown","Leslie Rutledge",10514
"AR","Baxter","05005","0500500000","Attorney General","statewide",14315,"unknown","Mike Lee",3258
"AR","Benton","05007","0500700000","Attorney General","statewide",77210,"unknown","Kerry Hicks",2757
"AR","Benton","05007","0500700000","Attorney General","statewide",77210,"unknown","Leslie Rutledge",50345
"AR","Benton","05007","0500700000","Attorney General","statewide",77210,"unknown","Mike Lee",24108
"AR","Boone","05009","0500900000","Attorney General","statewide",11585,"unknown","Kerry Hicks",290
"AR","Boone","05009","0500900000","Attorney General","statewide",11585,"unknown","Leslie Rutledge",8941
"AR","Boone","05009","0500900000","Attorney General","statewide",11585,"unknown","Mike Lee",2354
"AR","Bradley","05011","0501100000","Attorney General","statewide",2871,"unknown","Kerry Hicks",69
"AR","Bradley","05011","0501100000","Attorney General","statewide",2871,"unknown","Leslie Rutledge",1823
"AR","Bradley","05011","0501100000","Attorney General","statewide",2871,"unknown","Mike Lee",979
"AR","Calhoun","05013","0501300000","Attorney General","statewide",1781,"unknown","Kerry Hicks",34
"AR","Calhoun","05013","0501300000","Attorney General","statewide",1781,"unknown","Leslie Rutledge",1267
"AR","Calhoun","05013","0501300000","Attorney General","statewide",1781,"unknown","Mike Lee",480
"AR","Carroll","05015","0501500000","Attorney General","statewide",8957,"unknown","Kerry Hicks",264
"AR","Carroll","05015","0501500000","Attorney General","statewide",8957,"unknown","Leslie Rutledge",5517
"AR","Carroll","05015","0501500000","Attorney General","statewide",8957,"unknown","Mike Lee",3176
"AR","Chicot","05017","0501700000","Attorney General","statewide",3547,"unknown","Kerry Hicks",48
"AR","Chicot","05017","0501700000","Attorney General","statewide",3547,"unknown","Leslie Rutledge",1523
"AR","Chicot","05017","0501700000","Attorney General","statewide",3547,"unknown","Mike Lee",1976
"AR","Clark","05019","0501900000","Attorney General","statewide",6742,"unknown","Kerry Hicks",133
"AR","Clark","05019","0501900000","Attorney General","statewide",6742,"unknown","Leslie Rutledge",3708
"AR","Clark","05019","0501900000","Attorney General","statewide",6742,"unknown","Mike Lee",2901
"AR","Clay","05021","0502100000","Attorney General","statewide",4113,"unknown","Kerry Hicks",111
"AR","Clay","05021","0502100000","Attorney General","statewide",4113,"unknown","Leslie Rutledge",2983
"AR","Clay","05021","0502100000","Attorney General","statewide",4113,"unknown","Mike Lee",1019
"AR","Cleburne","05023","0502300000","Attorney General","statewide",9635,"unknown","Kerry Hicks",236
"AR","Cleburne","05023","0502300000","Attorney General","statewide",9635,"unknown","Leslie Rutledge",7710
"AR","Cleburne","05023","0502300000","Attorney General","statewide",9635,"unknown","Mike Lee",1689
"AR","Cleveland","05025","0502500000","Attorney General","statewide",2590,"unknown","Kerry Hicks",48
"AR","Cleveland","05025","0502500000","Attorney General","statewide",2590,"unknown","Leslie Rutledge",1993
"AR","Cleveland","05025","0502500000","Attorney General","statewide",2590,"unknown","Mike Lee",549
"AR","Columbia","05027","0502700000","Attorney General","statewide",6326,"unknown","Kerry Hicks",92
"AR","Columbia","05027","0502700000","Attorney General","statewide",6326,"unknown","Leslie Rutledge",3978
"AR","Columbia","05027","0502700000","Attorney General","statewide",6326,"unknown","Mike Lee",2256
"AR","Conway","05029","0502900000","Attorney General","statewide",6461,"unknown","Kerry Hicks",156
"AR","Conway","05029","0502900000","Attorney General","statewide",6461,"unknown","Leslie Rutledge",4014
"AR","Conway","05029","0502900000","Attorney General","statewide",6461,"unknown","Mike Lee",2291
"AR","Craighead","05031","0503100000","Attorney General","statewide",26025,"unknown","Kerry Hicks",680
"AR","Craighead","05031","0503100000","Attorney General","statewide",26025,"unknown","Leslie Rutledge",16934
"AR","Craighead","05031","0503100000","Attorney General","statewide",26025,"unknown","Mike Lee",8411
"AR","Crawford","05033","0503300000","Attorney General","statewide",16845,"unknown","Kerry Hicks",519
"AR","Crawford","05033","0503300000","Attorney General","statewide",16845,"unknown","Leslie Rutledge",12735
"AR","Crawford","05033","0503300000","Attorney General","statewide",16845,"unknown","Mike Lee",3591
"AR","Crittenden","05035","0503500000","Attorney General","statewide",11936,"unknown","Kerry Hicks",212
"AR","Crittenden","05035","0503500000","Attorney General","statewide",11936,"unknown","Leslie Rutledge",5457
"AR","Crittenden","05035","0503500000","Attorney General","statewide",11936,"unknown","Mike Lee",6267
"AR","Cross","05037","0503700000","Attorney General","statewide",5801,"unknown","Kerry Hicks",141
"AR","Cross","05037","0503700000","Attorney General","statewide",5801,"unknown","Leslie Rutledge",3962
"AR","Cross","05037","0503700000","Attorney General","statewide",5801,"unknown","Mike Lee",1698
"AR","Dallas","05039","0503900000","Attorney General","statewide",2112,"unknown","Kerry Hicks",34
"AR","Dallas","05039","0503900000","Attorney General","statewide",2112,"unknown","Leslie Rutledge",1251
"AR","Dallas","05039","0503900000","Attorney General","statewide",2112,"unknown","Mike Lee",827
"AR","Desha","05041","0504100000","Attorney General","statewide",3463,"unknown","Kerry Hicks",79
"AR","Desha","05041","0504100000","Attorney General","statewide",3463,"unknown","Leslie Rutledge",1708
"AR","Desha","05041","0504100000","Attorney General","statewide",3463,"unknown","Mike Lee",1676
"AR","Drew","05043","0504300000","Attorney General","statewide",5401,"unknown","Kerry Hicks",102
"AR","Drew","05043","0504300000","Attorney General","statewide",5401,"unknown","Leslie Rutledge",3422
"AR","Drew","05043","0504300000","Attorney General","statewide",5401,"unknown","Mike Lee",1877
"AR","Faulkner","05045","0504500000","Attorney General","statewide",38459,"unknown","Kerry Hicks",1245
"AR","Faulkner","05045","0504500000","Attorney General","statewide",38459,"unknown","Leslie Rutledge",24241
