"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"AZ","Apache","04001","0400100000","governor","statewide",25049,"Republican Takeover Party","Arvizu, Arthur Ray 'RT' (write-in)",0
"AZ","Apache","04001","0400100000","governor","statewide",25049,"Green","Dolego, Cary D (write-in)",3
"AZ","Apache","04001","0400100000","governor","statewide",25049,"Republican","Ducey, Doug",9175
"AZ","Apache","04001","0400100000","governor","statewide",25049,"Democrat","Garcia, David",14955
"AZ","Apache","04001","0400100000","governor","statewide",25049,"Humanitarian Party","Gibson, James 'MarvelMan' (write-in)",0
"AZ","Apache","04001","0400100000","governor","statewide",25049,"No party","Komor, Christian (write-in)",2
"AZ","Apache","04001","0400100000","governor","statewide",25049,"No party","Masoya, Patrick (write-in)",2
"AZ","Apache","04001","0400100000","governor","statewide",25049,"Green","Torres, Angel",912
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"Republican Takeover Party","Arvizu, Arthur Ray 'RT' (write-in)",0
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"Green","Dolego, Cary D (write-in)",1
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"Republican","Ducey, Doug",29638
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"Democrat","Garcia, David",14576
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"Humanitarian Party","Gibson, James 'MarvelMan' (write-in)",2
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"No party","Komor, Christian (write-in)",3
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"No party","Masoya, Patrick (write-in)",3
"AZ","Cochise","04003","0400300000","governor","statewide",45424,"Green","Torres, Angel",1201
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"Republican Takeover Party","Arvizu, Arthur Ray 'RT' (write-in)",0
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"Green","Dolego, Cary D (write-in)",1
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"Republican","Ducey, Doug",22778
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"Democrat","Garcia, David",30712
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"Humanitarian Party","Gibson, James 'MarvelMan' (write-in)",1
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"No party","Komor, Christian (write-in)",5
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"No party","Masoya, Patrick (write-in)",9
"AZ","Coconino","04005","0400500000","governor","statewide",54946,"Green","Torres, Angel",1440
"AZ","Gila","04007","0400700000","governor","statewide",20535,"Republican Takeover Party","Arvizu, Arthur Ray 'RT' (write-in)",0
"AZ","Gila","04007","0400700000","governor","statewide",20535,"Green","Dolego, Cary D (write-in)",0
"AZ","Gila","04007","0400700000","governor","statewide",20535,"Republican","Ducey, Doug",14444
"AZ","Gila","04007","0400700000","governor","statewide",20535,"Democrat","Garcia, David",5623
"AZ","Gila","04007","0400700000","governor","statewide",20535,"Humanitarian Party","Gibson, James 'MarvelMan' (write-in)",0
"AZ","Gila","04007","0400700000","governor","statewide",20535,"No party","Komor, Christian (write-in)",0
"AZ","Gila","04007","0400700000","governor","statewide",20535,"No party","Masoya, Patrick (write-in)",0
"AZ","Gila","04007","0400700000","governor","statewide",20535,"Green","Torres, Angel",468
"AZ","Graham","04009","0400900000","governor","statewide",10624,"Republican Takeover Party","Arvizu, Arthur Ray 'RT' (write-in)",0
"AZ","Graham","04009","0400900000","governor","statewide",10624,"Green","Dolego, Cary D (write-in)",0
"AZ","Graham","04009","0400900000","governor","statewide",10624,"Republican","Ducey, Doug",7776
"AZ","Graham","04009","0400900000","governor","statewide",10624,"Democrat","Garcia, David",2569
"AZ","Graham","04009","0400900000","governor","statewide",10624,"Humanitarian Party","Gibson, James 'MarvelMan' (write-in)",0
"AZ","Graham","04009","0400900000","governor","statewide",10624,"No party","Komor, Christian (write-in)",1
"AZ","Graham","04009","0400900000","governor","statewide",10624,"No party","Masoya, Patrick (write-in)",2
"AZ","Graham","04009","0400900000","governor","statewide",10624,"Green","Torres, Angel",276
"AZ","Greenlee","04011","0401100000","governor","statewide",2549,"Republican Takeover Party","Arvizu, Arthur Ray 'RT' (write-in)",0
"AZ","Greenlee","04011","0401100000","governor","statewide",2549,"Green","Dolego, Cary D (write-in)",0
"AZ","Greenlee","04011","0401100000","governor","statewide",2549,"Republican","Ducey, Doug",1637
"AZ","Greenlee","04011","0401100000","governor","statewide",2549,"Democrat","Garcia, David",832
