"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"CA","Alameda","06001","0600100000","Attorney General","statewide",561768,"Republican","Steven C Bailey",105114
"CA","Alameda","06001","0600100000","Attorney General","statewide",561768,"Democrat","Xavier Becerra",456654
"CA","Alpine","06003","0600300000","Attorney General","statewide",612,"Republican","Steven C Bailey",213
"CA","Alpine","06003","0600300000","Attorney General","statewide",612,"Democrat","Xavier Becerra",399
"CA","Amador","06005","0600500000","Attorney General","statewide",17279,"Republican","Steven C Bailey",10828
"CA","Amador","06005","0600500000","Attorney General","statewide",17279,"Democrat","Xavier Becerra",6451
"CA","Butte","06007","0600700000","Attorney General","statewide",87165,"Republican","Steven C Bailey",44509
"CA","Butte","06007","0600700000","Attorney General","statewide",87165,"Democrat","Xavier Becerra",42656
"CA","Calaveras","06009","0600900000","Attorney General","statewide",21120,"Republican","Steven C Bailey",13058
"CA","Calaveras","06009","0600900000","Attorney General","statewide",21120,"Democrat","Xavier Becerra",8062
"CA","Colusa","06011","0601100000","Attorney General","statewide",5655,"Republican","Steven C Bailey",3449
"CA","Colusa","06011","0601100000","Attorney General","statewide",5655,"Democrat","Xavier Becerra",2206
"CA","Contra Costa","06013","0601300000","Attorney General","statewide",403930,"Republican","Steven C Bailey",125397
"CA","Contra Costa","06013","0601300000","Attorney General","statewide",403930,"Democrat","Xavier Becerra",278533
"CA","Del Norte","06015","0601500000","Attorney General","statewide",8261,"Republican","Steven C Bailey",4738
"CA","Del Norte","06015","0601500000","Attorney General","statewide",8261,"Democrat","Xavier Becerra",3523
"CA","El Dorado","06017","0601700000","Attorney General","statewide",87862,"Republican","Steven C Bailey",50908
"CA","El Dorado","06017","0601700000","Attorney General","statewide",87862,"Democrat","Xavier Becerra",36954
"CA","Fresno","06019","0601900000","Attorney General","statewide",249105,"Republican","Steven C Bailey",121439
"CA","Fresno","06019","0601900000","Attorney General","statewide",249105,"Democrat","Xavier Becerra",127666
"CA","Glenn","06021","0602100000","Attorney General","statewide",8217,"Republican","Steven C Bailey",5566
"CA","Glenn","06021","0602100000","Attorney General","statewide",8217,"Democrat","Xavier Becerra",2651
"CA","Humboldt","06023","0602300000","Attorney General","statewide",52031,"Republican","Steven C Bailey",17695
"CA","Humboldt","06023","0602300000","Attorney General","statewide",52031,"Democrat","Xavier Becerra",34336
"CA","Imperial","06025","0602500000","Attorney General","statewide",33111,"Republican","Steven C Bailey",11176
"CA","Imperial","06025","0602500000","Attorney General","statewide",33111,"Democrat","Xavier Becerra",21935
"CA","Inyo","06027","0602700000","Attorney General","statewide",7192,"Republican","Steven C Bailey",3871
"CA","Inyo","06027","0602700000","Attorney General","statewide",7192,"Democrat","Xavier Becerra",3321
"CA","Kern","06029","0602900000","Attorney General","statewide",201167,"Republican","Steven C Bailey",116403
"CA","Kern","06029","0602900000","Attorney General","statewide",201167,"Democrat","Xavier Becerra",84764
"CA","Kings","06031","0603100000","Attorney General","statewide",29942,"Republican","Steven C Bailey",17316
"CA","Kings","06031","0603100000","Attorney General","statewide",29942,"Democrat","Xavier Becerra",12626
"CA","Lake","06033","0603300000","Attorney General","statewide",20815,"Republican","Steven C Bailey",9603
"CA","Lake","06033","0603300000","Attorney General","statewide",20815,"Democrat","Xavier Becerra",11212
"CA","Lassen","06035","0603500000","Attorney General","statewide",8922,"Republican","Steven C Bailey",6821
"CA","Lassen","06035","0603500000","Attorney General","statewide",8922,"Democrat","Xavier Becerra",2101
"CA","Los Angeles","06037","0603700000","Attorney General","statewide",2896350,"Republican","Steven C Bailey",755785
"CA","Los Angeles","06037","0603700000","Attorney General","statewide",2896350,"Democrat","Xavier Becerra",2140565
"CA","Madera","06039","0603900000","Attorney General","statewide",38078,"Republican","Steven C Bailey",22470
"CA","Madera","06039","0603900000","Attorney General","statewide",38078,"Democrat","Xavier Becerra",15608
"CA","Marin","06041","0604100000","Attorney General","statewide",127134,"Republican","Steven C Bailey",25501
"CA","Marin","06041","0604100000","Attorney General","statewide",127134,"Democrat","Xavier Becerra",101633
"CA","Mariposa","06043","0604300000","Attorney General","statewide",8176,"Republican","Steven C Bailey",4948
"CA","Mariposa","06043","0604300000","Attorney General","statewide",8176,"Democrat","Xavier Becerra",3228
"CA","Mendocino","06045","0604500000","Attorney General","statewide",32859,"Republican","Steven C Bailey",10370
"CA","Mendocino","06045","0604500000","Attorney General","statewide",32859,"Democrat","Xavier Becerra",22489
"CA","Merced","06047","0604700000","Attorney General","statewide",58404,"Republican","Steven C Bailey",26777
"CA","Merced","06047","0604700000","Attorney General","statewide",58404,"Democrat","Xavier Becerra",31627
"CA","Modoc","06049","0604900000","Attorney General","statewide",3418,"Republican","Steven C Bailey",2533
"CA","Modoc","06049","0604900000","Attorney General","statewide",3418,"Democrat","Xavier Becerra",885
"CA","Mono","06051","0605100000","Attorney General","statewide",4812,"Republican","Steven C Bailey",2064
"CA","Mono","06051","0605100000","Attorney General","statewide",4812,"Democrat","Xavier Becerra",2748
"CA","Monterey","06053","0605300000","Attorney General","statewide",114970,"Republican","Steven C Bailey",37374
"CA","Monterey","06053","0605300000","Attorney General","statewide",114970,"Democrat","Xavier Becerra",77596
"CA","Napa","06055","0605500000","Attorney General","statewide",55405,"Republican","Steven C Bailey",18800
"CA","Napa","06055","0605500000","Attorney General","statewide",55405,"Democrat","Xavier Becerra",36605
"CA","Nevada","06057","0605700000","Attorney General","statewide",53318,"Republican","Steven C Bailey",24240
"CA","Nevada","06057","0605700000","Attorney General","statewide",53318,"Democrat","Xavier Becerra",29078
"CA","Orange","06059","0605900000","Attorney General","statewide",1064783,"Republican","Steven C Bailey",514686
"CA","Orange","06059","0605900000","Attorney General","statewide",1064783,"Democrat","Xavier Becerra",550097
"CA","Placer","06061","0606100000","Attorney General","statewide",172753,"Republican","Steven C Bailey",98897
"CA","Placer","06061","0606100000","Attorney General","statewide",172753,"Democrat","Xavier Becerra",73856
"CA","Plumas","06063","0606300000","Attorney General","statewide",9069,"Republican","Steven C Bailey",5535
"CA","Plumas","06063","0606300000","Attorney General","statewide",9069,"Democrat","Xavier Becerra",3534
"CA","Riverside","06065","0606500000","Attorney General","statewide",635293,"Republican","Steven C Bailey",307642
"CA","Riverside","06065","0606500000","Attorney General","statewide",635293,"Democrat","Xavier Becerra",327651
"CA","Sacramento","06067","0606700000","Attorney General","statewide",508229,"Republican","Steven C Bailey",199420
"CA","Sacramento","06067","0606700000","Attorney General","statewide",508229,"Democrat","Xavier Becerra",308809
"CA","San Benito","06069","0606900000","Attorney General","statewide",19898,"Republican","Steven C Bailey",8122
"CA","San Benito","06069","0606900000","Attorney General","statewide",19898,"Democrat","Xavier Becerra",11776
"CA","San Bernardino","06071","0607100000","Attorney General","statewide",530712,"Republican","Steven C Bailey",245656
"CA","San Bernardino","06071","0607100000","Attorney General","statewide",530712,"Democrat","Xavier Becerra",285056
"CA","San Diego","06073","0607300000","Attorney General","statewide",1130635,"Republican","Steven C Bailey",467738
"CA","San Diego","06073","0607300000","Attorney General","statewide",1130635,"Democrat","Xavier Becerra",662897
"CA","San Francisco","06075","0607500000","Attorney General","statewide",352571,"Republican","Steven C Bailey",47070
"CA","San Francisco","06075","0607500000","Attorney General","statewide",352571,"Democrat","Xavier Becerra",305501
