"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"CO","Kit Carson","08063","0806300000","13th Judicial District Referred Ballot Question 7A","",2871,"","No",2110
"CO","Kit Carson","08063","0806300000","13th Judicial District Referred Ballot Question 7A","",2871,"","Yes",761
"CO","Logan","08075","0807500000","13th Judicial District Referred Ballot Question 7A","",8267,"","No",5892
"CO","Logan","08075","0807500000","13th Judicial District Referred Ballot Question 7A","",8267,"","Yes",2375
"CO","Morgan","08087","0808700000","13th Judicial District Referred Ballot Question 7A","",10103,"","No",7339
"CO","Morgan","08087","0808700000","13th Judicial District Referred Ballot Question 7A","",10103,"","Yes",2764
"CO","Phillips","08095","0809500000","13th Judicial District Referred Ballot Question 7A","",1893,"","No",1329
"CO","Phillips","08095","0809500000","13th Judicial District Referred Ballot Question 7A","",1893,"","Yes",564
"CO","Sedgwick","08115","0811500000","13th Judicial District Referred Ballot Question 7A","",1174,"","No",784
"CO","Sedgwick","08115","0811500000","13th Judicial District Referred Ballot Question 7A","",1174,"","Yes",390
"CO","Washington","08121","0812100000","13th Judicial District Referred Ballot Question 7A","",2308,"","No",1716
"CO","Washington","08121","0812100000","13th Judicial District Referred Ballot Question 7A","",2308,"","Yes",592
"CO","Yuma","08125","0812500000","13th Judicial District Referred Ballot Question 7A","",3792,"","No",2851
"CO","Yuma","08125","0812500000","13th Judicial District Referred Ballot Question 7A","",3792,"","Yes",941
"CO","Bent","08011","0801100000","16th Judicial District Ballot Question 7A","",1822,"","No",1134
"CO","Bent","08011","0801100000","16th Judicial District Ballot Question 7A","",1822,"","Yes",688
"CO","Crowley","08025","0802500000","16th Judicial District Ballot Question 7A","",1286,"","No",881
"CO","Crowley","08025","0802500000","16th Judicial District Ballot Question 7A","",1286,"","Yes",405
"CO","Otero","08089","0808900000","16th Judicial District Ballot Question 7A","",7028,"","No",4108
"CO","Otero","08089","0808900000","16th Judicial District Ballot Question 7A","",7028,"","Yes",2920
"CO","Bent","08011","0801100000","16th Judicial District Ballot Question 7B","",1767,"","No",1243
"CO","Bent","08011","0801100000","16th Judicial District Ballot Question 7B","",1767,"","Yes",524
"CO","Crowley","08025","0802500000","16th Judicial District Ballot Question 7B","",1281,"","No",940
"CO","Crowley","08025","0802500000","16th Judicial District Ballot Question 7B","",1281,"","Yes",341
"CO","Otero","08089","0808900000","16th Judicial District Ballot Question 7B","",7003,"","No",4768
"CO","Otero","08089","0808900000","16th Judicial District Ballot Question 7B","",7003,"","Yes",2235
"CO","Dolores","08033","0803300000","22nd Judicial District Ballot Question 7A","",1105,"","No",782
"CO","Dolores","08033","0803300000","22nd Judicial District Ballot Question 7A","",1105,"","Yes",323
"CO","Montezuma","08083","0808300000","22nd Judicial District Ballot Question 7A","",10754,"","No",6843
"CO","Montezuma","08083","0808300000","22nd Judicial District Ballot Question 7A","",10754,"","Yes",3911
"CO","Adams","08001","0800100000","Adams-Arapahoe School District 28J Ballot Issue 5A","",8911,"","No",3545
"CO","Adams","08001","0800100000","Adams-Arapahoe School District 28J Ballot Issue 5A","",8911,"","Yes",5366
"CO","Arapahoe","08005","0800500000","Adams-Arapahoe School District 28J Ballot Issue 5A","",54784,"","No",21909
"CO","Arapahoe","08005","0800500000","Adams-Arapahoe School District 28J Ballot Issue 5A","",54784,"","Yes",32875
"CO","Adams","08001","0800100000","Adams 12 Five Star Schools Ballot Issue 5C","",73677,"","No",32173
"CO","Adams","08001","0800100000","Adams 12 Five Star Schools Ballot Issue 5C","",73677,"","Yes",41504
"CO","Broomfield","08014","0801400000","Adams 12 Five Star Schools Ballot Issue 5C","",17830,"","No",7815
"CO","Broomfield","08014","0801400000","Adams 12 Five Star Schools Ballot Issue 5C","",17830,"","Yes",10015
"CO","Adams","08001","0800100000","Adams County Court Judge - Bowen","",136283,"","No",42316
"CO","Adams","08001","0800100000","Adams County Court Judge - Bowen","",136283,"","Yes",93967
"CO","Adams","08001","0800100000","Adams County Court Judge - Cox","",136495,"","No",42095
"CO","Adams","08001","0800100000","Adams County Court Judge - Cox","",136495,"","Yes",94400
"CO","Adams","08001","0800100000","Adams County Court Judge - Dang","",136766,"","No",53350
"CO","Adams","08001","0800100000","Adams County Court Judge - Dang","",136766,"","Yes",83416
"CO","Adams","08001","0800100000","Adams County Court Judge - Howell","",136192,"","No",62100
"CO","Adams","08001","0800100000","Adams County Court Judge - Howell","",136192,"","Yes",74092
"CO","Adams","08001","0800100000","Adams County Court Judge - Romano","",136653,"","No",39249
"CO","Adams","08001","0800100000","Adams County Court Judge - Romano","",136653,"","Yes",97404
"CO","Adams","08001","0800100000","Adams County Court Judge - Roybal","",136258,"","No",39344
"CO","Adams","08001","0800100000","Adams County Court Judge - Roybal","",136258,"","Yes",96914
"CO","Alamosa","08003","0800300000","Alamosa County Court Judge - Walzl","",5427,"","No",1153
"CO","Alamosa","08003","0800300000","Alamosa County Court Judge - Walzl","",5427,"","Yes",4274
"CO","Adams","08001","0800100000","Amendment 73 (CONSTITUTIONAL)","statewide",164514,"","No",87753
"CO","Adams","08001","0800100000","Amendment 73 (CONSTITUTIONAL)","statewide",164514,"","Yes",76761
"CO","Alamosa","08003","0800300000","Amendment 73 (CONSTITUTIONAL)","statewide",5858,"","No",3321
"CO","Alamosa","08003","0800300000","Amendment 73 (CONSTITUTIONAL)","statewide",5858,"","Yes",2537
"CO","Arapahoe","08005","0800500000","Amendment 73 (CONSTITUTIONAL)","statewide",259388,"","No",135625
"CO","Arapahoe","08005","0800500000","Amendment 73 (CONSTITUTIONAL)","statewide",259388,"","Yes",123763
"CO","Archuleta","08007","0800700000","Amendment 73 (CONSTITUTIONAL)","statewide",6470,"","No",3659
"CO","Archuleta","08007","0800700000","Amendment 73 (CONSTITUTIONAL)","statewide",6470,"","Yes",2811
"CO","Baca","08009","0800900000","Amendment 73 (CONSTITUTIONAL)","statewide",1808,"","No",1303
"CO","Baca","08009","0800900000","Amendment 73 (CONSTITUTIONAL)","statewide",1808,"","Yes",505
"CO","Bent","08011","0801100000","Amendment 73 (CONSTITUTIONAL)","statewide",1833,"","No",1267
"CO","Bent","08011","0801100000","Amendment 73 (CONSTITUTIONAL)","statewide",1833,"","Yes",566
"CO","Boulder","08013","0801300000","Amendment 73 (CONSTITUTIONAL)","statewide",168856,"","No",62329
"CO","Boulder","08013","0801300000","Amendment 73 (CONSTITUTIONAL)","statewide",168856,"","Yes",106527
"CO","Broomfield","08014","0801400000","Amendment 73 (CONSTITUTIONAL)","statewide",35393,"","No",17528
