"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"CT","Andover","09013","0901301080","Attorney General","statewide",1610,"Green","Peter D Goselin",32
"CT","Andover","09013","0901301080","Attorney General","statewide",1610,"Independent","Sue Hatfield",37
"CT","Andover","09013","0901301080","Attorney General","statewide",1610,"Republican","Sue Hatfield",855
"CT","Andover","09013","0901301080","Attorney General","statewide",1610,"Democrat","William Tong",649
"CT","Andover","09013","0901301080","Attorney General","statewide",1610,"Working Families","William Tong",37
"CT","Ansonia","09009","0900901220","Attorney General","statewide",6022,"Green","Peter D Goselin",71
"CT","Ansonia","09009","0900901220","Attorney General","statewide",6022,"Independent","Sue Hatfield",162
"CT","Ansonia","09009","0900901220","Attorney General","statewide",6022,"Republican","Sue Hatfield",2937
"CT","Ansonia","09009","0900901220","Attorney General","statewide",6022,"Democrat","William Tong",2704
"CT","Ansonia","09009","0900901220","Attorney General","statewide",6022,"Working Families","William Tong",148
"CT","Ashford","09015","0901501430","Attorney General","statewide",2026,"Green","Peter D Goselin",27
"CT","Ashford","09015","0901501430","Attorney General","statewide",2026,"Independent","Sue Hatfield",32
"CT","Ashford","09015","0901501430","Attorney General","statewide",2026,"Republican","Sue Hatfield",989
"CT","Ashford","09015","0901501430","Attorney General","statewide",2026,"Democrat","William Tong",923
"CT","Ashford","09015","0901501430","Attorney General","statewide",2026,"Working Families","William Tong",55
"CT","Avon","09003","0900302060","Attorney General","statewide",9575,"Green","Peter D Goselin",70
"CT","Avon","09003","0900302060","Attorney General","statewide",9575,"Independent","Sue Hatfield",164
"CT","Avon","09003","0900302060","Attorney General","statewide",9575,"Republican","Sue Hatfield",4629
"CT","Avon","09003","0900302060","Attorney General","statewide",9575,"Democrat","William Tong",4591
"CT","Avon","09003","0900302060","Attorney General","statewide",9575,"Working Families","William Tong",121
"CT","Barkhamsted","09005","0900502760","Attorney General","statewide",1956,"Green","Peter D Goselin",23
"CT","Barkhamsted","09005","0900502760","Attorney General","statewide",1956,"Independent","Sue Hatfield",53
"CT","Barkhamsted","09005","0900502760","Attorney General","statewide",1956,"Republican","Sue Hatfield",1095
"CT","Barkhamsted","09005","0900502760","Attorney General","statewide",1956,"Democrat","William Tong",755
"CT","Barkhamsted","09005","0900502760","Attorney General","statewide",1956,"Working Families","William Tong",30
"CT","Beacon Falls","09009","0900903250","Attorney General","statewide",2818,"Green","Peter D Goselin",27
"CT","Beacon Falls","09009","0900903250","Attorney General","statewide",2818,"Independent","Sue Hatfield",65
"CT","Beacon Falls","09009","0900903250","Attorney General","statewide",2818,"Republican","Sue Hatfield",1757
"CT","Beacon Falls","09009","0900903250","Attorney General","statewide",2818,"Democrat","William Tong",922
"CT","Beacon Falls","09009","0900903250","Attorney General","statewide",2818,"Working Families","William Tong",47
"CT","Berlin","09003","0900304300","Attorney General","statewide",9624,"Green","Peter D Goselin",123
"CT","Berlin","09003","0900304300","Attorney General","statewide",9624,"Independent","Sue Hatfield",201
"CT","Berlin","09003","0900304300","Attorney General","statewide",9624,"Republican","Sue Hatfield",5366
"CT","Berlin","09003","0900304300","Attorney General","statewide",9624,"Democrat","William Tong",3792
"CT","Berlin","09003","0900304300","Attorney General","statewide",9624,"Working Families","William Tong",142
"CT","Bethany","09009","0900904580","Attorney General","statewide",3039,"Green","Peter D Goselin",35
"CT","Bethany","09009","0900904580","Attorney General","statewide",3039,"Independent","Sue Hatfield",41
"CT","Bethany","09009","0900904580","Attorney General","statewide",3039,"Republican","Sue Hatfield",1613
"CT","Bethany","09009","0900904580","Attorney General","statewide",3039,"Democrat","William Tong",1287
"CT","Bethany","09009","0900904580","Attorney General","statewide",3039,"Working Families","William Tong",63
"CT","Bethel","09001","0900104720","Attorney General","statewide",8480,"Green","Peter D Goselin",76
"CT","Bethel","09001","0900104720","Attorney General","statewide",8480,"Independent","Sue Hatfield",221
"CT","Bethel","09001","0900104720","Attorney General","statewide",8480,"Republican","Sue Hatfield",4004
"CT","Bethel","09001","0900104720","Attorney General","statewide",8480,"Democrat","William Tong",4015
"CT","Bethel","09001","0900104720","Attorney General","statewide",8480,"Working Families","William Tong",164
"CT","Bethlehem","09005","0900504930","Attorney General","statewide",2029,"Green","Peter D Goselin",17
"CT","Bethlehem","09005","0900504930","Attorney General","statewide",2029,"Independent","Sue Hatfield",39
"CT","Bethlehem","09005","0900504930","Attorney General","statewide",2029,"Republican","Sue Hatfield",1252
"CT","Bethlehem","09005","0900504930","Attorney General","statewide",2029,"Democrat","William Tong",696
"CT","Bethlehem","09005","0900504930","Attorney General","statewide",2029,"Working Families","William Tong",25
"CT","Bloomfield","09003","0900305910","Attorney General","statewide",10163,"Green","Peter D Goselin",96
"CT","Bloomfield","09003","0900305910","Attorney General","statewide",10163,"Independent","Sue Hatfield",110
"CT","Bloomfield","09003","0900305910","Attorney General","statewide",10163,"Republican","Sue Hatfield",1835
"CT","Bloomfield","09003","0900305910","Attorney General","statewide",10163,"Democrat","William Tong",7943
"CT","Bloomfield","09003","0900305910","Attorney General","statewide",10163,"Working Families","William Tong",179
"CT","Bolton","09013","0901306260","Attorney General","statewide",2666,"Green","Peter D Goselin",35
"CT","Bolton","09013","0901306260","Attorney General","statewide",2666,"Independent","Sue Hatfield",48
"CT","Bolton","09013","0901306260","Attorney General","statewide",2666,"Republican","Sue Hatfield",1413
"CT","Bolton","09013","0901306260","Attorney General","statewide",2666,"Democrat","William Tong",1131
"CT","Bolton","09013","0901306260","Attorney General","statewide",2666,"Working Families","William Tong",39
"CT","Bozrah","09011","0901106820","Attorney General","statewide",1162,"Green","Peter D Goselin",12
"CT","Bozrah","09011","0901106820","Attorney General","statewide",1162,"Independent","Sue Hatfield",51
"CT","Bozrah","09011","0901106820","Attorney General","statewide",1162,"Republican","Sue Hatfield",672
"CT","Bozrah","09011","0901106820","Attorney General","statewide",1162,"Democrat","William Tong",411
"CT","Bozrah","09011","0901106820","Attorney General","statewide",1162,"Working Families","William Tong",16
"CT","Branford","09009","0900907310","Attorney General","statewide",13888,"Green","Peter D Goselin",110
"CT","Branford","09009","0900907310","Attorney General","statewide",13888,"Independent","Sue Hatfield",248
"CT","Branford","09009","0900907310","Attorney General","statewide",13888,"Republican","Sue Hatfield",6159
"CT","Branford","09009","0900907310","Attorney General","statewide",13888,"Democrat","William Tong",7133
"CT","Branford","09009","0900907310","Attorney General","statewide",13888,"Working Families","William Tong",238
"CT","Bridgeport","09001","0900108070","Attorney General","statewide",27819,"Green","Peter D Goselin",219
"CT","Bridgeport","09001","0900108070","Attorney General","statewide",27819,"Independent","Sue Hatfield",239
"CT","Bridgeport","09001","0900108070","Attorney General","statewide",27819,"Republican","Sue Hatfield",4507
"CT","Bridgeport","09001","0900108070","Attorney General","statewide",27819,"Democrat","William Tong",22393
"CT","Bridgeport","09001","0900108070","Attorney General","statewide",27819,"Working Families","William Tong",461
"CT","Bridgewater","09005","0900508210","Attorney General","statewide",1047,"Green","Peter D Goselin",10
"CT","Bridgewater","09005","0900508210","Attorney General","statewide",1047,"Independent","Sue Hatfield",20
"CT","Bridgewater","09005","0900508210","Attorney General","statewide",1047,"Republican","Sue Hatfield",535
"CT","Bridgewater","09005","0900508210","Attorney General","statewide",1047,"Democrat","William Tong",472
"CT","Bridgewater","09005","0900508210","Attorney General","statewide",1047,"Working Families","William Tong",10
"CT","Bristol","09003","0900308490","Attorney General","statewide",21104,"Green","Peter D Goselin",263
"CT","Bristol","09003","0900308490","Attorney General","statewide",21104,"Independent","Sue Hatfield",509
"CT","Bristol","09003","0900308490","Attorney General","statewide",21104,"Republican","Sue Hatfield",10883
"CT","Bristol","09003","0900308490","Attorney General","statewide",21104,"Democrat","William Tong",9157
"CT","Bristol","09003","0900308490","Attorney General","statewide",21104,"Working Families","William Tong",292
"CT","Brookfield","09001","0900108980","Attorney General","statewide",8114,"Green","Peter D Goselin",62
"CT","Brookfield","09001","0900108980","Attorney General","statewide",8114,"Independent","Sue Hatfield",167
"CT","Brookfield","09001","0900108980","Attorney General","statewide",8114,"Republican","Sue Hatfield",4297
"CT","Brookfield","09001","0900108980","Attorney General","statewide",8114,"Democrat","William Tong",3463
