"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"FL","Alachua","12001","1200100000","Attorney General","statewide",113511,"Republican","Moody, Ashley",43897
"FL","Alachua","12001","1200100000","Attorney General","statewide",113511,"Democrat","Shaw, Sean",67657
"FL","Alachua","12001","1200100000","Attorney General","statewide",113511,"No Affiliation","Siskind, Jeffrey Marc",1957
"FL","Baker","12003","1200300000","Attorney General","statewide",10476,"Republican","Moody, Ashley",8777
"FL","Baker","12003","1200300000","Attorney General","statewide",10476,"Democrat","Shaw, Sean",1605
"FL","Baker","12003","1200300000","Attorney General","statewide",10476,"No Affiliation","Siskind, Jeffrey Marc",94
"FL","Bay","12005","1200500000","Attorney General","statewide",62871,"Republican","Moody, Ashley",46313
"FL","Bay","12005","1200500000","Attorney General","statewide",62871,"Democrat","Shaw, Sean",15458
"FL","Bay","12005","1200500000","Attorney General","statewide",62871,"No Affiliation","Siskind, Jeffrey Marc",1100
"FL","Bradford","12007","1200700000","Attorney General","statewide",10385,"Republican","Moody, Ashley",7791
"FL","Bradford","12007","1200700000","Attorney General","statewide",10385,"Democrat","Shaw, Sean",2423
"FL","Bradford","12007","1200700000","Attorney General","statewide",10385,"No Affiliation","Siskind, Jeffrey Marc",171
"FL","Brevard","12009","1200900000","Attorney General","statewide",279111,"Republican","Moody, Ashley",168379
"FL","Brevard","12009","1200900000","Attorney General","statewide",279111,"Democrat","Shaw, Sean",105093
"FL","Brevard","12009","1200900000","Attorney General","statewide",279111,"No Affiliation","Siskind, Jeffrey Marc",5639
"FL","Broward","12011","1201100000","Attorney General","statewide",698526,"Republican","Moody, Ashley",220278
"FL","Broward","12011","1201100000","Attorney General","statewide",698526,"Democrat","Shaw, Sean",467982
"FL","Broward","12011","1201100000","Attorney General","statewide",698526,"No Affiliation","Siskind, Jeffrey Marc",10266
"FL","Calhoun","12013","1201300000","Attorney General","statewide",4559,"Republican","Moody, Ashley",3531
"FL","Calhoun","12013","1201300000","Attorney General","statewide",4559,"Democrat","Shaw, Sean",947
"FL","Calhoun","12013","1201300000","Attorney General","statewide",4559,"No Affiliation","Siskind, Jeffrey Marc",81
"FL","Charlotte","12015","1201500000","Attorney General","statewide",85376,"Republican","Moody, Ashley",55028
"FL","Charlotte","12015","1201500000","Attorney General","statewide",85376,"Democrat","Shaw, Sean",28427
"FL","Charlotte","12015","1201500000","Attorney General","statewide",85376,"No Affiliation","Siskind, Jeffrey Marc",1921
"FL","Citrus","12017","1201700000","Attorney General","statewide",70399,"Republican","Moody, Ashley",49669
"FL","Citrus","12017","1201700000","Attorney General","statewide",70399,"Democrat","Shaw, Sean",19026
"FL","Citrus","12017","1201700000","Attorney General","statewide",70399,"No Affiliation","Siskind, Jeffrey Marc",1704
"FL","Clay","12019","1201900000","Attorney General","statewide",92676,"Republican","Moody, Ashley",66401
"FL","Clay","12019","1201900000","Attorney General","statewide",92676,"Democrat","Shaw, Sean",24791
"FL","Clay","12019","1201900000","Attorney General","statewide",92676,"No Affiliation","Siskind, Jeffrey Marc",1484
"FL","Collier","12021","1202100000","Attorney General","statewide",153806,"Republican","Moody, Ashley",102682
"FL","Collier","12021","1202100000","Attorney General","statewide",153806,"Democrat","Shaw, Sean",49363
"FL","Collier","12021","1202100000","Attorney General","statewide",153806,"No Affiliation","Siskind, Jeffrey Marc",1761
"FL","Columbia","12023","1202300000","Attorney General","statewide",24656,"Republican","Moody, Ashley",17568
"FL","Columbia","12023","1202300000","Attorney General","statewide",24656,"Democrat","Shaw, Sean",6726
"FL","Columbia","12023","1202300000","Attorney General","statewide",24656,"No Affiliation","Siskind, Jeffrey Marc",362
"FL","DeSoto","12027","1202700000","Attorney General","statewide",8829,"Republican","Moody, Ashley",5874
"FL","DeSoto","12027","1202700000","Attorney General","statewide",8829,"Democrat","Shaw, Sean",2802
"FL","DeSoto","12027","1202700000","Attorney General","statewide",8829,"No Affiliation","Siskind, Jeffrey Marc",153
"FL","Dixie","12029","1202900000","Attorney General","statewide",5762,"Republican","Moody, Ashley",4741
"FL","Dixie","12029","1202900000","Attorney General","statewide",5762,"Democrat","Shaw, Sean",937
"FL","Dixie","12029","1202900000","Attorney General","statewide",5762,"No Affiliation","Siskind, Jeffrey Marc",84
"FL","Duval","12031","1203100000","Attorney General","statewide",375551,"Republican","Moody, Ashley",189329
"FL","Duval","12031","1203100000","Attorney General","statewide",375551,"Democrat","Shaw, Sean",180292
"FL","Duval","12031","1203100000","Attorney General","statewide",375551,"No Affiliation","Siskind, Jeffrey Marc",5930
"FL","Escambia","12033","1203300000","Attorney General","statewide",128013,"Republican","Moody, Ashley",77109
"FL","Escambia","12033","1203300000","Attorney General","statewide",128013,"Democrat","Shaw, Sean",48501
"FL","Escambia","12033","1203300000","Attorney General","statewide",128013,"No Affiliation","Siskind, Jeffrey Marc",2403
"FL","Flagler","12035","1203500000","Attorney General","statewide",52496,"Republican","Moody, Ashley",32053
"FL","Flagler","12035","1203500000","Attorney General","statewide",52496,"Democrat","Shaw, Sean",19483
"FL","Flagler","12035","1203500000","Attorney General","statewide",52496,"No Affiliation","Siskind, Jeffrey Marc",960
"FL","Franklin","12037","1203700000","Attorney General","statewide",5330,"Republican","Moody, Ashley",3449
"FL","Franklin","12037","1203700000","Attorney General","statewide",5330,"Democrat","Shaw, Sean",1759
"FL","Franklin","12037","1203700000","Attorney General","statewide",5330,"No Affiliation","Siskind, Jeffrey Marc",122
"FL","Gadsden","12039","1203900000","Attorney General","statewide",19876,"Republican","Moody, Ashley",6642
"FL","Gadsden","12039","1203900000","Attorney General","statewide",19876,"Democrat","Shaw, Sean",13042
"FL","Gadsden","12039","1203900000","Attorney General","statewide",19876,"No Affiliation","Siskind, Jeffrey Marc",192
"FL","Gilchrist","12041","1204100000","Attorney General","statewide",7335,"Republican","Moody, Ashley",6095
"FL","Gilchrist","12041","1204100000","Attorney General","statewide",7335,"Democrat","Shaw, Sean",1148
"FL","Gilchrist","12041","1204100000","Attorney General","statewide",7335,"No Affiliation","Siskind, Jeffrey Marc",92
"FL","Glades","12043","1204300000","Attorney General","statewide",3795,"Republican","Moody, Ashley",2690
"FL","Glades","12043","1204300000","Attorney General","statewide",3795,"Democrat","Shaw, Sean",1032
"FL","Glades","12043","1204300000","Attorney General","statewide",3795,"No Affiliation","Siskind, Jeffrey Marc",73
"FL","Gulf","12045","1204500000","Attorney General","statewide",5844,"Republican","Moody, Ashley",4300
"FL","Gulf","12045","1204500000","Attorney General","statewide",5844,"Democrat","Shaw, Sean",1426
"FL","Gulf","12045","1204500000","Attorney General","statewide",5844,"No Affiliation","Siskind, Jeffrey Marc",118
"FL","Hamilton","12047","1204700000","Attorney General","statewide",4519,"Republican","Moody, Ashley",2942
"FL","Hamilton","12047","1204700000","Attorney General","statewide",4519,"Democrat","Shaw, Sean",1530
"FL","Hamilton","12047","1204700000","Attorney General","statewide",4519,"No Affiliation","Siskind, Jeffrey Marc",47
"FL","Hardee","12049","1204900000","Attorney General","statewide",6366,"Republican","Moody, Ashley",4712
