"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"GA","Appling","13001","1300100000","Attorney General","statewide",6562,"Democrat","CHARLIE BAILEY",1384
"GA","Appling","13001","1300100000","Attorney General","statewide",6562,"Republican","CHRIS CARR",5178
"GA","Atkinson","13003","1300300000","Attorney General","statewide",2412,"Democrat","CHARLIE BAILEY",643
"GA","Atkinson","13003","1300300000","Attorney General","statewide",2412,"Republican","CHRIS CARR",1769
"GA","Bacon","13005","1300500000","Attorney General","statewide",3700,"Democrat","CHARLIE BAILEY",515
"GA","Bacon","13005","1300500000","Attorney General","statewide",3700,"Republican","CHRIS CARR",3185
"GA","Baker","13007","1300700000","Attorney General","statewide",1235,"Democrat","CHARLIE BAILEY",535
"GA","Baker","13007","1300700000","Attorney General","statewide",1235,"Republican","CHRIS CARR",700
"GA","Baldwin","13009","1300900000","Attorney General","statewide",15202,"Democrat","CHARLIE BAILEY",7528
"GA","Baldwin","13009","1300900000","Attorney General","statewide",15202,"Republican","CHRIS CARR",7674
"GA","Banks","13011","1301100000","Attorney General","statewide",6705,"Democrat","CHARLIE BAILEY",738
"GA","Banks","13011","1301100000","Attorney General","statewide",6705,"Republican","CHRIS CARR",5967
"GA","Barrow","13013","1301300000","Attorney General","statewide",26933,"Democrat","CHARLIE BAILEY",7020
"GA","Barrow","13013","1301300000","Attorney General","statewide",26933,"Republican","CHRIS CARR",19913
"GA","Bartow","13015","1301500000","Attorney General","statewide",36618,"Democrat","CHARLIE BAILEY",8768
"GA","Bartow","13015","1301500000","Attorney General","statewide",36618,"Republican","CHRIS CARR",27850
"GA","Ben Hill","13017","1301700000","Attorney General","statewide",5400,"Democrat","CHARLIE BAILEY",1959
"GA","Ben Hill","13017","1301700000","Attorney General","statewide",5400,"Republican","CHRIS CARR",3441
"GA","Berrien","13019","1301900000","Attorney General","statewide",6107,"Democrat","CHARLIE BAILEY",968
"GA","Berrien","13019","1301900000","Attorney General","statewide",6107,"Republican","CHRIS CARR",5139
"GA","Bibb","13021","1302100000","Attorney General","statewide",59394,"Democrat","CHARLIE BAILEY",36226
"GA","Bibb","13021","1302100000","Attorney General","statewide",59394,"Republican","CHRIS CARR",23168
"GA","Bleckley","13023","1302300000","Attorney General","statewide",4712,"Democrat","CHARLIE BAILEY",1021
"GA","Bleckley","13023","1302300000","Attorney General","statewide",4712,"Republican","CHRIS CARR",3691
"GA","Brantley","13025","1302500000","Attorney General","statewide",5551,"Democrat","CHARLIE BAILEY",556
"GA","Brantley","13025","1302500000","Attorney General","statewide",5551,"Republican","CHRIS CARR",4995
"GA","Brooks","13027","1302700000","Attorney General","statewide",5564,"Democrat","CHARLIE BAILEY",2119
"GA","Brooks","13027","1302700000","Attorney General","statewide",5564,"Republican","CHRIS CARR",3445
"GA","Bryan","13029","1302900000","Attorney General","statewide",14724,"Democrat","CHARLIE BAILEY",4288
"GA","Bryan","13029","1302900000","Attorney General","statewide",14724,"Republican","CHRIS CARR",10436
"GA","Bulloch","13031","1303100000","Attorney General","statewide",23121,"Democrat","CHARLIE BAILEY",8360
"GA","Bulloch","13031","1303100000","Attorney General","statewide",23121,"Republican","CHRIS CARR",14761
"GA","Burke","13033","1303300000","Attorney General","statewide",8508,"Democrat","CHARLIE BAILEY",4235
"GA","Burke","13033","1303300000","Attorney General","statewide",8508,"Republican","CHRIS CARR",4273
"GA","Butts","13035","1303500000","Attorney General","statewide",8661,"Democrat","CHARLIE BAILEY",2438
"GA","Butts","13035","1303500000","Attorney General","statewide",8661,"Republican","CHRIS CARR",6223
"GA","Calhoun","13037","1303700000","Attorney General","statewide",1858,"Democrat","CHARLIE BAILEY",1062
"GA","Calhoun","13037","1303700000","Attorney General","statewide",1858,"Republican","CHRIS CARR",796
"GA","Camden","13039","1303900000","Attorney General","statewide",16757,"Democrat","CHARLIE BAILEY",5677
"GA","Camden","13039","1303900000","Attorney General","statewide",16757,"Republican","CHRIS CARR",11080
"GA","Candler","13043","1304300000","Attorney General","statewide",3444,"Democrat","CHARLIE BAILEY",957
"GA","Candler","13043","1304300000","Attorney General","statewide",3444,"Republican","CHRIS CARR",2487
"GA","Carroll","13045","1304500000","Attorney General","statewide",41087,"Democrat","CHARLIE BAILEY",12301
"GA","Carroll","13045","1304500000","Attorney General","statewide",41087,"Republican","CHRIS CARR",28786
"GA","Catoosa","13047","1304700000","Attorney General","statewide",23329,"Democrat","CHARLIE BAILEY",4591
"GA","Catoosa","13047","1304700000","Attorney General","statewide",23329,"Republican","CHRIS CARR",18738
"GA","Charlton","13049","1304900000","Attorney General","statewide",3294,"Democrat","CHARLIE BAILEY",811
"GA","Charlton","13049","1304900000","Attorney General","statewide",3294,"Republican","CHRIS CARR",2483
"GA","Chatham","13051","1305100000","Attorney General","statewide",101355,"Democrat","CHARLIE BAILEY",59425
"GA","Chatham","13051","1305100000","Attorney General","statewide",101355,"Republican","CHRIS CARR",41930
"GA","Chattahoochee","13053","1305300000","Attorney General","statewide",1068,"Democrat","CHARLIE BAILEY",490
"GA","Chattahoochee","13053","1305300000","Attorney General","statewide",1068,"Republican","CHRIS CARR",578
"GA","Chattooga","13055","1305500000","Attorney General","statewide",7227,"Democrat","CHARLIE BAILEY",1526
"GA","Chattooga","13055","1305500000","Attorney General","statewide",7227,"Republican","CHRIS CARR",5701
"GA","Cherokee","13057","1305700000","Attorney General","statewide",104709,"Democrat","CHARLIE BAILEY",27948
"GA","Cherokee","13057","1305700000","Attorney General","statewide",104709,"Republican","CHRIS CARR",76761
"GA","Clarke","13059","1305900000","Attorney General","statewide",42342,"Democrat","CHARLIE BAILEY",29404
"GA","Clarke","13059","1305900000","Attorney General","statewide",42342,"Republican","CHRIS CARR",12938
"GA","Clay","13061","1306100000","Attorney General","statewide",1140,"Democrat","CHARLIE BAILEY",606
"GA","Clay","13061","1306100000","Attorney General","statewide",1140,"Republican","CHRIS CARR",534
"GA","Clayton","13063","1306300000","Attorney General","statewide",90445,"Democrat","CHARLIE BAILEY",78953
"GA","Clayton","13063","1306300000","Attorney General","statewide",90445,"Republican","CHRIS CARR",11492
"GA","Clinch","13065","1306500000","Attorney General","statewide",2163,"Democrat","CHARLIE BAILEY",526
"GA","Clinch","13065","1306500000","Attorney General","statewide",2163,"Republican","CHRIS CARR",1637
"GA","Cobb","13067","1306700000","Attorney General","statewide",307581,"Democrat","CHARLIE BAILEY",164620
"GA","Cobb","13067","1306700000","Attorney General","statewide",307581,"Republican","CHRIS CARR",142961
"GA","Coffee","13069","1306900000","Attorney General","statewide",12180,"Democrat","CHARLIE BAILEY",3521
"GA","Coffee","13069","1306900000","Attorney General","statewide",12180,"Republican","CHRIS CARR",8659
"GA","Colquitt","13071","1307100000","Attorney General","statewide",12578,"Democrat","CHARLIE BAILEY",3037
"GA","Colquitt","13071","1307100000","Attorney General","statewide",12578,"Republican","CHRIS CARR",9541
"GA","Columbia","13073","1307300000","Attorney General","statewide",60786,"Democrat","CHARLIE BAILEY",19836
"GA","Columbia","13073","1307300000","Attorney General","statewide",60786,"Republican","CHRIS CARR",40950
"GA","Cook","13075","1307500000","Attorney General","statewide",5688,"Democrat","CHARLIE BAILEY",1630
"GA","Cook","13075","1307500000","Attorney General","statewide",5688,"Republican","CHRIS CARR",4058
"GA","Coweta","13077","1307700000","Attorney General","statewide",57163,"Democrat","CHARLIE BAILEY",16836
"GA","Coweta","13077","1307700000","Attorney General","statewide",57163,"Republican","CHRIS CARR",40327
"GA","Crawford","13079","1307900000","Attorney General","statewide",4805,"Democrat","CHARLIE BAILEY",1333
"GA","Crawford","13079","1307900000","Attorney General","statewide",4805,"Republican","CHRIS CARR",3472
"GA","Crisp","13081","1308100000","Attorney General","statewide",6804,"Democrat","CHARLIE BAILEY",2408
"GA","Crisp","13081","1308100000","Attorney General","statewide",6804,"Republican","CHRIS CARR",4396
"GA","Dade","13083","1308300000","Attorney General","statewide",5275,"Democrat","CHARLIE BAILEY",910
"GA","Dade","13083","1308300000","Attorney General","statewide",5275,"Republican","CHRIS CARR",4365
"GA","Dawson","13085","1308500000","Attorney General","statewide",11390,"Democrat","CHARLIE BAILEY",1593
"GA","Dawson","13085","1308500000","Attorney General","statewide",11390,"Republican","CHRIS CARR",9797
"GA","Decatur","13087","1308700000","Attorney General","statewide",8897,"Democrat","CHARLIE BAILEY",3529
"GA","Decatur","13087","1308700000","Attorney General","statewide",8897,"Republican","CHRIS CARR",5368
"GA","DeKalb","13089","1308900000","Attorney General","statewide",306566,"Democrat","CHARLIE BAILEY",251806
"GA","DeKalb","13089","1308900000","Attorney General","statewide",306566,"Republican","CHRIS CARR",54760
"GA","Dodge","13091","1309100000","Attorney General","statewide",6758,"Democrat","CHARLIE BAILEY",1805
"GA","Dodge","13091","1309100000","Attorney General","statewide",6758,"Republican","CHRIS CARR",4953
"GA","Dooly","13093","1309300000","Attorney General","statewide",3662,"Democrat","CHARLIE BAILEY",1714
