"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"IA","Adair","19001","1900100000","Attorney General","statewide",3009,"Libertarian","Marco Battaglia",645
"IA","Adair","19001","1900100000","Attorney General","statewide",3009,"Democrat","Tom Miller",2339
"IA","Adair","19001","1900100000","Attorney General","statewide",3009,"","Write-in",25
"IA","Adams","19003","1900300000","Attorney General","statewide",1501,"Libertarian","Marco Battaglia",273
"IA","Adams","19003","1900300000","Attorney General","statewide",1501,"Democrat","Tom Miller",1223
"IA","Adams","19003","1900300000","Attorney General","statewide",1501,"","Write-in",5
"IA","Allamakee","19005","1900500000","Attorney General","statewide",4746,"Libertarian","Marco Battaglia",1219
"IA","Allamakee","19005","1900500000","Attorney General","statewide",4746,"Democrat","Tom Miller",3501
"IA","Allamakee","19005","1900500000","Attorney General","statewide",4746,"","Write-in",26
"IA","Appanoose","19007","1900700000","Attorney General","statewide",4272,"Libertarian","Marco Battaglia",1095
"IA","Appanoose","19007","1900700000","Attorney General","statewide",4272,"Democrat","Tom Miller",3148
"IA","Appanoose","19007","1900700000","Attorney General","statewide",4272,"","Write-in",29
"IA","Audubon","19009","1900900000","Attorney General","statewide",2070,"Libertarian","Marco Battaglia",414
"IA","Audubon","19009","1900900000","Attorney General","statewide",2070,"Democrat","Tom Miller",1646
"IA","Audubon","19009","1900900000","Attorney General","statewide",2070,"","Write-in",10
"IA","Benton","19011","1901100000","Attorney General","statewide",10072,"Libertarian","Marco Battaglia",2603
"IA","Benton","19011","1901100000","Attorney General","statewide",10072,"Democrat","Tom Miller",7396
"IA","Benton","19011","1901100000","Attorney General","statewide",10072,"","Write-in",73
"IA","Black Hawk","19013","1901300000","Attorney General","statewide",47441,"Libertarian","Marco Battaglia",8939
"IA","Black Hawk","19013","1901300000","Attorney General","statewide",47441,"Democrat","Tom Miller",38257
"IA","Black Hawk","19013","1901300000","Attorney General","statewide",47441,"","Write-in",245
"IA","Boone","19015","1901500000","Attorney General","statewide",10835,"Libertarian","Marco Battaglia",2730
