"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"ID","Ada","16001","1600100000","ATTORNEY GENERAL","statewide",183664,"Democrat","Bruce S. Bistline",81514
"ID","Ada","16001","1600100000","ATTORNEY GENERAL","statewide",183664,"Republican","Lawrence Wasden",102150
"ID","Adams","16003","1600300000","ATTORNEY GENERAL","statewide",1838,"Democrat","Bruce S. Bistline",468
"ID","Adams","16003","1600300000","ATTORNEY GENERAL","statewide",1838,"Republican","Lawrence Wasden",1370
"ID","Bannock","16005","1600500000","ATTORNEY GENERAL","statewide",28437,"Democrat","Bruce S. Bistline",12520
"ID","Bannock","16005","1600500000","ATTORNEY GENERAL","statewide",28437,"Republican","Lawrence Wasden",15917
"ID","Bear Lake","16007","1600700000","ATTORNEY GENERAL","statewide",2131,"Democrat","Bruce S. Bistline",298
"ID","Bear Lake","16007","1600700000","ATTORNEY GENERAL","statewide",2131,"Republican","Lawrence Wasden",1833
"ID","Benewah","16009","1600900000","ATTORNEY GENERAL","statewide",3613,"Democrat","Bruce S. Bistline",950
"ID","Benewah","16009","1600900000","ATTORNEY GENERAL","statewide",3613,"Republican","Lawrence Wasden",2663
"ID","Bingham","16011","1601100000","ATTORNEY GENERAL","statewide",12982,"Democrat","Bruce S. Bistline",3207
"ID","Bingham","16011","1601100000","ATTORNEY GENERAL","statewide",12982,"Republican","Lawrence Wasden",9775
"ID","Blaine","16013","1601300000","ATTORNEY GENERAL","statewide",10269,"Democrat","Bruce S. Bistline",6603
"ID","Blaine","16013","1601300000","ATTORNEY GENERAL","statewide",10269,"Republican","Lawrence Wasden",3666
"ID","Boise","16015","1601500000","ATTORNEY GENERAL","statewide",3427,"Democrat","Bruce S. Bistline",881
"ID","Boise","16015","1601500000","ATTORNEY GENERAL","statewide",3427,"Republican","Lawrence Wasden",2546
"ID","Bonner","16017","1601700000","ATTORNEY GENERAL","statewide",18097,"Democrat","Bruce S. Bistline",6251
"ID","Bonner","16017","1601700000","ATTORNEY GENERAL","statewide",18097,"Republican","Lawrence Wasden",11846
"ID","Bonneville","16019","1601900000","ATTORNEY GENERAL","statewide",33977,"Democrat","Bruce S. Bistline",9486
"ID","Bonneville","16019","1601900000","ATTORNEY GENERAL","statewide",33977,"Republican","Lawrence Wasden",24491
"ID","Boundary","16021","1602100000","ATTORNEY GENERAL","statewide",4178,"Democrat","Bruce S. Bistline",993
"ID","Boundary","16021","1602100000","ATTORNEY GENERAL","statewide",4178,"Republican","Lawrence Wasden",3185
"ID","Butte","16023","1602300000","ATTORNEY GENERAL","statewide",1007,"Democrat","Bruce S. Bistline",194
"ID","Butte","16023","1602300000","ATTORNEY GENERAL","statewide",1007,"Republican","Lawrence Wasden",813
"ID","Camas","16025","1602500000","ATTORNEY GENERAL","statewide",519,"Democrat","Bruce S. Bistline",112
"ID","Camas","16025","1602500000","ATTORNEY GENERAL","statewide",519,"Republican","Lawrence Wasden",407
"ID","Canyon","16027","1602700000","ATTORNEY GENERAL","statewide",61884,"Democrat","Bruce S. Bistline",18045
"ID","Canyon","16027","1602700000","ATTORNEY GENERAL","statewide",61884,"Republican","Lawrence Wasden",43839
"ID","Caribou","16029","1602900000","ATTORNEY GENERAL","statewide",2214,"Democrat","Bruce S. Bistline",361
"ID","Caribou","16029","1602900000","ATTORNEY GENERAL","statewide",2214,"Republican","Lawrence Wasden",1853
