"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"IL","Stark","17175","1717500000","10TH CIRCUIT - KEITH  VACANCY","",1837,"Republican","FEHRENBACHER, BRUCE",1837
"IL","Marshall","17123","1712300000","10TH CIRCUIT - RETAIN GILFILLAN","",4002,"","GILFILLAN - NO, PAUL",639
"IL","Marshall","17123","1712300000","10TH CIRCUIT - RETAIN GILFILLAN","",4002,"","GILFILLAN - YES, PAUL",3363
"IL","Peoria","17143","1714300000","10TH CIRCUIT - RETAIN GILFILLAN","",56688,"","GILFILLAN - NO, PAUL",8117
"IL","Peoria","17143","1714300000","10TH CIRCUIT - RETAIN GILFILLAN","",56688,"","GILFILLAN - YES, PAUL",48571
"IL","Putnam","17155","1715500000","10TH CIRCUIT - RETAIN GILFILLAN","",2102,"","GILFILLAN - NO, PAUL",380
"IL","Putnam","17155","1715500000","10TH CIRCUIT - RETAIN GILFILLAN","",2102,"","GILFILLAN - YES, PAUL",1722
"IL","Stark","17175","1717500000","10TH CIRCUIT - RETAIN GILFILLAN","",1743,"","GILFILLAN - NO, PAUL",314
"IL","Stark","17175","1717500000","10TH CIRCUIT - RETAIN GILFILLAN","",1743,"","GILFILLAN - YES, PAUL",1429
"IL","Tazewell","17179","1717900000","10TH CIRCUIT - RETAIN GILFILLAN","",46244,"","GILFILLAN - NO, PAUL",6616
"IL","Tazewell","17179","1717900000","10TH CIRCUIT - RETAIN GILFILLAN","",46244,"","GILFILLAN - YES, PAUL",39628
"IL","Marshall","17123","1712300000","10TH CIRCUIT - RETAIN GORMAN","",4026,"","GORMAN - NO, KATE",574
"IL","Marshall","17123","1712300000","10TH CIRCUIT - RETAIN GORMAN","",4026,"","GORMAN - YES, KATE",3452
"IL","Peoria","17143","1714300000","10TH CIRCUIT - RETAIN GORMAN","",57674,"","GORMAN - NO, KATE",7633
"IL","Peoria","17143","1714300000","10TH CIRCUIT - RETAIN GORMAN","",57674,"","GORMAN - YES, KATE",50041
"IL","Putnam","17155","1715500000","10TH CIRCUIT - RETAIN GORMAN","",2077,"","GORMAN - NO, KATE",311
"IL","Putnam","17155","1715500000","10TH CIRCUIT - RETAIN GORMAN","",2077,"","GORMAN - YES, KATE",1766
"IL","Stark","17175","1717500000","10TH CIRCUIT - RETAIN GORMAN","",1758,"","GORMAN - NO, KATE",277
"IL","Stark","17175","1717500000","10TH CIRCUIT - RETAIN GORMAN","",1758,"","GORMAN - YES, KATE",1481
"IL","Tazewell","17179","1717900000","10TH CIRCUIT - RETAIN GORMAN","",46253,"","GORMAN - NO, KATE",5930
"IL","Tazewell","17179","1717900000","10TH CIRCUIT - RETAIN GORMAN","",46253,"","GORMAN - YES, KATE",40323
"IL","Marshall","17123","1712300000","10TH CIRCUIT - RETAIN LYONS","",4123,"","LYONS - NO, KEVIN W.",794
"IL","Marshall","17123","1712300000","10TH CIRCUIT - RETAIN LYONS","",4123,"","LYONS - YES, KEVIN W.",3329
"IL","Peoria","17143","1714300000","10TH CIRCUIT - RETAIN LYONS","",59273,"","LYONS - NO, KEVIN W.",15018
"IL","Peoria","17143","1714300000","10TH CIRCUIT - RETAIN LYONS","",59273,"","LYONS - YES, KEVIN W.",44255
