"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"IN","Ripley","18137","1813700000"," Milan Community School Board, At Large","",1150,"Non Partisan","Timothy W. Tuttle",1150
"IN","Wayne","18177","1817700000","Abington Township Board Member, Wayne County","",678,"Republican","Douglas Toschlog",234
"IN","Wayne","18177","1817700000","Abington Township Board Member, Wayne County","",678,"Republican","Malinda Glover",224
"IN","Wayne","18177","1817700000","Abington Township Board Member, Wayne County","",678,"Republican","Theresa Clark",220
"IN","Wayne","18177","1817700000","Abington Township Trustee, Wayne County","",245,"Republican","Chelsie R Buchanan",245
"IN","Allen","18003","1800300000","Aboite Township Board Member, Allen County","",40886,"Democrat","Alan R Gilbert",5919
"IN","Allen","18003","1800300000","Aboite Township Board Member, Allen County","",40886,"Republican","Barbara J Krisher",10393
"IN","Allen","18003","1800300000","Aboite Township Board Member, Allen County","",40886,"Republican","Doug Schenkel",9847
"IN","Allen","18003","1800300000","Aboite Township Board Member, Allen County","",40886,"Democrat","Robert W Behr",5712
"IN","Allen","18003","1800300000","Aboite Township Board Member, Allen County","",40886,"Republican","William (Bill) Browne",9015
"IN","Allen","18003","1800300000","Aboite Township Trustee, Allen County","",13251,"Republican","Michael Meyers",13251
"IN","Adams","18001","1800100000","Adams Central Community School Board, District 2","",2092,"Non Partisan","Heather M Frank",1169
"IN","Adams","18001","1800100000","Adams Central Community School Board, District 2","",2092,"Non Partisan","Steve A Maller",923
"IN","Adams","18001","1800100000","Adams Central Community School Board, District 3","",1853,"Non Partisan","Jeremi D Schortgen",1853
"IN","Adams","18001","1800100000","Adams Central Community School Board, District 4","",1865,"Non Partisan","Timothy R Tobias",1865
"IN","Adams","18001","1800100000","Adams County Assessor","",9243,"Republican","Donald  Kuhn",9243
"IN","Adams","18001","1800100000","Adams County Circuit Court Clerk","",9125,"Republican","James (Jim) J Voglewede Jr.",9125
"IN","Adams","18001","1800100000","Adams County Commissioner, District 2","",10995,"Democrat","James R Kuhnle",3272
"IN","Adams","18001","1800100000","Adams County Commissioner, District 2","",10995,"Republican","Rex M Moore",7723
"IN","Adams","18001","1800100000","Adams County Council, District 1","",3191,"Republican","Stan Stoppenhagen",3191
"IN","Adams","18001","1800100000","Adams County Council, District 2","",3330,"Republican","Edgar B Dyer",1532
"IN","Adams","18001","1800100000","Adams County Council, District 2","",3330,"Democrat","John L Schultz",1798
"IN","Adams","18001","1800100000","Adams County Council, District 3","",2184,"Republican","Cory Sprunger",2184
"IN","Adams","18001","1800100000","Adams County Council, District 4","",1421,"Republican","Yvette A Weiland",1421
"IN","Adams","18001","1800100000","Adams County Sheriff","",11153,"Republican","Dan Mawhorr",6734
"IN","Adams","18001","1800100000","Adams County Sheriff","",11153,"Democrat","James P Franze",4419
"IN","Adams","18001","1800100000","Adams County Surveyor","",9301,"Republican","Paul Norr",9301
"IN","Allen","18003","1800300000","Adams Township Board Member, Allen County","",9872,"Republican","Lance Lothamer",3253
"IN","Allen","18003","1800300000","Adams Township Board Member, Allen County","",9872,"Republican","Loren W Stewart",3102
"IN","Allen","18003","1800300000","Adams Township Board Member, Allen County","",9872,"Republican","Richard Kaylor",3517
"IN","Carroll","18015","1801500000","Adams Township Board Member, Carroll County","",415,"Republican","Jeffrey Potts",138
"IN","Carroll","18015","1801500000","Adams Township Board Member, Carroll County","",415,"Republican","John A. Campbell",138
"IN","Carroll","18015","1801500000","Adams Township Board Member, Carroll County","",415,"Republican","Rick Roller",139
"IN","Cass","18017","1801700000","Adams Township Board Member, Cass County","",626,"Republican","Aaron Lee Sylvain",195
"IN","Cass","18017","1801700000","Adams Township Board Member, Cass County","",626,"Republican","Brent Thomas",197
"IN","Cass","18017","1801700000","Adams Township Board Member, Cass County","",626,"Republican","Brian Shafer",234
