"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"KS","Allen","20001","2000100000","Attorney General","statewide",4428,"Republican","Derek Schmidt",3228
"KS","Allen","20001","2000100000","Attorney General","statewide",4428,"Democrat","Sarah G. Swain",1200
"KS","Anderson","20003","2000300000","Attorney General","statewide",2700,"Republican","Derek Schmidt",1983
"KS","Anderson","20003","2000300000","Attorney General","statewide",2700,"Democrat","Sarah G. Swain",717
"KS","Atchison","20005","2000500000","Attorney General","statewide",5379,"Republican","Derek Schmidt",3321
"KS","Atchison","20005","2000500000","Attorney General","statewide",5379,"Democrat","Sarah G. Swain",2058
"KS","Barber","20007","2000700000","Attorney General","statewide",1722,"Republican","Derek Schmidt",1460
"KS","Barber","20007","2000700000","Attorney General","statewide",1722,"Democrat","Sarah G. Swain",262
"KS","Barton","20009","2000900000","Attorney General","statewide",8471,"Republican","Derek Schmidt",6665
"KS","Barton","20009","2000900000","Attorney General","statewide",8471,"Democrat","Sarah G. Swain",1806
"KS","Bourbon","20011","2001100000","Attorney General","statewide",4916,"Republican","Derek Schmidt",3513
"KS","Bourbon","20011","2001100000","Attorney General","statewide",4916,"Democrat","Sarah G. Swain",1403
"KS","Brown","20013","2001300000","Attorney General","statewide",3371,"Republican","Derek Schmidt",2576
"KS","Brown","20013","2001300000","Attorney General","statewide",3371,"Democrat","Sarah G. Swain",795
"KS","Butler","20015","2001500000","Attorney General","statewide",23633,"Republican","Derek Schmidt",16792
"KS","Butler","20015","2001500000","Attorney General","statewide",23633,"Democrat","Sarah G. Swain",6841
"KS","Chase","20017","2001700000","Attorney General","statewide",1171,"Republican","Derek Schmidt",890
"KS","Chase","20017","2001700000","Attorney General","statewide",1171,"Democrat","Sarah G. Swain",281
"KS","Chautauqua","20019","2001900000","Attorney General","statewide",1134,"Republican","Derek Schmidt",981
"KS","Chautauqua","20019","2001900000","Attorney General","statewide",1134,"Democrat","Sarah G. Swain",153
"KS","Cherokee","20021","2002100000","Attorney General","statewide",6959,"Republican","Derek Schmidt",4894
"KS","Cherokee","20021","2002100000","Attorney General","statewide",6959,"Democrat","Sarah G. Swain",2065
"KS","Cheyenne","20023","2002300000","Attorney General","statewide",1093,"Republican","Derek Schmidt",923
"KS","Cheyenne","20023","2002300000","Attorney General","statewide",1093,"Democrat","Sarah G. Swain",170
"KS","Clark","20025","2002500000","Attorney General","statewide",828,"Republican","Derek Schmidt",704
"KS","Clark","20025","2002500000","Attorney General","statewide",828,"Democrat","Sarah G. Swain",124
