"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"LA","St. Landry","22097","2209700000","Alderman","Ward 1, City of Eunice",691,"Democrat","'Tony' Baltakis",143
"LA","St. Landry","22097","2209700000","Alderman","Ward 1, City of Eunice",691,"No party","Chad Andrepont",284
"LA","St. Landry","22097","2209700000","Alderman","Ward 1, City of Eunice",691,"Republican","Roland Miller",264
"LA","Acadia","22001","2200100000","Alderman","Ward 2, City of Eunice",2,"Democrat","'Jackie Ju Ju' Vallare",0
"LA","Acadia","22001","2200100000","Alderman","Ward 2, City of Eunice",2,"Democrat","Germaine Simpson",1
"LA","Acadia","22001","2200100000","Alderman","Ward 2, City of Eunice",2,"Democrat","Martin Bellow",1
"LA","St. Landry","22097","2209700000","Alderman","Ward 2, City of Eunice",659,"Democrat","'Jackie Ju Ju' Vallare",262
"LA","St. Landry","22097","2209700000","Alderman","Ward 2, City of Eunice",659,"Democrat","Germaine Simpson",303
"LA","St. Landry","22097","2209700000","Alderman","Ward 2, City of Eunice",659,"Democrat","Martin Bellow",94
"LA","Acadia","22001","2200100000","Alderman","Ward 3, City of Eunice",100,"Independent","Ernest 'Ernie' Blanchard",58
"LA","Acadia","22001","2200100000","Alderman","Ward 3, City of Eunice",100,"Democrat","Gabriel 'Gabe' Ortego",42
"LA","St. Landry","22097","2209700000","Alderman","Ward 3, City of Eunice",671,"Independent","Ernest 'Ernie' Blanchard",388
"LA","St. Landry","22097","2209700000","Alderman","Ward 3, City of Eunice",671,"Democrat","Gabriel 'Gabe' Ortego",283
"LA","St. Landry","22097","2209700000","Alderman","Ward 4, City of Eunice",601,"Republican","Connie Thibodeaux",382
"LA","St. Landry","22097","2209700000","Alderman","Ward 4, City of Eunice",601,"Republican","James Donnie Fontenot",219
"LA","Acadia","22001","2200100000","Alderman at Large","Town of Basile",8,"Republican","Catina Molitor-Hebert",8
"LA","Acadia","22001","2200100000","Alderman at Large","Town of Basile",8,"Republican","Travis W. Deshotel",0
"LA","Evangeline","22039","2203900000","Alderman at Large","Town of Basile",395,"Republican","Catina Molitor-Hebert",238
"LA","Evangeline","22039","2203900000","Alderman at Large","Town of Basile",395,"Republican","Travis W. Deshotel",157
"LA","Acadia","22001","2200100000","Aldermen","District 2, Town of Basile (3 to be elected)",22,"Republican","Bron Dubroc",8
"LA","Acadia","22001","2200100000","Aldermen","District 2, Town of Basile (3 to be elected)",22,"Democrat","Caleb Delafosse",0
"LA","Acadia","22001","2200100000","Aldermen","District 2, Town of Basile (3 to be elected)",22,"Republican","Kenny A. Burgess",7
"LA","Acadia","22001","2200100000","Aldermen","District 2, Town of Basile (3 to be elected)",22,"Republican","Kristy Miller",7
"LA","Evangeline","22039","2203900000","Aldermen","District 2, Town of Basile (3 to be elected)",698,"Republican","Bron Dubroc",214
"LA","Evangeline","22039","2203900000","Aldermen","District 2, Town of Basile (3 to be elected)",698,"Democrat","Caleb Delafosse",129
"LA","Evangeline","22039","2203900000","Aldermen","District 2, Town of Basile (3 to be elected)",698,"Republican","Kenny A. Burgess",181
"LA","Evangeline","22039","2203900000","Aldermen","District 2, Town of Basile (3 to be elected)",698,"Republican","Kristy Miller",174
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Green","'Cricket' Nelson",28
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Democrat","'Debbie' Kidder",178
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Democrat","Bertha Begnaud",179
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Republican","Cynthia 'Cindy' Stelly",244
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Independent","George Marks",166
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Democrat","Glenn Colon",42
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Republican","Jamie U. Huval",209
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Democrat","Kevin J. Robin",212
"LA","St. Landry","22097","2209700000","Aldermen","Town of Arnaudville (5 to be elected)",1933,"Democrat","Louis E. Stelly, Jr.",130
