"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MA","Abington","25023","2502300170","Attorney General","statewide",7217,"","All Others",0
"MA","Abington","25023","2502300170","Attorney General","statewide",7217,"","James R. McMahon. III",2797
"MA","Abington","25023","2502300170","Attorney General","statewide",7217,"Democrat","Maura Healey",4420
"MA","Acton","25017","2501700380","Attorney General","statewide",10962,"","All Others",1
"MA","Acton","25017","2501700380","Attorney General","statewide",10962,"","James R. McMahon. III",2262
"MA","Acton","25017","2501700380","Attorney General","statewide",10962,"Democrat","Maura Healey",8699
"MA","Acushnet","25005","2500500520","Attorney General","statewide",4157,"","All Others",1
"MA","Acushnet","25005","2500500520","Attorney General","statewide",4157,"","James R. McMahon. III",1960
"MA","Acushnet","25005","2500500520","Attorney General","statewide",4157,"Democrat","Maura Healey",2196
"MA","Adams","25003","2500300555","Attorney General","statewide",3096,"","All Others",13
"MA","Adams","25003","2500300555","Attorney General","statewide",3096,"","James R. McMahon. III",893
"MA","Adams","25003","2500300555","Attorney General","statewide",3096,"Democrat","Maura Healey",2190
"MA","Agawam","25013","2501300765","Attorney General","statewide",11713,"","All Others",5
"MA","Agawam","25013","2501300765","Attorney General","statewide",11713,"","James R. McMahon. III",5193
"MA","Agawam","25013","2501300765","Attorney General","statewide",11713,"Democrat","Maura Healey",6515
"MA","Alford","25003","2500300975","Attorney General","statewide",257,"","All Others",0
"MA","Alford","25003","2500300975","Attorney General","statewide",257,"","James R. McMahon. III",41
"MA","Alford","25003","2500300975","Attorney General","statewide",257,"Democrat","Maura Healey",216
"MA","Amesbury","25009","2500901185","Attorney General","statewide",7641,"","All Others",4
"MA","Amesbury","25009","2500901185","Attorney General","statewide",7641,"","James R. McMahon. III",2314
"MA","Amesbury","25009","2500901185","Attorney General","statewide",7641,"Democrat","Maura Healey",5323
"MA","Amherst","25015","2501501325","Attorney General","statewide",10857,"","All Others",9
"MA","Amherst","25015","2501501325","Attorney General","statewide",10857,"","James R. McMahon. III",829
"MA","Amherst","25015","2501501325","Attorney General","statewide",10857,"Democrat","Maura Healey",10019
"MA","Andover","25009","2500901465","Attorney General","statewide",16230,"","All Others",5
"MA","Andover","25009","2500901465","Attorney General","statewide",16230,"","James R. McMahon. III",5250
"MA","Andover","25009","2500901465","Attorney General","statewide",16230,"Democrat","Maura Healey",10975
"MA","Aquinnah","25007","2500701585","Attorney General","statewide",262,"","All Others",0
"MA","Aquinnah","25007","2500701585","Attorney General","statewide",262,"","James R. McMahon. III",21
"MA","Aquinnah","25007","2500701585","Attorney General","statewide",262,"Democrat","Maura Healey",241
"MA","Arlington","25017","2501701605","Attorney General","statewide",23903,"","All Others",10
"MA","Arlington","25017","2501701605","Attorney General","statewide",23903,"","James R. McMahon. III",3506
"MA","Arlington","25017","2501701605","Attorney General","statewide",23903,"Democrat","Maura Healey",20387
"MA","Ashburnham","25027","2502701885","Attorney General","statewide",2788,"","All Others",2
"MA","Ashburnham","25027","2502701885","Attorney General","statewide",2788,"","James R. McMahon. III",1194
"MA","Ashburnham","25027","2502701885","Attorney General","statewide",2788,"Democrat","Maura Healey",1592
"MA","Ashby","25017","2501701955","Attorney General","statewide",1573,"","All Others",0
"MA","Ashby","25017","2501701955","Attorney General","statewide",1573,"","James R. McMahon. III",740
"MA","Ashby","25017","2501701955","Attorney General","statewide",1573,"Democrat","Maura Healey",833
"MA","Ashfield","25011","2501102095","Attorney General","statewide",1033,"","All Others",0
"MA","Ashfield","25011","2501102095","Attorney General","statewide",1033,"","James R. McMahon. III",185
"MA","Ashfield","25011","2501102095","Attorney General","statewide",1033,"Democrat","Maura Healey",848
"MA","Ashland","25017","2501702130","Attorney General","statewide",7665,"","All Others",0
"MA","Ashland","25017","2501702130","Attorney General","statewide",7665,"","James R. McMahon. III",2073
"MA","Ashland","25017","2501702130","Attorney General","statewide",7665,"Democrat","Maura Healey",5592
"MA","Athol","25027","2502702480","Attorney General","statewide",3828,"","All Others",3
"MA","Athol","25027","2502702480","Attorney General","statewide",3828,"","James R. McMahon. III",1624
"MA","Athol","25027","2502702480","Attorney General","statewide",3828,"Democrat","Maura Healey",2201
"MA","Attleboro","25005","2500502690","Attorney General","statewide",15658,"","All Others",7
"MA","Attleboro","25005","2500502690","Attorney General","statewide",15658,"","James R. McMahon. III",5861
"MA","Attleboro","25005","2500502690","Attorney General","statewide",15658,"Democrat","Maura Healey",9790
"MA","Auburn","25027","2502702760","Attorney General","statewide",7594,"","All Others",2
"MA","Auburn","25027","2502702760","Attorney General","statewide",7594,"","James R. McMahon. III",2915
"MA","Auburn","25027","2502702760","Attorney General","statewide",7594,"Democrat","Maura Healey",4677
"MA","Avon","25021","2502102935","Attorney General","statewide",1905,"","All Others",0
"MA","Avon","25021","2502102935","Attorney General","statewide",1905,"","James R. McMahon. III",647
"MA","Avon","25021","2502102935","Attorney General","statewide",1905,"Democrat","Maura Healey",1258
"MA","Ayer","25017","2501703005","Attorney General","statewide",3340,"","All Others",0
"MA","Ayer","25017","2501703005","Attorney General","statewide",3340,"","James R. McMahon. III",1089
"MA","Ayer","25017","2501703005","Attorney General","statewide",3340,"Democrat","Maura Healey",2251
"MA","Barnstable","25001","2500103600","Attorney General","statewide",21960,"","All Others",9
"MA","Barnstable","25001","2500103600","Attorney General","statewide",21960,"","James R. McMahon. III",9144
"MA","Barnstable","25001","2500103600","Attorney General","statewide",21960,"Democrat","Maura Healey",12807
"MA","Barre","25027","2502703740","Attorney General","statewide",2229,"","All Others",2
"MA","Barre","25027","2502703740","Attorney General","statewide",2229,"","James R. McMahon. III",1016
"MA","Barre","25027","2502703740","Attorney General","statewide",2229,"Democrat","Maura Healey",1211
"MA","Becket","25003","2500304545","Attorney General","statewide",788,"","All Others",5
"MA","Becket","25003","2500304545","Attorney General","statewide",788,"","James R. McMahon. III",258
