"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MD","Allegany","24001","2400100000","Attorney General","statewide",23040,"Democrat","Brian E. Frosh",7229
"MD","Allegany","24001","2400100000","Attorney General","statewide",23040,"Republican","Craig Wolf",15797
"MD","Allegany","24001","2400100000","Attorney General","statewide",23040,"","Other Write-Ins",14
"MD","Anne Arundel","24003","2400300000","Attorney General","statewide",226380,"Democrat","Brian E. Frosh",122063
"MD","Anne Arundel","24003","2400300000","Attorney General","statewide",226380,"Republican","Craig Wolf",104171
"MD","Anne Arundel","24003","2400300000","Attorney General","statewide",226380,"","Other Write-Ins",146
"MD","Baltimore","24005","2400500000","Attorney General","statewide",321991,"Democrat","Brian E. Frosh",195211
"MD","Baltimore","24005","2400500000","Attorney General","statewide",321991,"Republican","Craig Wolf",126520
"MD","Baltimore","24005","2400500000","Attorney General","statewide",321991,"","Other Write-Ins",260
"MD","Baltimore City","24510","2451000000","Attorney General","statewide",182918,"Democrat","Brian E. Frosh",158617
"MD","Baltimore City","24510","2451000000","Attorney General","statewide",182918,"Republican","Craig Wolf",24010
"MD","Baltimore City","24510","2451000000","Attorney General","statewide",182918,"","Other Write-Ins",291
"MD","Calvert","24009","2400900000","Attorney General","statewide",38435,"Democrat","Brian E. Frosh",16773
"MD","Calvert","24009","2400900000","Attorney General","statewide",38435,"Republican","Craig Wolf",21637
"MD","Calvert","24009","2400900000","Attorney General","statewide",38435,"","Other Write-Ins",25
"MD","Caroline","24011","2401100000","Attorney General","statewide",11171,"Democrat","Brian E. Frosh",3897
"MD","Caroline","24011","2401100000","Attorney General","statewide",11171,"Republican","Craig Wolf",7269
"MD","Caroline","24011","2401100000","Attorney General","statewide",11171,"","Other Write-Ins",5
"MD","Carroll","24013","2401300000","Attorney General","statewide",73671,"Democrat","Brian E. Frosh",25767
"MD","Carroll","24013","2401300000","Attorney General","statewide",73671,"Republican","Craig Wolf",47871
"MD","Carroll","24013","2401300000","Attorney General","statewide",73671,"","Other Write-Ins",33
"MD","Cecil","24015","2401500000","Attorney General","statewide",34468,"Democrat","Brian E. Frosh",12776
"MD","Cecil","24015","2401500000","Attorney General","statewide",34468,"Republican","Craig Wolf",21676
"MD","Cecil","24015","2401500000","Attorney General","statewide",34468,"","Other Write-Ins",16
"MD","Charles","24017","2401700000","Attorney General","statewide",64106,"Democrat","Brian E. Frosh",44820
"MD","Charles","24017","2401700000","Attorney General","statewide",64106,"Republican","Craig Wolf",19243
"MD","Charles","24017","2401700000","Attorney General","statewide",64106,"","Other Write-Ins",43
"MD","Dorchester","24019","2401900000","Attorney General","statewide",12072,"Democrat","Brian E. Frosh",5318
"MD","Dorchester","24019","2401900000","Attorney General","statewide",12072,"Republican","Craig Wolf",6749
"MD","Dorchester","24019","2401900000","Attorney General","statewide",12072,"","Other Write-Ins",5
"MD","Frederick","24021","2402100000","Attorney General","statewide",105676,"Democrat","Brian E. Frosh",54045
"MD","Frederick","24021","2402100000","Attorney General","statewide",105676,"Republican","Craig Wolf",51563
"MD","Frederick","24021","2402100000","Attorney General","statewide",105676,"","Other Write-Ins",68
"MD","Garrett","24023","2402300000","Attorney General","statewide",10804,"Democrat","Brian E. Frosh",2399
"MD","Garrett","24023","2402300000","Attorney General","statewide",10804,"Republican","Craig Wolf",8404
"MD","Garrett","24023","2402300000","Attorney General","statewide",10804,"","Other Write-Ins",1
"MD","Harford","24025","2402500000","Attorney General","statewide",109521,"Democrat","Brian E. Frosh",45006
"MD","Harford","24025","2402500000","Attorney General","statewide",109521,"Republican","Craig Wolf",64418
"MD","Harford","24025","2402500000","Attorney General","statewide",109521,"","Other Write-Ins",97
"MD","Howard","24027","2402700000","Attorney General","statewide",141689,"Democrat","Brian E. Frosh",94541
"MD","Howard","24027","2402700000","Attorney General","statewide",141689,"Republican","Craig Wolf",47031
"MD","Howard","24027","2402700000","Attorney General","statewide",141689,"","Other Write-Ins",117
"MD","Kent","24029","2402900000","Attorney General","statewide",8451,"Democrat","Brian E. Frosh",4366
"MD","Kent","24029","2402900000","Attorney General","statewide",8451,"Republican","Craig Wolf",4082
"MD","Kent","24029","2402900000","Attorney General","statewide",8451,"","Other Write-Ins",3
"MD","Montgomery","24031","2403100000","Attorney General","statewide",402846,"Democrat","Brian E. Frosh",315143
"MD","Montgomery","24031","2403100000","Attorney General","statewide",402846,"Republican","Craig Wolf",87435
"MD","Montgomery","24031","2403100000","Attorney General","statewide",402846,"","Other Write-Ins",268
"MD","Prince George's","24033","2403300000","Attorney General","statewide",315162,"Democrat","Brian E. Frosh",286671
"MD","Prince George's","24033","2403300000","Attorney General","statewide",315162,"Republican","Craig Wolf",28088
"MD","Prince George's","24033","2403300000","Attorney General","statewide",315162,"","Other Write-Ins",403
"MD","Queen Anne's","24035","2403500000","Attorney General","statewide",22428,"Democrat","Brian E. Frosh",8022
"MD","Queen Anne's","24035","2403500000","Attorney General","statewide",22428,"Republican","Craig Wolf",14402
"MD","Queen Anne's","24035","2403500000","Attorney General","statewide",22428,"","Other Write-Ins",4
"MD","Somerset","24039","2403900000","Attorney General","statewide",39601,"Democrat","Brian E. Frosh",16433
"MD","Somerset","24039","2403900000","Attorney General","statewide",39601,"Republican","Craig Wolf",23146
"MD","Somerset","24039","2403900000","Attorney General","statewide",39601,"","Other Write-Ins",22
"MD","St. Mary's","24037","2403700000","Attorney General","statewide",7617,"Democrat","Brian E. Frosh",3285
"MD","St. Mary's","24037","2403700000","Attorney General","statewide",7617,"Republican","Craig Wolf",4324
"MD","St. Mary's","24037","2403700000","Attorney General","statewide",7617,"","Other Write-Ins",8
"MD","Talbot","24041","2404100000","Attorney General","statewide",17756,"Democrat","Brian E. Frosh",8528
"MD","Talbot","24041","2404100000","Attorney General","statewide",17756,"Republican","Craig Wolf",9219
"MD","Talbot","24041","2404100000","Attorney General","statewide",17756,"","Other Write-Ins",9
"MD","Washington","24043","2404300000","Attorney General","statewide",49446,"Democrat","Brian E. Frosh",19248
"MD","Washington","24043","2404300000","Attorney General","statewide",49446,"Republican","Craig Wolf",30161
"MD","Washington","24043","2404300000","Attorney General","statewide",49446,"","Other Write-Ins",37
"MD","Wicomico","24045","2404500000","Attorney General","statewide",33149,"Democrat","Brian E. Frosh",15567
"MD","Wicomico","24045","2404500000","Attorney General","statewide",33149,"Republican","Craig Wolf",17558
"MD","Wicomico","24045","2404500000","Attorney General","statewide",33149,"","Other Write-Ins",24
"MD","Worcester","24047","2404700000","Attorney General","statewide",23390,"Democrat","Brian E. Frosh",9108
"MD","Worcester","24047","2404700000","Attorney General","statewide",23390,"Republican","Craig Wolf",14261
"MD","Worcester","24047","2404700000","Attorney General","statewide",23390,"","Other Write-Ins",21
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Bob Farrell",8955
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Carmen B. Jackson",6485
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","David A. Bohn",8424
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Debra Frank",9918
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Jim Snake Robertson",6207
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Nicholas T. Hadley",7615
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Other Write-Ins",132
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Terry Lynn Kasecamp",7133
"MD","Allegany","24001","2400100000","Board of Education","",64267,"Non-partisan","Wayne T. Foote",9398
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Bob Lord",21002
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Doug Howard",21394
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Kenneth A. Kiler",25158
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Mary Kowalski",23032
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Other Write-Ins",692
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Patricia Ann Dorsey",35394
"MD","Carroll","24013","2401300000","Board of Education","",152642,"Non-partisan","Tara Battaglia",25970
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Barbara Barb Palko",20033
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","David Hancock",27392
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Dottery Butler-Washington",18892
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Elizabeth Liz Brown",26739
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Jennifer S. Abell",28181
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Latina Tina Wilson",28330
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Leslie Coker",13674
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Margaret T. Marshall",13613
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Michael Mike Lukas",24063
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Nashonda Sherrod",14898
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Other Write-Ins",1123
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Robert Michael Pitts",16675
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Tajala Taj Battle-Lockhart",22014
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Victoria Vicki Talley Kelly",21409
"MD","Charles","24017","2401700000","Board of Education","",298844,"Non-partisan","Virginia Ginny McGraw",21808
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","April Fleming Miller",35938
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Brad W. Young",50179
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Camden Raynor",28191
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Cindy Rose",31968
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Jay Mason",37971
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Karen Yoho",39242
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Kim L. Williams",21321
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Liz Barrett",38146
"MD","Frederick","24021","2402100000","Board of Education","",284162,"Non-partisan","Other Write-Ins",1206
"MD","Howard","24027","2402700000","Board of Education","",385781,"Non-partisan","Anita Pandey",38109
"MD","Howard","24027","2402700000","Board of Education","",385781,"Non-partisan","Bob Glascock",46929
"MD","Howard","24027","2402700000","Board of Education","",385781,"Non-partisan","Chao Wu",54254
"MD","Howard","24027","2402700000","Board of Education","",385781,"Non-partisan","Danny Mackey",36923
