"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"ME","Abbot","23021","2302100100","Governor","statewide",306,"Independent","Hayes, Teresea M.",21
"ME","Abbot","23021","2302100100","Governor","statewide",306,"Democrat","Mills, Janet T.",106
"ME","Abbot","23021","2302100100","Governor","statewide",306,"Republican","Moody, Shawn H.",179
"ME","Abbot","23021","2302100100","Governor","statewide",306,"","Others",0
"ME","Acton","23031","2303100275","Governor","statewide",1208,"Independent","Hayes, Teresea M.",78
"ME","Acton","23031","2303100275","Governor","statewide",1208,"Democrat","Mills, Janet T.",445
"ME","Acton","23031","2303100275","Governor","statewide",1208,"Republican","Moody, Shawn H.",685
"ME","Acton","23031","2303100275","Governor","statewide",1208,"","Others",0
"ME","Addison","23029","2302900380","Governor","statewide",545,"Independent","Hayes, Teresea M.",26
"ME","Addison","23029","2302900380","Governor","statewide",545,"Democrat","Mills, Janet T.",221
"ME","Addison","23029","2302900380","Governor","statewide",545,"Republican","Moody, Shawn H.",298
"ME","Addison","23029","2302900380","Governor","statewide",545,"","Others",0
"ME","Albion","23011","2301100590","Governor","statewide",934,"Independent","Hayes, Teresea M.",68
"ME","Albion","23011","2301100590","Governor","statewide",934,"Democrat","Mills, Janet T.",297
"ME","Albion","23011","2301100590","Governor","statewide",934,"Republican","Moody, Shawn H.",569
"ME","Albion","23011","2301100590","Governor","statewide",934,"","Others",0
"ME","Alexander","23029","2302900660","Governor","statewide",236,"Independent","Hayes, Teresea M.",7
"ME","Alexander","23029","2302900660","Governor","statewide",236,"Democrat","Mills, Janet T.",74
"ME","Alexander","23029","2302900660","Governor","statewide",236,"Republican","Moody, Shawn H.",154
"ME","Alexander","23029","2302900660","Governor","statewide",236,"","Others",1
"ME","Alfred","23031","2303100730","Governor","statewide",1534,"Independent","Hayes, Teresea M.",108
"ME","Alfred","23031","2303100730","Governor","statewide",1534,"Democrat","Mills, Janet T.",719
"ME","Alfred","23031","2303100730","Governor","statewide",1534,"Republican","Moody, Shawn H.",707
"ME","Alfred","23031","2303100730","Governor","statewide",1534,"","Others",0
"ME","Allagash","23003","2300300800","Governor","statewide",121,"Independent","Hayes, Teresea M.",5
"ME","Allagash","23003","2300300800","Governor","statewide",121,"Democrat","Mills, Janet T.",59
"ME","Allagash","23003","2300300800","Governor","statewide",121,"Republican","Moody, Shawn H.",57
"ME","Allagash","23003","2300300800","Governor","statewide",121,"","Others",0
"ME","Alna","23015","2301501010","Governor","statewide",463,"Independent","Hayes, Teresea M.",25
"ME","Alna","23015","2301501010","Governor","statewide",463,"Democrat","Mills, Janet T.",271
"ME","Alna","23015","2301501010","Governor","statewide",463,"Republican","Moody, Shawn H.",167
"ME","Alna","23015","2301501010","Governor","statewide",463,"","Others",0
"ME","Alton","23019","2301901115","Governor","statewide",431,"Independent","Hayes, Teresea M.",23
"ME","Alton","23019","2301901115","Governor","statewide",431,"Democrat","Mills, Janet T.",155
"ME","Alton","23019","2301901115","Governor","statewide",431,"Republican","Moody, Shawn H.",253
"ME","Alton","23019","2301901115","Governor","statewide",431,"","Others",0
"ME","Amherst","23009","2300901185","Governor","statewide",136,"Independent","Hayes, Teresea M.",9
"ME","Amherst","23009","2300901185","Governor","statewide",136,"Democrat","Mills, Janet T.",50
"ME","Amherst","23009","2300901185","Governor","statewide",136,"Republican","Moody, Shawn H.",77
"ME","Amherst","23009","2300901185","Governor","statewide",136,"","Others",0
"ME","Amity","23003","2300301220","Governor","statewide",92,"Independent","Hayes, Teresea M.",2
"ME","Amity","23003","2300301220","Governor","statewide",92,"Democrat","Mills, Janet T.",28
"ME","Amity","23003","2300301220","Governor","statewide",92,"Republican","Moody, Shawn H.",62
"ME","Amity","23003","2300301220","Governor","statewide",92,"","Others",0
"ME","Andover","23017","2301701325","Governor","statewide",431,"Independent","Hayes, Teresea M.",37
"ME","Andover","23017","2301701325","Governor","statewide",431,"Democrat","Mills, Janet T.",164
"ME","Andover","23017","2301701325","Governor","statewide",431,"Republican","Moody, Shawn H.",230
"ME","Andover","23017","2301701325","Governor","statewide",431,"","Others",0
"ME","Anson","23025","2302501395","Governor","statewide",882,"Independent","Hayes, Teresea M.",54
"ME","Anson","23025","2302501395","Governor","statewide",882,"Democrat","Mills, Janet T.",348
"ME","Anson","23025","2302501395","Governor","statewide",882,"Republican","Moody, Shawn H.",480
"ME","Anson","23025","2302501395","Governor","statewide",882,"","Others",0
"ME","Appleton","23013","2301301465","Governor","statewide",755,"Independent","Hayes, Teresea M.",28
"ME","Appleton","23013","2301301465","Governor","statewide",755,"Democrat","Mills, Janet T.",391
"ME","Appleton","23013","2301301465","Governor","statewide",755,"Republican","Moody, Shawn H.",314
