"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MI","Saginaw","26145","2614500000","10th Circuit Judge of Circuit Court Incumbent - Partial Term Ending 01/01/2021 (1) Position","1000",57617,"No Affiliation","Trice III, Manvel",57617
"MI","Saginaw","26145","2614500000","10th Circuit Judge of Circuit Court Incumbent 6 Year Terms (2) Positions","1000",99505,"No Affiliation","Boes, Janet M.",48295
"MI","Saginaw","26145","2614500000","10th Circuit Judge of Circuit Court Incumbent 6 Year Terms (2) Positions","1000",99505,"No Affiliation","Jackson, Darnell",51210
"MI","Calhoun","26025","2602500000","10th District Judge of District Court Non-Incumbent 6 Year Term (1) Position","1000",43145,"No Affiliation","Buscher, Daniel R.",18288
"MI","Calhoun","26025","2602500000","10th District Judge of District Court Non-Incumbent 6 Year Term (1) Position","1000",43145,"No Affiliation","Tomak, Tracie L.",24857
"MI","Jackson","26075","2607500000","12th District Judge of District Court Incumbent 6 Year Term (1) Position","1200",44696,"No Affiliation","Goostrey, Daniel A.",44696
"MI","Antrim","26009","2600900000","13th Circuit Judge of Circuit Court Incumbent - Partial Term Ending 01/01/2021 (1) Position","1300",9276,"No Affiliation","Elsenheimer, Kevin A.",9276
"MI","Grand Traverse","26055","2605500000","13th Circuit Judge of Circuit Court Incumbent - Partial Term Ending 01/01/2021 (1) Position","1300",32351,"No Affiliation","Elsenheimer, Kevin A.",32351
"MI","Leelanau","26089","2608900000","13th Circuit Judge of Circuit Court Incumbent - Partial Term Ending 01/01/2021 (1) Position","1300",8994,"No Affiliation","Elsenheimer, Kevin A.",8994
"MI","Washtenaw","26161","2616100000","14A District Judge of District Court Incumbent 6 Year Term (1) Position","014A0",67875,"No Affiliation","Bourque, Thomas B.",26038
"MI","Washtenaw","26161","2616100000","14A District Judge of District Court Incumbent 6 Year Term (1) Position","014A0",67875,"No Affiliation","Simpson, J. Cedric",41837
"MI","Muskegon","26121","2612100000","14th Circuit Judge of Circuit Court Incumbent 6 Year Term (1) Position","1400",48842,"No Affiliation","Smedley, Annette R.",48842
"MI","Washtenaw","26161","2616100000","15th District Judge of District Court Incumbent 6 Year Term (1) Position","1500",31741,"No Affiliation","Burke, Joseph F.",31741
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court Incumbent 6 Year Terms (5) Positions","1600",855301,"No Affiliation","Biernat, James M.",165543
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court Incumbent 6 Year Terms (5) Positions","1600",855301,"No Affiliation","Faunce, Jennifer M.",180425
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court Incumbent 6 Year Terms (5) Positions","1600",855301,"No Affiliation","Servitto, Jr., Edward A.",176791
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court Incumbent 6 Year Terms (5) Positions","1600",855301,"No Affiliation","Switalski, Mark",170826
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court Incumbent 6 Year Terms (5) Positions","1600",855301,"No Affiliation","Yokich, Tracey A.",161716
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court New Judgeship 8 Year Term (1) Position","1600",268233,"No Affiliation","Gatti, Julie Lynn",168616
"MI","Macomb","26099","2609900000","16th Circuit Judge of Circuit Court New Judgeship 8 Year Term (1) Position","1600",268233,"No Affiliation","Pyden, Elizabeth A.",99617
"MI","Wayne","26163","2616300000","16th District Judge of District Court Incumbent 6 Year Term (1) Position","1600",28235,"No Affiliation","McCann, Kathleen J.",28235
"MI","Kent","26081","2608100000","17th Circuit Judge of Circuit Court Incumbent 6 Year Terms (2) Positions","1700",334288,"No Affiliation","Trusock, Mark A.",165193
"MI","Kent","26081","2608100000","17th Circuit Judge of Circuit Court Incumbent 6 Year Terms (2) Positions","1700",334288,"No Affiliation","Yates, Christopher P.",169095
"MI","Kent","26081","2608100000","17th Circuit Judge of Circuit Court Non-Incumbent 6 Year Terms (2) Positions","1700",372892,"No Affiliation","Benson, Curt",101355
"MI","Kent","26081","2608100000","17th Circuit Judge of Circuit Court Non-Incumbent 6 Year Terms (2) Positions","1700",372892,"No Affiliation","Bryant, Alida",84276
"MI","Kent","26081","2608100000","17th Circuit Judge of Circuit Court Non-Incumbent 6 Year Terms (2) Positions","1700",372892,"No Affiliation","Elmore, Christina",99219
"MI","Kent","26081","2608100000","17th Circuit Judge of Circuit Court Non-Incumbent 6 Year Terms (2) Positions","1700",372892,"No Affiliation","Noto, Scott A.",88042
"MI","Clare","26035","2603500000","17th District Judge of Probate District Court Incumbent 6 Year Term (1) Position","1700",8896,"No Affiliation","Klaus, Marcy A.",8896
"MI","Gladwin","26051","2605100000","17th District Judge of Probate District Court Incumbent 6 Year Term (1) Position","1700",8004,"No Affiliation","Klaus, Marcy A.",8004
"MI","Wayne","26163","2616300000","18th District Judge of District Court Incumbent 6 Year Term (1) Position","1800",20625,"No Affiliation","Cicirelli, Sandra A.",20625
"MI","Mecosta","26107","2610700000","18th District Judge of Probate District Court Incumbent 6 Year Term (1) Position","1800",11072,"No Affiliation","Thompson, Tyler",11072
"MI","Osceola","26133","2613300000","18th District Judge of Probate District Court Incumbent 6 Year Term (1) Position","1800",7099,"No Affiliation","Thompson, Tyler",7099
"MI","Wayne","26163","2616300000","19th District Judge of District Court Incumbent 6 Year Term (1) Position","1900",18848,"No Affiliation","Salamey, Sam",18848
"MI","Branch","26023","2602300000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",10922,"No Affiliation","Cameron, Thomas C.",10922
"MI","Hillsdale","26059","2605900000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",11610,"No Affiliation","Cameron, Thomas C.",11610
"MI","Kalamazoo","26077","2607700000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",77941,"No Affiliation","Cameron, Thomas C.",77941
"MI","Lenawee","26091","2609100000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",27277,"No Affiliation","Cameron, Thomas C.",27277
"MI","Monroe","26115","2611500000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",40989,"No Affiliation","Cameron, Thomas C.",40989
"MI","St. Joseph","26149","2614900000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",15182,"No Affiliation","Cameron, Thomas C.",15182
"MI","Wayne","26163","2616300000","1st District Judge of Court of Appeals Incumbent - Partial Term Ending 01/01/2023 (1) Position","100",407595,"No Affiliation","Cameron, Thomas C.",407595
"MI","Branch","26023","2602300000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",18618,"No Affiliation","Kelly, Kirsten Frank",9759
"MI","Branch","26023","2602300000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",18618,"No Affiliation","Riordan, Michael J.",8859
"MI","Hillsdale","26059","2605900000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",19914,"No Affiliation","Kelly, Kirsten Frank",10779
"MI","Hillsdale","26059","2605900000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",19914,"No Affiliation","Riordan, Michael J.",9135
"MI","Kalamazoo","26077","2607700000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",137787,"No Affiliation","Kelly, Kirsten Frank",75778
"MI","Kalamazoo","26077","2607700000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",137787,"No Affiliation","Riordan, Michael J.",62009
"MI","Lenawee","26091","2609100000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",47220,"No Affiliation","Kelly, Kirsten Frank",25768
"MI","Lenawee","26091","2609100000","1st District Judge of Court of Appeals Incumbent 6 Year Terms (2) Positions","100",47220,"No Affiliation","Riordan, Michael J.",21452
