"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MN","Aitkin","27001","2700100000","Associate Justice - Supreme Court 1","statewide",5403,"Non-partisan","Barry Anderson",5385
"MN","Aitkin","27001","2700100000","Associate Justice - Supreme Court 1","statewide",5403,"","WRITE-IN",18
"MN","Anoka","27003","2700300000","Associate Justice - Supreme Court 1","statewide",95799,"Non-partisan","Barry Anderson",94698
"MN","Anoka","27003","2700300000","Associate Justice - Supreme Court 1","statewide",95799,"","WRITE-IN",1101
"MN","Becker","27005","2700500000","Associate Justice - Supreme Court 1","statewide",10417,"Non-partisan","Barry Anderson",10375
"MN","Becker","27005","2700500000","Associate Justice - Supreme Court 1","statewide",10417,"","WRITE-IN",42
"MN","Beltrami","27007","2700700000","Associate Justice - Supreme Court 1","statewide",12344,"Non-partisan","Barry Anderson",12295
"MN","Beltrami","27007","2700700000","Associate Justice - Supreme Court 1","statewide",12344,"","WRITE-IN",49
"MN","Benton","27009","2700900000","Associate Justice - Supreme Court 1","statewide",10420,"Non-partisan","Barry Anderson",10364
"MN","Benton","27009","2700900000","Associate Justice - Supreme Court 1","statewide",10420,"","WRITE-IN",56
"MN","Big Stone","27011","2701100000","Associate Justice - Supreme Court 1","statewide",2028,"Non-partisan","Barry Anderson",2025
"MN","Big Stone","27011","2701100000","Associate Justice - Supreme Court 1","statewide",2028,"","WRITE-IN",3
"MN","Blue Earth","27013","2701300000","Associate Justice - Supreme Court 1","statewide",20278,"Non-partisan","Barry Anderson",20176
"MN","Blue Earth","27013","2701300000","Associate Justice - Supreme Court 1","statewide",20278,"","WRITE-IN",102
"MN","Brown","27015","2701500000","Associate Justice - Supreme Court 1","statewide",9296,"Non-partisan","Barry Anderson",9272
"MN","Brown","27015","2701500000","Associate Justice - Supreme Court 1","statewide",9296,"","WRITE-IN",24
"MN","Carlton","27017","2701700000","Associate Justice - Supreme Court 1","statewide",11377,"Non-partisan","Barry Anderson",11328
"MN","Carlton","27017","2701700000","Associate Justice - Supreme Court 1","statewide",11377,"","WRITE-IN",49
"MN","Carver","27019","2701900000","Associate Justice - Supreme Court 1","statewide",30244,"Non-partisan","Barry Anderson",30131
"MN","Carver","27019","2701900000","Associate Justice - Supreme Court 1","statewide",30244,"","WRITE-IN",113
"MN","Cass","27021","2702100000","Associate Justice - Supreme Court 1","statewide",9519,"Non-partisan","Barry Anderson",9494
"MN","Cass","27021","2702100000","Associate Justice - Supreme Court 1","statewide",9519,"","WRITE-IN",25
"MN","Chippewa","27023","2702300000","Associate Justice - Supreme Court 1","statewide",4466,"Non-partisan","Barry Anderson",4458
"MN","Chippewa","27023","2702300000","Associate Justice - Supreme Court 1","statewide",4466,"","WRITE-IN",8
"MN","Chisago","27025","2702500000","Associate Justice - Supreme Court 1","statewide",15814,"Non-partisan","Barry Anderson",15673
"MN","Chisago","27025","2702500000","Associate Justice - Supreme Court 1","statewide",15814,"","WRITE-IN",141
"MN","Clay","27027","2702700000","Associate Justice - Supreme Court 1","statewide",17675,"Non-partisan","Barry Anderson",17627
"MN","Clay","27027","2702700000","Associate Justice - Supreme Court 1","statewide",17675,"","WRITE-IN",48
"MN","Clearwater","27029","2702900000","Associate Justice - Supreme Court 1","statewide",2440,"Non-partisan","Barry Anderson",2427
"MN","Clearwater","27029","2702900000","Associate Justice - Supreme Court 1","statewide",2440,"","WRITE-IN",13
"MN","Cook","27031","2703100000","Associate Justice - Supreme Court 1","statewide",2131,"Non-partisan","Barry Anderson",2125
"MN","Cook","27031","2703100000","Associate Justice - Supreme Court 1","statewide",2131,"","WRITE-IN",6
"MN","Cottonwood","27033","2703300000","Associate Justice - Supreme Court 1","statewide",3948,"Non-partisan","Barry Anderson",3938
"MN","Cottonwood","27033","2703300000","Associate Justice - Supreme Court 1","statewide",3948,"","WRITE-IN",10
"MN","Crow Wing","27035","2703500000","Associate Justice - Supreme Court 1","statewide",21889,"Non-partisan","Barry Anderson",21790
"MN","Crow Wing","27035","2703500000","Associate Justice - Supreme Court 1","statewide",21889,"","WRITE-IN",99
"MN","Dakota","27037","2703700000","Associate Justice - Supreme Court 1","statewide",127538,"Non-partisan","Barry Anderson",126519
"MN","Dakota","27037","2703700000","Associate Justice - Supreme Court 1","statewide",127538,"","WRITE-IN",1019
"MN","Dodge","27039","2703900000","Associate Justice - Supreme Court 1","statewide",6551,"Non-partisan","Barry Anderson",6512
"MN","Dodge","27039","2703900000","Associate Justice - Supreme Court 1","statewide",6551,"","WRITE-IN",39
"MN","Douglas","27041","2704100000","Associate Justice - Supreme Court 1","statewide",12577,"Non-partisan","Barry Anderson",12507
"MN","Douglas","27041","2704100000","Associate Justice - Supreme Court 1","statewide",12577,"","WRITE-IN",70
"MN","Faribault","27043","2704300000","Associate Justice - Supreme Court 1","statewide",5132,"Non-partisan","Barry Anderson",5120
"MN","Faribault","27043","2704300000","Associate Justice - Supreme Court 1","statewide",5132,"","WRITE-IN",12
"MN","Fillmore","27045","2704500000","Associate Justice - Supreme Court 1","statewide",7251,"Non-partisan","Barry Anderson",7229
"MN","Fillmore","27045","2704500000","Associate Justice - Supreme Court 1","statewide",7251,"","WRITE-IN",22
"MN","Freeborn","27047","2704700000","Associate Justice - Supreme Court 1","statewide",9876,"Non-partisan","Barry Anderson",9834
"MN","Freeborn","27047","2704700000","Associate Justice - Supreme Court 1","statewide",9876,"","WRITE-IN",42
"MN","Goodhue","27049","2704900000","Associate Justice - Supreme Court 1","statewide",16243,"Non-partisan","Barry Anderson",16190
"MN","Goodhue","27049","2704900000","Associate Justice - Supreme Court 1","statewide",16243,"","WRITE-IN",53
"MN","Grant","27051","2705100000","Associate Justice - Supreme Court 1","statewide",2406,"Non-partisan","Barry Anderson",2398
"MN","Grant","27051","2705100000","Associate Justice - Supreme Court 1","statewide",2406,"","WRITE-IN",8
"MN","Hennepin","27053","2705300000","Associate Justice - Supreme Court 1","statewide",321414,"Non-partisan","Barry Anderson",316080
