"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 25",118297,"","Richard T. Standridge--No",42639
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 25",118297,"","Richard T. Standridge--Yes",75658
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 25",96042,"","Richard T. Standridge--No",25902
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 25",96042,"","Richard T. Standridge--Yes",70140
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 27",117801,"","Gregory Burnett Gillis--No",43454
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 27",117801,"","Gregory Burnett Gillis--Yes",74347
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 27",95758,"","Gregory Burnett Gillis--No",25345
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 27",95758,"","Gregory Burnett Gillis--Yes",70413
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 30",119239,"","Twila Kay Rigby--No",40210
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 30",119239,"","Twila Kay Rigby--Yes",79029
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 30",96512,"","Twila Kay Rigby--No",23036
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 30",96512,"","Twila Kay Rigby--Yes",73476
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 31",118948,"","Mary Frances Weir--No",38847
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 31",118948,"","Mary Frances Weir--Yes",80101
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 31",96479,"","Mary Frances Weir--No",21317
"MO","Kansas City",NA,NA,"Associate Circuit Judge","Circuit 16 - Div 31",96479,"","Mary Frances Weir--Yes",75162
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 33",118110,"","Jeffrey L. Bushur--No",43334
"MO","Jackson","29095","2909500000","Associate Circuit Judge","Circuit 16 - Div 33",118110,"","Jeffrey L. Bushur--Yes",74776
