"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MS","Alcorn","28003","2800300000","US House","1",10201,"Republican","Kelly, Trent",8233
"MS","Alcorn","28003","2800300000","US House","1",10201,"Reform","O'Hara Hill, Tracella Lou",60
"MS","Alcorn","28003","2800300000","US House","1",10201,"Democrat","Wadkins, Randy",1908
"MS","Benton","28009","2800900000","US House","1",2797,"Republican","Kelly, Trent",1618
"MS","Benton","28009","2800900000","US House","1",2797,"Reform","O'Hara Hill, Tracella Lou",19
"MS","Benton","28009","2800900000","US House","1",2797,"Democrat","Wadkins, Randy",1160
"MS","Calhoun","28013","2801300000","US House","1",4669,"Republican","Kelly, Trent",3332
"MS","Calhoun","28013","2801300000","US House","1",4669,"Reform","O'Hara Hill, Tracella Lou",34
"MS","Calhoun","28013","2801300000","US House","1",4669,"Democrat","Wadkins, Randy",1303
"MS","Chickasaw","28017","2801700000","US House","1",5973,"Republican","Kelly, Trent",3372
"MS","Chickasaw","28017","2801700000","US House","1",5973,"Reform","O'Hara Hill, Tracella Lou",56
"MS","Chickasaw","28017","2801700000","US House","1",5973,"Democrat","Wadkins, Randy",2545
"MS","Choctaw","28019","2801900000","US House","1",3021,"Republican","Kelly, Trent",2171
"MS","Choctaw","28019","2801900000","US House","1",3021,"Reform","O'Hara Hill, Tracella Lou",23
"MS","Choctaw","28019","2801900000","US House","1",3021,"Democrat","Wadkins, Randy",827
"MS","Clay","28025","2802500000","US House","1",7710,"Republican","Kelly, Trent",3508
"MS","Clay","28025","2802500000","US House","1",7710,"Reform","O'Hara Hill, Tracella Lou",53
"MS","Clay","28025","2802500000","US House","1",7710,"Democrat","Wadkins, Randy",4149
"MS","DeSoto","28033","2803300000","US House","1",50777,"Republican","Kelly, Trent",33118
"MS","DeSoto","28033","2803300000","US House","1",50777,"Reform","O'Hara Hill, Tracella Lou",401
"MS","DeSoto","28033","2803300000","US House","1",50777,"Democrat","Wadkins, Randy",17258
"MS","Itawamba","28057","2805700000","US House","1",6891,"Republican","Kelly, Trent",6094
"MS","Itawamba","28057","2805700000","US House","1",6891,"Reform","O'Hara Hill, Tracella Lou",41
"MS","Itawamba","28057","2805700000","US House","1",6891,"Democrat","Wadkins, Randy",756
"MS","Lafayette","28071","2807100000","US House","1",16472,"Republican","Kelly, Trent",9357
"MS","Lafayette","28071","2807100000","US House","1",16472,"Reform","O'Hara Hill, Tracella Lou",97
"MS","Lafayette","28071","2807100000","US House","1",16472,"Democrat","Wadkins, Randy",7018
"MS","Lee","28081","2808100000","US House","1",25603,"Republican","Kelly, Trent",18188
"MS","Lee","28081","2808100000","US House","1",25603,"Reform","O'Hara Hill, Tracella Lou",161
"MS","Lee","28081","2808100000","US House","1",25603,"Democrat","Wadkins, Randy",7254
"MS","Lowndes","28087","2808700000","US House","1",19842,"Republican","Kelly, Trent",10832
"MS","Lowndes","28087","2808700000","US House","1",19842,"Reform","O'Hara Hill, Tracella Lou",158
"MS","Lowndes","28087","2808700000","US House","1",19842,"Democrat","Wadkins, Randy",8852
"MS","Marshall","28093","2809300000","US House","1",11368,"Republican","Kelly, Trent",5388
"MS","Marshall","28093","2809300000","US House","1",11368,"Reform","O'Hara Hill, Tracella Lou",100
"MS","Marshall","28093","2809300000","US House","1",11368,"Democrat","Wadkins, Randy",5880
"MS","Monroe","28095","2809500000","US House","1",11842,"Republican","Kelly, Trent",7894
"MS","Monroe","28095","2809500000","US House","1",11842,"Reform","O'Hara Hill, Tracella Lou",83
"MS","Monroe","28095","2809500000","US House","1",11842,"Democrat","Wadkins, Randy",3865
"MS","Oktibbeha","28105","2810500000","US House","1",1309,"Republican","Kelly, Trent",792
"MS","Oktibbeha","28105","2810500000","US House","1",1309,"Reform","O'Hara Hill, Tracella Lou",8
"MS","Oktibbeha","28105","2810500000","US House","1",1309,"Democrat","Wadkins, Randy",509
"MS","Pontotoc","28115","2811500000","US House","1",9703,"Republican","Kelly, Trent",8019
"MS","Pontotoc","28115","2811500000","US House","1",9703,"Reform","O'Hara Hill, Tracella Lou",55
"MS","Pontotoc","28115","2811500000","US House","1",9703,"Democrat","Wadkins, Randy",1629
"MS","Prentiss","28117","2811700000","US House","1",7246,"Republican","Kelly, Trent",5765
"MS","Prentiss","28117","2811700000","US House","1",7246,"Reform","O'Hara Hill, Tracella Lou",48
"MS","Prentiss","28117","2811700000","US House","1",7246,"Democrat","Wadkins, Randy",1433
"MS","Tate","28137","2813700000","US House","1",8684,"Republican","Kelly, Trent",5781
"MS","Tate","28137","2813700000","US House","1",8684,"Reform","O'Hara Hill, Tracella Lou",56
"MS","Tate","28137","2813700000","US House","1",8684,"Democrat","Wadkins, Randy",2847
"MS","Tippah","28139","2813900000","US House","1",6958,"Republican","Kelly, Trent",5579
"MS","Tippah","28139","2813900000","US House","1",6958,"Reform","O'Hara Hill, Tracella Lou",57
"MS","Tippah","28139","2813900000","US House","1",6958,"Democrat","Wadkins, Randy",1322
"MS","Tishomingo","28141","2814100000","US House","1",6141,"Republican","Kelly, Trent",4982
"MS","Tishomingo","28141","2814100000","US House","1",6141,"Reform","O'Hara Hill, Tracella Lou",42
"MS","Tishomingo","28141","2814100000","US House","1",6141,"Democrat","Wadkins, Randy",1117
"MS","Union","28145","2814500000","US House","1",8339,"Republican","Kelly, Trent",6974
"MS","Union","28145","2814500000","US House","1",8339,"Reform","O'Hara Hill, Tracella Lou",61
"MS","Union","28145","2814500000","US House","1",8339,"Democrat","Wadkins, Randy",1304
"MS","Webster","28155","2815500000","US House","1",3940,"Republican","Kelly, Trent",3197
"MS","Webster","28155","2815500000","US House","1",3940,"Reform","O'Hara Hill, Tracella Lou",19
"MS","Webster","28155","2815500000","US House","1",3940,"Democrat","Wadkins, Randy",724
"MS","Winston","28159","2815900000","US House","1",7035,"Republican","Kelly, Trent",4051
"MS","Winston","28159","2815900000","US House","1",7035,"Reform","O'Hara Hill, Tracella Lou",43
"MS","Winston","28159","2815900000","US House","1",7035,"Democrat","Wadkins, Randy",2941
"MS","Attala","28007","2800700000","US House","2",5899,"Reform","Harris, Irving",574
"MS","Attala","28007","2800700000","US House","2",5899,"Independent","Ray, Troy",2406
"MS","Attala","28007","2800700000","US House","2",5899,"Democrat","Thompson, Bennie",2919
"MS","Bolivar","28011","2801100000","US House","2",10472,"Reform","Harris, Irving",457
"MS","Bolivar","28011","2801100000","US House","2",10472,"Independent","Ray, Troy",2117
"MS","Bolivar","28011","2801100000","US House","2",10472,"Democrat","Thompson, Bennie",7898
"MS","Carroll","28015","2801500000","US House","2",4000,"Reform","Harris, Irving",420
"MS","Carroll","28015","2801500000","US House","2",4000,"Independent","Ray, Troy",1842
"MS","Carroll","28015","2801500000","US House","2",4000,"Democrat","Thompson, Bennie",1738
"MS","Claiborne","28021","2802100000","US House","2",3364,"Reform","Harris, Irving",194
"MS","Claiborne","28021","2802100000","US House","2",3364,"Independent","Ray, Troy",275
"MS","Claiborne","28021","2802100000","US House","2",3364,"Democrat","Thompson, Bennie",2895
"MS","Coahoma","28027","2802700000","US House","2",6224,"Reform","Harris, Irving",298
"MS","Coahoma","28027","2802700000","US House","2",6224,"Independent","Ray, Troy",939
"MS","Coahoma","28027","2802700000","US House","2",6224,"Democrat","Thompson, Bennie",4987
"MS","Copiah","28029","2802900000","US House","2",10109,"Reform","Harris, Irving",1235
"MS","Copiah","28029","2802900000","US House","2",10109,"Independent","Ray, Troy",2710
"MS","Copiah","28029","2802900000","US House","2",10109,"Democrat","Thompson, Bennie",6164
