"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MT","Beaverhead","30001","3000100000","US House","1",4916,"Libertarian","ELINOR SWANSON",122
"MT","Beaverhead","30001","3000100000","US House","1",4916,"Republican","GREG GIANFORTE",3113
"MT","Beaverhead","30001","3000100000","US House","1",4916,"Democrat","KATHLEEN WILLIAMS",1681
"MT","Big Horn","30003","3000300000","US House","1",4676,"Libertarian","ELINOR SWANSON",106
"MT","Big Horn","30003","3000300000","US House","1",4676,"Republican","GREG GIANFORTE",1705
"MT","Big Horn","30003","3000300000","US House","1",4676,"Democrat","KATHLEEN WILLIAMS",2865
"MT","Blaine","30005","3000500000","US House","1",3002,"Libertarian","ELINOR SWANSON",87
"MT","Blaine","30005","3000500000","US House","1",3002,"Republican","GREG GIANFORTE",1173
"MT","Blaine","30005","3000500000","US House","1",3002,"Democrat","KATHLEEN WILLIAMS",1742
"MT","Broadwater","30007","3000700000","US House","1",3251,"Libertarian","ELINOR SWANSON",105
"MT","Broadwater","30007","3000700000","US House","1",3251,"Republican","GREG GIANFORTE",2249
"MT","Broadwater","30007","3000700000","US House","1",3251,"Democrat","KATHLEEN WILLIAMS",897
"MT","Carbon","30009","3000900000","US House","1",6076,"Libertarian","ELINOR SWANSON",184
"MT","Carbon","30009","3000900000","US House","1",6076,"Republican","GREG GIANFORTE",3450
"MT","Carbon","30009","3000900000","US House","1",6076,"Democrat","KATHLEEN WILLIAMS",2442
"MT","Carter","30011","3001100000","US House","1",748,"Libertarian","ELINOR SWANSON",12
"MT","Carter","30011","3001100000","US House","1",748,"Republican","GREG GIANFORTE",636
"MT","Carter","30011","3001100000","US House","1",748,"Democrat","KATHLEEN WILLIAMS",100
"MT","Cascade","30013","3001300000","US House","1",33970,"Libertarian","ELINOR SWANSON",925
"MT","Cascade","30013","3001300000","US House","1",33970,"Republican","GREG GIANFORTE",17219
"MT","Cascade","30013","3001300000","US House","1",33970,"Democrat","KATHLEEN WILLIAMS",15826
"MT","Chouteau","30015","3001500000","US House","1",2652,"Libertarian","ELINOR SWANSON",66
"MT","Chouteau","30015","3001500000","US House","1",2652,"Republican","GREG GIANFORTE",1515
"MT","Chouteau","30015","3001500000","US House","1",2652,"Democrat","KATHLEEN WILLIAMS",1071
"MT","Custer","30017","3001700000","US House","1",4891,"Libertarian","ELINOR SWANSON",168
"MT","Custer","30017","3001700000","US House","1",4891,"Republican","GREG GIANFORTE",3085
"MT","Custer","30017","3001700000","US House","1",4891,"Democrat","KATHLEEN WILLIAMS",1638
"MT","Daniels","30019","3001900000","US House","1",944,"Libertarian","ELINOR SWANSON",20
"MT","Daniels","30019","3001900000","US House","1",944,"Republican","GREG GIANFORTE",684
"MT","Daniels","30019","3001900000","US House","1",944,"Democrat","KATHLEEN WILLIAMS",240
"MT","Dawson","30021","3002100000","US House","1",4064,"Libertarian","ELINOR SWANSON",125
"MT","Dawson","30021","3002100000","US House","1",4064,"Republican","GREG GIANFORTE",2811
"MT","Dawson","30021","3002100000","US House","1",4064,"Democrat","KATHLEEN WILLIAMS",1128
"MT","Deer Lodge","30023","3002300000","US House","1",4227,"Libertarian","ELINOR SWANSON",155
"MT","Deer Lodge","30023","3002300000","US House","1",4227,"Republican","GREG GIANFORTE",1379
"MT","Deer Lodge","30023","3002300000","US House","1",4227,"Democrat","KATHLEEN WILLIAMS",2693
"MT","Fallon","30025","3002500000","US House","1",1275,"Libertarian","ELINOR SWANSON",24
"MT","Fallon","30025","3002500000","US House","1",1275,"Republican","GREG GIANFORTE",1025
"MT","Fallon","30025","3002500000","US House","1",1275,"Democrat","KATHLEEN WILLIAMS",226
"MT","Fergus","30027","3002700000","US House","1",5806,"Libertarian","ELINOR SWANSON",139
"MT","Fergus","30027","3002700000","US House","1",5806,"Republican","GREG GIANFORTE",3915
"MT","Fergus","30027","3002700000","US House","1",5806,"Democrat","KATHLEEN WILLIAMS",1752
"MT","Flathead","30029","3002900000","US House","1",47778,"Libertarian","ELINOR SWANSON",1277
"MT","Flathead","30029","3002900000","US House","1",47778,"Republican","GREG GIANFORTE",28450
"MT","Flathead","30029","3002900000","US House","1",47778,"Democrat","KATHLEEN WILLIAMS",18051
"MT","Gallatin","30031","3003100000","US House","1",55977,"Libertarian","ELINOR SWANSON",1523
"MT","Gallatin","30031","3003100000","US House","1",55977,"Republican","GREG GIANFORTE",23157
"MT","Gallatin","30031","3003100000","US House","1",55977,"Democrat","KATHLEEN WILLIAMS",31297
"MT","Garfield","30033","3003300000","US House","1",681,"Libertarian","ELINOR SWANSON",20
"MT","Garfield","30033","3003300000","US House","1",681,"Republican","GREG GIANFORTE",606
"MT","Garfield","30033","3003300000","US House","1",681,"Democrat","KATHLEEN WILLIAMS",55
"MT","Glacier","30035","3003500000","US House","1",4982,"Libertarian","ELINOR SWANSON",111
"MT","Glacier","30035","3003500000","US House","1",4982,"Republican","GREG GIANFORTE",1307
"MT","Glacier","30035","3003500000","US House","1",4982,"Democrat","KATHLEEN WILLIAMS",3564
"MT","Golden Valley","30037","3003700000","US House","1",453,"Libertarian","ELINOR SWANSON",22
"MT","Golden Valley","30037","3003700000","US House","1",453,"Republican","GREG GIANFORTE",323
"MT","Golden Valley","30037","3003700000","US House","1",453,"Democrat","KATHLEEN WILLIAMS",108
"MT","Granite","30039","3003900000","US House","1",1804,"Libertarian","ELINOR SWANSON",62
"MT","Granite","30039","3003900000","US House","1",1804,"Republican","GREG GIANFORTE",1133
"MT","Granite","30039","3003900000","US House","1",1804,"Democrat","KATHLEEN WILLIAMS",609
"MT","Hill","30041","3004100000","US House","1",6380,"Libertarian","ELINOR SWANSON",231
"MT","Hill","30041","3004100000","US House","1",6380,"Republican","GREG GIANFORTE",2834
"MT","Hill","30041","3004100000","US House","1",6380,"Democrat","KATHLEEN WILLIAMS",3315
"MT","Jefferson","30043","3004300000","US House","1",6837,"Libertarian","ELINOR SWANSON",200
"MT","Jefferson","30043","3004300000","US House","1",6837,"Republican","GREG GIANFORTE",4016
"MT","Jefferson","30043","3004300000","US House","1",6837,"Democrat","KATHLEEN WILLIAMS",2621
"MT","Judith Basin","30045","3004500000","US House","1",1194,"Libertarian","ELINOR SWANSON",34
"MT","Judith Basin","30045","3004500000","US House","1",1194,"Republican","GREG GIANFORTE",849
"MT","Judith Basin","30045","3004500000","US House","1",1194,"Democrat","KATHLEEN WILLIAMS",311
"MT","Lake","30047","3004700000","US House","1",13784,"Libertarian","ELINOR SWANSON",355
"MT","Lake","30047","3004700000","US House","1",13784,"Republican","GREG GIANFORTE",7013
"MT","Lake","30047","3004700000","US House","1",13784,"Democrat","KATHLEEN WILLIAMS",6416
"MT","Lewis and Clark","30049","3004900000","US House","1",35530,"Libertarian","ELINOR SWANSON",1046
"MT","Lewis and Clark","30049","3004900000","US House","1",35530,"Republican","GREG GIANFORTE",15686
"MT","Lewis and Clark","30049","3004900000","US House","1",35530,"Democrat","KATHLEEN WILLIAMS",18798
"MT","Liberty","30051","3005100000","US House","1",976,"Libertarian","ELINOR SWANSON",24
"MT","Liberty","30051","3005100000","US House","1",976,"Republican","GREG GIANFORTE",653
"MT","Liberty","30051","3005100000","US House","1",976,"Democrat","KATHLEEN WILLIAMS",299
"MT","Lincoln","30053","3005300000","US House","1",9326,"Libertarian","ELINOR SWANSON",245
"MT","Lincoln","30053","3005300000","US House","1",9326,"Republican","GREG GIANFORTE",6453
"MT","Lincoln","30053","3005300000","US House","1",9326,"Democrat","KATHLEEN WILLIAMS",2628
"MT","Madison","30057","3005700000","US House","1",4971,"Libertarian","ELINOR SWANSON",145
"MT","Madison","30057","3005700000","US House","1",4971,"Republican","GREG GIANFORTE",3159
"MT","Madison","30057","3005700000","US House","1",4971,"Democrat","KATHLEEN WILLIAMS",1667
"MT","McCone","30055","3005500000","US House","1",1028,"Libertarian","ELINOR SWANSON",21
"MT","McCone","30055","3005500000","US House","1",1028,"Republican","GREG GIANFORTE",813
"MT","McCone","30055","3005500000","US House","1",1028,"Democrat","KATHLEEN WILLIAMS",194
"MT","Meagher","30059","3005900000","US House","1",982,"Libertarian","ELINOR SWANSON",38
"MT","Meagher","30059","3005900000","US House","1",982,"Republican","GREG GIANFORTE",680
"MT","Meagher","30059","3005900000","US House","1",982,"Democrat","KATHLEEN WILLIAMS",264
"MT","Mineral","30061","3006100000","US House","1",2057,"Libertarian","ELINOR SWANSON",69
"MT","Mineral","30061","3006100000","US House","1",2057,"Republican","GREG GIANFORTE",1286
