"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Allison Gant",26365
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Bridgette M. Yaeger",15139
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Linda Kinney",20175
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Ryan Bowden",16820
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Tony Rose",23205
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Wayne Beam",21269
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","write-in (Miscellaneous)",531
"NC","Alamance","37001","3700100000","ALAMANCE-BURLINGTON BOARD OF EDUCATION (vote for 3)","",131735,"","Yvette Gaboury",8231
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY BOARD OF COMMISSIONERS (vote for 2)","",106119,"Republican","Amy Scott Galey",29861
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY BOARD OF COMMISSIONERS (vote for 2)","",106119,"Democrat","Kristen Powers",24326
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY BOARD OF COMMISSIONERS (vote for 2)","",106119,"Democrat","Robert E. (Bob) Byrd",25313
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY BOARD OF COMMISSIONERS (vote for 2)","",106119,"Republican","Steven J. Carter",26619
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY CLERK OF SUPERIOR COURT","",56133,"Democrat","Jeff B. Allen",25278
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY CLERK OF SUPERIOR COURT","",56133,"Republican","Meredith Tuck Edwards",30855
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY COMMUNITY COLLEGE BONDS","",54239,"","No",18454
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY COMMUNITY COLLEGE BONDS","",54239,"","Yes",35785
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY LOCAL SALES AND USE TAX","",54614,"","Against",29701
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY LOCAL SALES AND USE TAX","",54614,"","For",24913
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY SCHOOL BONDS","",54535,"","No",16652
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY SCHOOL BONDS","",54535,"","Yes",37883
"NC","Alamance","37001","3700100000","ALAMANCE COUNTY SHERIFF","",38184,"Republican","Terry S. Johnson",38184
"NC","Alamance","37001","3700100000","ALAMANCE SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR (vote for 2)","",71509,"","David Morrow",23832
"NC","Alamance","37001","3700100000","ALAMANCE SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR (vote for 2)","",71509,"","Fred Bowman",29041
"NC","Alamance","37001","3700100000","ALAMANCE SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR (vote for 2)","",71509,"","Gene Brooks",18336
"NC","Alamance","37001","3700100000","ALAMANCE SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR (vote for 2)","",71509,"","write-in (Miscellaneous)",300
"NC","Alexander","37003","3700300000","ALEXANDER COUNTY BOARD OF COMMISSIONERS (vote for 3)","",36128,"Democrat","Glenn P. Deal, Jr.",4119
"NC","Alexander","37003","3700300000","ALEXANDER COUNTY BOARD OF COMMISSIONERS (vote for 3)","",36128,"Republican","Larry Yoder",9323
