"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"ND","Adams","38001","3800100000","US House","1",1158,"Independent","Charles Tuttle",44
"ND","Adams","38001","3800100000","US House","1",1158,"Republican","Kelly Armstrong",878
"ND","Adams","38001","3800100000","US House","1",1158,"Democrat","Mac Schneider",236
"ND","Adams","38001","3800100000","US House","1",1158,"","write-in",0
"ND","Barnes","38003","3800300000","US House","1",4985,"Independent","Charles Tuttle",201
"ND","Barnes","38003","3800300000","US House","1",4985,"Republican","Kelly Armstrong",2785
"ND","Barnes","38003","3800300000","US House","1",4985,"Democrat","Mac Schneider",1992
"ND","Barnes","38003","3800300000","US House","1",4985,"","write-in",7
"ND","Benson","38005","3800500000","US House","1",2243,"Independent","Charles Tuttle",105
"ND","Benson","38005","3800500000","US House","1",2243,"Republican","Kelly Armstrong",909
"ND","Benson","38005","3800500000","US House","1",2243,"Democrat","Mac Schneider",1225
"ND","Benson","38005","3800500000","US House","1",2243,"","write-in",4
"ND","Billings","38007","3800700000","US House","1",566,"Independent","Charles Tuttle",21
"ND","Billings","38007","3800700000","US House","1",566,"Republican","Kelly Armstrong",469
"ND","Billings","38007","3800700000","US House","1",566,"Democrat","Mac Schneider",76
"ND","Billings","38007","3800700000","US House","1",566,"","write-in",0
"ND","Bottineau","38009","3800900000","US House","1",3254,"Independent","Charles Tuttle",126
"ND","Bottineau","38009","3800900000","US House","1",3254,"Republican","Kelly Armstrong",2316
"ND","Bottineau","38009","3800900000","US House","1",3254,"Democrat","Mac Schneider",806
"ND","Bottineau","38009","3800900000","US House","1",3254,"","write-in",6
"ND","Bowman","38011","3801100000","US House","1",1638,"Independent","Charles Tuttle",52
"ND","Bowman","38011","3801100000","US House","1",1638,"Republican","Kelly Armstrong",1331
"ND","Bowman","38011","3801100000","US House","1",1638,"Democrat","Mac Schneider",253
"ND","Bowman","38011","3801100000","US House","1",1638,"","write-in",2
"ND","Burke","38013","3801300000","US House","1",955,"Independent","Charles Tuttle",24
"ND","Burke","38013","3801300000","US House","1",955,"Republican","Kelly Armstrong",779
"ND","Burke","38013","3801300000","US House","1",955,"Democrat","Mac Schneider",151
"ND","Burke","38013","3801300000","US House","1",955,"","write-in",1
"ND","Burleigh","38015","3801500000","US House","1",45446,"Independent","Charles Tuttle",1766
"ND","Burleigh","38015","3801500000","US House","1",45446,"Republican","Kelly Armstrong",30977
"ND","Burleigh","38015","3801500000","US House","1",45446,"Democrat","Mac Schneider",12623
"ND","Burleigh","38015","3801500000","US House","1",45446,"","write-in",80
"ND","Cass","38017","3801700000","US House","1",76189,"Independent","Charles Tuttle",3132
"ND","Cass","38017","3801700000","US House","1",76189,"Republican","Kelly Armstrong",35255
"ND","Cass","38017","3801700000","US House","1",76189,"Democrat","Mac Schneider",37664
"ND","Cass","38017","3801700000","US House","1",76189,"","write-in",138
"ND","Cavalier","38019","3801900000","US House","1",1927,"Independent","Charles Tuttle",64
"ND","Cavalier","38019","3801900000","US House","1",1927,"Republican","Kelly Armstrong",1216
"ND","Cavalier","38019","3801900000","US House","1",1927,"Democrat","Mac Schneider",643
"ND","Cavalier","38019","3801900000","US House","1",1927,"","write-in",4
"ND","Dickey","38021","3802100000","US House","1",2154,"Independent","Charles Tuttle",60
"ND","Dickey","38021","3802100000","US House","1",2154,"Republican","Kelly Armstrong",1375
"ND","Dickey","38021","3802100000","US House","1",2154,"Democrat","Mac Schneider",718
"ND","Dickey","38021","3802100000","US House","1",2154,"","write-in",1
"ND","Divide","38023","3802300000","US House","1",1194,"Independent","Charles Tuttle",44
"ND","Divide","38023","3802300000","US House","1",1194,"Republican","Kelly Armstrong",859
"ND","Divide","38023","3802300000","US House","1",1194,"Democrat","Mac Schneider",290
"ND","Divide","38023","3802300000","US House","1",1194,"","write-in",1
"ND","Dunn","38025","3802500000","US House","1",2025,"Independent","Charles Tuttle",42
"ND","Dunn","38025","3802500000","US House","1",2025,"Republican","Kelly Armstrong",1603
"ND","Dunn","38025","3802500000","US House","1",2025,"Democrat","Mac Schneider",379
"ND","Dunn","38025","3802500000","US House","1",2025,"","write-in",1
"ND","Eddy","38027","3802700000","US House","1",1226,"Independent","Charles Tuttle",48
"ND","Eddy","38027","3802700000","US House","1",1226,"Republican","Kelly Armstrong",718
"ND","Eddy","38027","3802700000","US House","1",1226,"Democrat","Mac Schneider",459
"ND","Eddy","38027","3802700000","US House","1",1226,"","write-in",1
"ND","Emmons","38029","3802900000","US House","1",1826,"Independent","Charles Tuttle",52
