"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NH","Acworth","33019","3301900260","Governor","statewide",458,"Republican","Chris Sununu",212
"NH","Acworth","33019","3301900260","Governor","statewide",458,"Libertarian","Jilletta Jarvis",10
"NH","Acworth","33019","3301900260","Governor","statewide",458,"Democrat","Molly Kelly",236
"NH","Albany","33003","3300300420","Governor","statewide",333,"Republican","Chris Sununu",146
"NH","Albany","33003","3300300420","Governor","statewide",333,"Libertarian","Jilletta Jarvis",6
"NH","Albany","33003","3300300420","Governor","statewide",333,"Democrat","Molly Kelly",181
"NH","Alexandria","33009","3300900580","Governor","statewide",744,"Republican","Chris Sununu",463
"NH","Alexandria","33009","3300900580","Governor","statewide",744,"Libertarian","Jilletta Jarvis",15
"NH","Alexandria","33009","3300900580","Governor","statewide",744,"Democrat","Molly Kelly",266
"NH","Allenstown","33013","3301300660","Governor","statewide",1571,"Republican","Chris Sununu",980
"NH","Allenstown","33013","3301300660","Governor","statewide",1571,"Libertarian","Jilletta Jarvis",27
"NH","Allenstown","33013","3301300660","Governor","statewide",1571,"Democrat","Molly Kelly",564
"NH","Alstead","33005","3300500820","Governor","statewide",878,"Republican","Chris Sununu",390
"NH","Alstead","33005","3300500820","Governor","statewide",878,"Libertarian","Jilletta Jarvis",19
"NH","Alstead","33005","3300500820","Governor","statewide",878,"Democrat","Molly Kelly",469
"NH","Alton","33001","3300101060","Governor","statewide",2693,"Republican","Chris Sununu",1932
"NH","Alton","33001","3300101060","Governor","statewide",2693,"Libertarian","Jilletta Jarvis",16
"NH","Alton","33001","3300101060","Governor","statewide",2693,"Democrat","Molly Kelly",745
"NH","Amherst","33011","3301101300","Governor","statewide",6285,"Republican","Chris Sununu",3269
"NH","Amherst","33011","3301101300","Governor","statewide",6285,"Libertarian","Jilletta Jarvis",75
"NH","Amherst","33011","3301101300","Governor","statewide",6285,"Democrat","Molly Kelly",2941
"NH","Andover","33013","3301301460","Governor","statewide",1103,"Republican","Chris Sununu",537
"NH","Andover","33013","3301301460","Governor","statewide",1103,"Libertarian","Jilletta Jarvis",21
"NH","Andover","33013","3301301460","Governor","statewide",1103,"Democrat","Molly Kelly",545
"NH","Antrim","33011","3301101700","Governor","statewide",1192,"Republican","Chris Sununu",605
"NH","Antrim","33011","3301101700","Governor","statewide",1192,"Libertarian","Jilletta Jarvis",23
"NH","Antrim","33011","3301101700","Governor","statewide",1192,"Democrat","Molly Kelly",564
"NH","Ashland","33009","3300902020","Governor","statewide",884,"Republican","Chris Sununu",449
"NH","Ashland","33009","3300902020","Governor","statewide",884,"Libertarian","Jilletta Jarvis",16
"NH","Ashland","33009","3300902020","Governor","statewide",884,"Democrat","Molly Kelly",419
"NH","Atkinson","33015","3301502340","Governor","statewide",3550,"Republican","Chris Sununu",2279
"NH","Atkinson","33015","3301502340","Governor","statewide",3550,"Libertarian","Jilletta Jarvis",42
"NH","Atkinson","33015","3301502340","Governor","statewide",3550,"Democrat","Molly Kelly",1229
"NH","Auburn","33015","3301502820","Governor","statewide",2854,"Republican","Chris Sununu",1966
"NH","Auburn","33015","3301502820","Governor","statewide",2854,"Libertarian","Jilletta Jarvis",27
"NH","Auburn","33015","3301502820","Governor","statewide",2854,"Democrat","Molly Kelly",861
"NH","Barnstead","33001","3300103220","Governor","statewide",1989,"Republican","Chris Sununu",1247
"NH","Barnstead","33001","3300103220","Governor","statewide",1989,"Libertarian","Jilletta Jarvis",43
"NH","Barnstead","33001","3300103220","Governor","statewide",1989,"Democrat","Molly Kelly",699
"NH","Barrington","33017","3301703460","Governor","statewide",4320,"Republican","Chris Sununu",2331
"NH","Barrington","33017","3301703460","Governor","statewide",4320,"Libertarian","Jilletta Jarvis",85
"NH","Barrington","33017","3301703460","Governor","statewide",4320,"Democrat","Molly Kelly",1904
"NH","Bartlett","33003","3300303700","Governor","statewide",1704,"Republican","Chris Sununu",775
"NH","Bartlett","33003","3300303700","Governor","statewide",1704,"Libertarian","Jilletta Jarvis",19
