"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NJ","Burlington","34005","3400500000","US House","1",9021,"Republican","Dilks, Paul E",3213
"NJ","Burlington","34005","3400500000","US House","1",9021,"We Deserve Better","Hamlin, Paul",57
"NJ","Burlington","34005","3400500000","US House","1",9021,"Your Voice Hard","Kabir, Mohammad",23
"NJ","Burlington","34005","3400500000","US House","1",9021,"Democrat","Norcross, Donald W",5660
"NJ","Burlington","34005","3400500000","US House","1",9021,"Libertarian","Shapiro, Robert",68
"NJ","Camden","34007","3400700000","US House","1",178477,"Republican","Dilks, Paul E",52632
"NJ","Camden","34007","3400700000","US House","1",178477,"We Deserve Better","Hamlin, Paul",1776
"NJ","Camden","34007","3400700000","US House","1",178477,"Your Voice Hard","Kabir, Mohammad",781
"NJ","Camden","34007","3400700000","US House","1",178477,"Democrat","Norcross, Donald W",121634
"NJ","Camden","34007","3400700000","US House","1",178477,"Libertarian","Shapiro, Robert",1654
"NJ","Gloucester","34015","3401500000","US House","1",75920,"Republican","Dilks, Paul E",31772
"NJ","Gloucester","34015","3401500000","US House","1",75920,"We Deserve Better","Hamlin, Paul",535
"NJ","Gloucester","34015","3401500000","US House","1",75920,"Your Voice Hard","Kabir, Mohammad",180
"NJ","Gloucester","34015","3401500000","US House","1",75920,"Democrat","Norcross, Donald W",42334
"NJ","Gloucester","34015","3401500000","US House","1",75920,"Libertarian","Shapiro, Robert",1099
"NJ","Essex","34013","3401300000","US House","10",121520,"Libertarian","Diroma, Scott",295
"NJ","Essex","34013","3401300000","US House","10",121520,"C4C 2018","Johnson, Cynthia",720
"NJ","Essex","34013","3401300000","US House","10",121520,"Republican","Khan, Agha",6983
"NJ","Essex","34013","3401300000","US House","10",121520,"Never Give Up","Miller, Joanne",1150
"NJ","Essex","34013","3401300000","US House","10",121520,"Democrat","Payne, Donald M",112372
"NJ","Hudson","34017","3401700000","US House","10",32021,"Libertarian","Diroma, Scott",175
"NJ","Hudson","34017","3401700000","US House","10",32021,"C4C 2018","Johnson, Cynthia",840
"NJ","Hudson","34017","3401700000","US House","10",32021,"Republican","Khan, Agha",4709
"NJ","Hudson","34017","3401700000","US House","10",32021,"Never Give Up","Miller, Joanne",446
"NJ","Hudson","34017","3401700000","US House","10",32021,"Democrat","Payne, Donald M",25851
"NJ","Union","34039","3403900000","US House","10",46618,"Libertarian","Diroma, Scott",137
"NJ","Union","34039","3403900000","US House","10",46618,"C4C 2018","Johnson, Cynthia",510
"NJ","Union","34039","3403900000","US House","10",46618,"Republican","Khan, Agha",8499
"NJ","Union","34039","3403900000","US House","10",46618,"Never Give Up","Miller, Joanne",442
"NJ","Union","34039","3403900000","US House","10",46618,"Democrat","Payne, Donald M",37030
"NJ","Essex","34013","3401300000","US House","11",85586,"Honest, Integrity, Compassion","Crook, Robert F.",650
"NJ","Essex","34013","3401300000","US House","11",85586,"Libertarian","Martinez, Ryan",259
"NJ","Essex","34013","3401300000","US House","11",85586,"Democrat","Sherrill, Mikie",56669
"NJ","Essex","34013","3401300000","US House","11",85586,"Republican","Webber, Jay",28008
"NJ","Morris","34027","3402700000","US House","11",164525,"Honest, Integrity, Compassion","Crook, Robert F.",990
"NJ","Morris","34027","3402700000","US House","11",164525,"Libertarian","Martinez, Ryan",610
"NJ","Morris","34027","3402700000","US House","11",164525,"Democrat","Sherrill, Mikie",89881
"NJ","Morris","34027","3402700000","US House","11",164525,"Republican","Webber, Jay",73044
"NJ","Passaic","34031","3403100000","US House","11",52462,"Honest, Integrity, Compassion","Crook, Robert F.",246
"NJ","Passaic","34031","3403100000","US House","11",52462,"Libertarian","Martinez, Ryan",299
"NJ","Passaic","34031","3403100000","US House","11",52462,"Democrat","Sherrill, Mikie",27484
"NJ","Passaic","34031","3403100000","US House","11",52462,"Republican","Webber, Jay",24433
"NJ","Sussex","34037","3403700000","US House","11",21001,"Honest, Integrity, Compassion","Crook, Robert F.",296
"NJ","Sussex","34037","3403700000","US House","11",21001,"Libertarian","Martinez, Ryan",218
"NJ","Sussex","34037","3403700000","US House","11",21001,"Democrat","Sherrill, Mikie",9650
