"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NM","Bernalillo","35001","3500100000","Governor","statewide",240701,"Democrat","MICHELLE LUJAN GRISHAM",149480
"NM","Bernalillo","35001","3500100000","Governor","statewide",240701,"Republican","STEVE PEARCE",91221
"NM","Catron","35003","3500300000","Governor","statewide",1843,"Democrat","MICHELLE LUJAN GRISHAM",511
"NM","Catron","35003","3500300000","Governor","statewide",1843,"Republican","STEVE PEARCE",1332
"NM","Chaves","35005","3500500000","Governor","statewide",16700,"Democrat","MICHELLE LUJAN GRISHAM",5348
"NM","Chaves","35005","3500500000","Governor","statewide",16700,"Republican","STEVE PEARCE",11352
"NM","Cibola","35006","3500600000","Governor","statewide",7129,"Democrat","MICHELLE LUJAN GRISHAM",3988
"NM","Cibola","35006","3500600000","Governor","statewide",7129,"Republican","STEVE PEARCE",3141
"NM","Colfax","35007","3500700000","Governor","statewide",4662,"Democrat","MICHELLE LUJAN GRISHAM",2327
"NM","Colfax","35007","3500700000","Governor","statewide",4662,"Republican","STEVE PEARCE",2335
"NM","Curry","35009","3500900000","Governor","statewide",10213,"Democrat","MICHELLE LUJAN GRISHAM",3106
"NM","Curry","35009","3500900000","Governor","statewide",10213,"Republican","STEVE PEARCE",7107
"NM","DeBaca","35011","3501100000","Governor","statewide",816,"Democrat","MICHELLE LUJAN GRISHAM",229
"NM","DeBaca","35011","3501100000","Governor","statewide",816,"Republican","STEVE PEARCE",587
"NM","Dona Ana","35013","3501300000","Governor","statewide",60939,"Democrat","MICHELLE LUJAN GRISHAM",36954
"NM","Dona Ana","35013","3501300000","Governor","statewide",60939,"Republican","STEVE PEARCE",23985
"NM","Eddy","35015","3501500000","Governor","statewide",15809,"Democrat","MICHELLE LUJAN GRISHAM",4631
"NM","Eddy","35015","3501500000","Governor","statewide",15809,"Republican","STEVE PEARCE",11178
"NM","Grant","35017","3501700000","Governor","statewide",11793,"Democrat","MICHELLE LUJAN GRISHAM",7043
"NM","Grant","35017","3501700000","Governor","statewide",11793,"Republican","STEVE PEARCE",4750
"NM","Guadalupe","35019","3501900000","Governor","statewide",1694,"Democrat","MICHELLE LUJAN GRISHAM",1021
"NM","Guadalupe","35019","3501900000","Governor","statewide",1694,"Republican","STEVE PEARCE",673
"NM","Harding","35021","3502100000","Governor","statewide",478,"Democrat","MICHELLE LUJAN GRISHAM",178
"NM","Harding","35021","3502100000","Governor","statewide",478,"Republican","STEVE PEARCE",300
"NM","Hidalgo","35023","3502300000","Governor","statewide",1627,"Democrat","MICHELLE LUJAN GRISHAM",785
"NM","Hidalgo","35023","3502300000","Governor","statewide",1627,"Republican","STEVE PEARCE",842
"NM","Lea","35025","3502500000","Governor","statewide",13931,"Democrat","MICHELLE LUJAN GRISHAM",3086
"NM","Lea","35025","3502500000","Governor","statewide",13931,"Republican","STEVE PEARCE",10845
"NM","Lincoln","35027","3502700000","Governor","statewide",7841,"Democrat","MICHELLE LUJAN GRISHAM",2625
"NM","Lincoln","35027","3502700000","Governor","statewide",7841,"Republican","STEVE PEARCE",5216
"NM","Los Alamos","35028","3502800000","Governor","statewide",10245,"Democrat","MICHELLE LUJAN GRISHAM",6005
"NM","Los Alamos","35028","3502800000","Governor","statewide",10245,"Republican","STEVE PEARCE",4240
"NM","Luna","35029","3502900000","Governor","statewide",6143,"Democrat","MICHELLE LUJAN GRISHAM",2967
"NM","Luna","35029","3502900000","Governor","statewide",6143,"Republican","STEVE PEARCE",3176
"NM","McKinley","35031","3503100000","Governor","statewide",18355,"Democrat","MICHELLE LUJAN GRISHAM",13117
