"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NV","Carson City","32510","3251000000","Attorney General","statewide",22647,"Republican","DUNCAN, WES",12553
"NV","Carson City","32510","3251000000","Attorney General","statewide",22647,"Democrat","FORD, AARON",8371
"NV","Carson City","32510","3251000000","Attorney General","statewide",22647,"Independent American","HANSEN, JOEL F.",1027
"NV","Carson City","32510","3251000000","Attorney General","statewide",22647,"","NONE OF THESE CANDIDATES",696
"NV","Churchill","32001","3200100000","Attorney General","statewide",9567,"Republican","DUNCAN, WES",6961
"NV","Churchill","32001","3200100000","Attorney General","statewide",9567,"Democrat","FORD, AARON",1805
"NV","Churchill","32001","3200100000","Attorney General","statewide",9567,"Independent American","HANSEN, JOEL F.",539
"NV","Churchill","32001","3200100000","Attorney General","statewide",9567,"","NONE OF THESE CANDIDATES",262
"NV","Clark","32003","3200300000","Attorney General","statewide",647682,"Republican","DUNCAN, WES",274513
"NV","Clark","32003","3200300000","Attorney General","statewide",647682,"Democrat","FORD, AARON",338366
"NV","Clark","32003","3200300000","Attorney General","statewide",647682,"Independent American","HANSEN, JOEL F.",18493
"NV","Clark","32003","3200300000","Attorney General","statewide",647682,"","NONE OF THESE CANDIDATES",16310
"NV","Douglas","32005","3200500000","Attorney General","statewide",25889,"Republican","DUNCAN, WES",16965
"NV","Douglas","32005","3200500000","Attorney General","statewide",25889,"Democrat","FORD, AARON",7383
"NV","Douglas","32005","3200500000","Attorney General","statewide",25889,"Independent American","HANSEN, JOEL F.",931
"NV","Douglas","32005","3200500000","Attorney General","statewide",25889,"","NONE OF THESE CANDIDATES",610
"NV","Elko","32007","3200700000","Attorney General","statewide",15104,"Republican","DUNCAN, WES",11173
"NV","Elko","32007","3200700000","Attorney General","statewide",15104,"Democrat","FORD, AARON",2842
"NV","Elko","32007","3200700000","Attorney General","statewide",15104,"Independent American","HANSEN, JOEL F.",692
"NV","Elko","32007","3200700000","Attorney General","statewide",15104,"","NONE OF THESE CANDIDATES",397
"NV","Esmeralda","32009","3200900000","Attorney General","statewide",369,"Republican","DUNCAN, WES",271
"NV","Esmeralda","32009","3200900000","Attorney General","statewide",369,"Democrat","FORD, AARON",57
"NV","Esmeralda","32009","3200900000","Attorney General","statewide",369,"Independent American","HANSEN, JOEL F.",20
"NV","Esmeralda","32009","3200900000","Attorney General","statewide",369,"","NONE OF THESE CANDIDATES",21
"NV","Eureka","32011","3201100000","Attorney General","statewide",754,"Republican","DUNCAN, WES",613
"NV","Eureka","32011","3201100000","Attorney General","statewide",754,"Democrat","FORD, AARON",73
"NV","Eureka","32011","3201100000","Attorney General","statewide",754,"Independent American","HANSEN, JOEL F.",40
"NV","Eureka","32011","3201100000","Attorney General","statewide",754,"","NONE OF THESE CANDIDATES",28
"NV","Humboldt","32013","3201300000","Attorney General","statewide",5516,"Republican","DUNCAN, WES",3957
"NV","Humboldt","32013","3201300000","Attorney General","statewide",5516,"Democrat","FORD, AARON",1085
"NV","Humboldt","32013","3201300000","Attorney General","statewide",5516,"Independent American","HANSEN, JOEL F.",307
"NV","Humboldt","32013","3201300000","Attorney General","statewide",5516,"","NONE OF THESE CANDIDATES",167
"NV","Lander","32015","3201500000","Attorney General","statewide",2084,"Republican","DUNCAN, WES",1528
"NV","Lander","32015","3201500000","Attorney General","statewide",2084,"Democrat","FORD, AARON",345
"NV","Lander","32015","3201500000","Attorney General","statewide",2084,"Independent American","HANSEN, JOEL F.",117
"NV","Lander","32015","3201500000","Attorney General","statewide",2084,"","NONE OF THESE CANDIDATES",94
"NV","Lincoln","32017","3201700000","Attorney General","statewide",1940,"Republican","DUNCAN, WES",1491
"NV","Lincoln","32017","3201700000","Attorney General","statewide",1940,"Democrat","FORD, AARON",265
"NV","Lincoln","32017","3201700000","Attorney General","statewide",1940,"Independent American","HANSEN, JOEL F.",106
"NV","Lincoln","32017","3201700000","Attorney General","statewide",1940,"","NONE OF THESE CANDIDATES",78
"NV","Lyon","32019","3201900000","Attorney General","statewide",20793,"Republican","DUNCAN, WES",14351
"NV","Lyon","32019","3201900000","Attorney General","statewide",20793,"Democrat","FORD, AARON",4940
"NV","Lyon","32019","3201900000","Attorney General","statewide",20793,"Independent American","HANSEN, JOEL F.",952
"NV","Lyon","32019","3201900000","Attorney General","statewide",20793,"","NONE OF THESE CANDIDATES",550
"NV","Mineral","32021","3202100000","Attorney General","statewide",1804,"Republican","DUNCAN, WES",1009
"NV","Mineral","32021","3202100000","Attorney General","statewide",1804,"Democrat","FORD, AARON",549
"NV","Mineral","32021","3202100000","Attorney General","statewide",1804,"Independent American","HANSEN, JOEL F.",130
"NV","Mineral","32021","3202100000","Attorney General","statewide",1804,"","NONE OF THESE CANDIDATES",116
"NV","Nye","32023","3202300000","Attorney General","statewide",17421,"Republican","DUNCAN, WES",11492
"NV","Nye","32023","3202300000","Attorney General","statewide",17421,"Democrat","FORD, AARON",4521
"NV","Nye","32023","3202300000","Attorney General","statewide",17421,"Independent American","HANSEN, JOEL F.",931
"NV","Nye","32023","3202300000","Attorney General","statewide",17421,"","NONE OF THESE CANDIDATES",477
"NV","Pershing","32027","3202700000","Attorney General","statewide",1756,"Republican","DUNCAN, WES",1249
"NV","Pershing","32027","3202700000","Attorney General","statewide",1756,"Democrat","FORD, AARON",346
"NV","Pershing","32027","3202700000","Attorney General","statewide",1756,"Independent American","HANSEN, JOEL F.",101
"NV","Pershing","32027","3202700000","Attorney General","statewide",1756,"","NONE OF THESE CANDIDATES",60
"NV","Storey","32029","3202900000","Attorney General","statewide",2345,"Republican","DUNCAN, WES",1469
"NV","Storey","32029","3202900000","Attorney General","statewide",2345,"Democrat","FORD, AARON",665
"NV","Storey","32029","3202900000","Attorney General","statewide",2345,"Independent American","HANSEN, JOEL F.",113
"NV","Storey","32029","3202900000","Attorney General","statewide",2345,"","NONE OF THESE CANDIDATES",98
"NV","Washoe","32031","3203100000","Attorney General","statewide",186864,"Republican","DUNCAN, WES",89826
"NV","Washoe","32031","3203100000","Attorney General","statewide",186864,"Democrat","FORD, AARON",83971
"NV","Washoe","32031","3203100000","Attorney General","statewide",186864,"Independent American","HANSEN, JOEL F.",7586
"NV","Washoe","32031","3203100000","Attorney General","statewide",186864,"","NONE OF THESE CANDIDATES",5481
"NV","White Pine","32033","3203300000","Attorney General","statewide",3218,"Republican","DUNCAN, WES",2271
"NV","White Pine","32033","3203300000","Attorney General","statewide",3218,"Democrat","FORD, AARON",641
"NV","White Pine","32033","3203300000","Attorney General","statewide",3218,"Independent American","HANSEN, JOEL F.",174
"NV","White Pine","32033","3203300000","Attorney General","statewide",3218,"","NONE OF THESE CANDIDATES",132
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","BUCKMASTER, FREDERICK D.",4859
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","GETTO, AMBER N.",5111
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","HENDRIX, CLAY",3310
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","HYDE, MATT",4239
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","JULIAN, PATTY",2682
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","MCDONALD, TEDD",3966
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","SCHANK, CARMEN",4585
"NV","Churchill","32001","3200100000","Board of School Trustees","",31667,"Non-partisan","SMOTHERMAN, DEBY",2915
"NV","Carson City","32510","3251000000","Board of Supervisors","",21601,"Non-partisan","GIOMI, STACEY",14373
"NV","Carson City","32510","3251000000","Board of Supervisors","",21601,"Non-partisan","WOOD, JOHN",7228
"NV","Elko","32007","3200700000","Carlin City Council","",514,"Non-partisan","KINNEY, CAMERON",514
"NV","Elko","32007","3200700000","Carlin City Council, 2 Seats","",980,"Non-partisan","ESPARZA, SABRA",166
"NV","Elko","32007","3200700000","Carlin City Council, 2 Seats","",980,"Non-partisan","EVENSON, WAYNE A.",229
"NV","Elko","32007","3200700000","Carlin City Council, 2 Seats","",980,"Non-partisan","GRISWOLD, PATRICIA 'PAM'",340
"NV","Elko","32007","3200700000","Carlin City Council, 2 Seats","",980,"Non-partisan","LITCHFIELD, LINCOLN",245
"NV","Elko","32007","3200700000","Carlin City Mayor","",520,"Non-partisan","HOLBROOK, DANA DON",520
"NV","Humboldt","32013","3201300000","City Council Member, Seat 2","",2373,"Non-partisan","HORKY, GARY",837
"NV","Humboldt","32013","3201300000","City Council Member, Seat 2","",2373,"Non-partisan","MAVITY, THERESA",1536
"NV","Humboldt","32013","3201300000","City Council Member, Seat 4","",2412,"Non-partisan","BILLINGSLEY, JIM",1809
"NV","Humboldt","32013","3201300000","City Council Member, Seat 4","",2412,"Non-partisan","BRYANT, FREDRICK",603
"NV","Lyon","32019","3201900000","City Council, Ward 1, City of Fernley","",1199,"Non-partisan","LACY, RAY",660
"NV","Lyon","32019","3201900000","City Council, Ward 1, City of Fernley","",1199,"Non-partisan","WHALEN, SHARI L.",539
"NV","Clark","32003","3200300000","City of Mesquite Councilmember Seat 1","",7199,"Non-partisan","RAMAKER, SANDRA",4126
"NV","Clark","32003","3200300000","City of Mesquite Councilmember Seat 1","",7199,"Non-partisan","WITHELDER, GENO",3073
"NV","Clark","32003","3200300000","City of Mesquite Councilmember Seat 3","",7110,"Non-partisan","BALLWEG, DAVID P.",3118
"NV","Clark","32003","3200300000","City of Mesquite Councilmember Seat 3","",7110,"Non-partisan","GAULT, GEORGE H.",3992
"NV","Clark","32003","3200300000","City of Mesquite Councilmember Seat 4","",7409,"Non-partisan","BLACK, ANN 'ANNIE'",3841
"NV","Clark","32003","3200300000","City of Mesquite Councilmember Seat 4","",7409,"Non-partisan","FIELDING, KAREN",3568
"NV","Washoe","32031","3203100000","City of Reno Mayor","",89264,"Non-partisan","LORTON, EDDIE",31684
"NV","Washoe","32031","3203100000","City of Reno Mayor","",89264,"Non-partisan","SCHIEVE, HILLARY",57580
"NV","Humboldt","32013","3201300000","City of Winnemucca Mayor","",2463,"Non-partisan","BROOKS, PAIGE",1049
"NV","Humboldt","32013","3201300000","City of Winnemucca Mayor","",2463,"Non-partisan","STONE, RICH",1414
"NV","Clark","32003","3200300000","Constable, Boulder Township","",6387,"Republican","HAMPE, STEVE",6387
"NV","Clark","32003","3200300000","Constable, Bunkerville Township","",337,"Democrat","LAUB, ERIK L.",337
"NV","Douglas","32005","3200500000","Constable, East Fork Township","",19261,"Republican","GILBERT, PAUL E.",19261
"NV","Clark","32003","3200300000","Constable, Goodsprings Township","",646,"Republican","ROGERS, GARY P.",646
"NV","Clark","32003","3200300000","Constable, Henderson Township","",119229,"Democrat","PITTS, JOE",54886
"NV","Clark","32003","3200300000","Constable, Henderson Township","",119229,"Republican","TAYLOR, KENNY",64343
"NV","Washoe","32031","3203100000","Constable, Incline Village","",4104,"Republican","KELLER, HANS R.",4104
"NV","Clark","32003","3200300000","Constable, Laughlin Township","",2331,"Republican","ROSS, JORDAN",2331
"NV","Clark","32003","3200300000","Constable, Mesquite Township","",6394,"Republican","THURSTON, DUANE L.",6394
"NV","Clark","32003","3200300000","Constable, Moapa Township","",345,"Republican","JENSEN, JOSH",345
"NV","Clark","32003","3200300000","Constable, Moapa Valley Township","",2539,"Republican","FREI, LEON S.",2539
"NV","Clark","32003","3200300000","Constable, North Las Vegas Township","",67811,"Democrat","ELIASON, ROBERT L.",44627
"NV","Clark","32003","3200300000","Constable, North Las Vegas Township","",67811,"Republican","VEGA, JIMMY",23184
"NV","Clark","32003","3200300000","Constable, Searchlight Township","",230,"Republican","COCHRAN, JACK 'FAT JACK'",230
"NV","Churchill","32001","3200100000","County Assessor","",8637,"Republican","MONDHINK-FELTON, DENISE L.",8637
"NV","Clark","32003","3200300000","County Assessor","",635409,"Democrat","JOHNSON, BRIANA",361392
"NV","Clark","32003","3200300000","County Assessor","",635409,"Republican","MCCLAIN, GINA",274017
"NV","Douglas","32005","3200500000","County Assessor","",21556,"Republican","THOLEN, TRENT",21556
"NV","Elko","32007","3200700000","County Assessor","",13609,"Republican","RUSSELL, KATRINKA S.",13609
"NV","Esmeralda","32009","3200900000","County Assessor","",345,"Republican","LEE, RUTH P.",345
"NV","Eureka","32011","3201100000","County Assessor","",696,"Republican","MEARS, MICHAEL A.",696
"NV","Humboldt","32013","3201300000","County Assessor","",5087,"Republican","JOHNSON, WILLIAM 'JEFF'",5087
"NV","Lander","32015","3201500000","County Assessor","",1916,"Republican","DUVALL, LURA",1916
"NV","Lincoln","32017","3201700000","County Assessor","",1800,"Republican","HOLT, MARK",1800
"NV","Lyon","32019","3201900000","County Assessor","",18021,"Republican","VILLINES, TROY R.",18021
"NV","Mineral","32021","3202100000","County Assessor","",1788,"Republican","CHISUM, KEVIN B.",1105
"NV","Mineral","32021","3202100000","County Assessor","",1788,"Democrat","CLARK, JANEEN",683
"NV","Nye","32023","3202300000","County Assessor","",16946,"Independent American","ALBERTI, ANDY",4150
"NV","Nye","32023","3202300000","County Assessor","",16946,"Republican","STRINGER, SHEREE",12796
"NV","Pershing","32027","3202700000","County Assessor","",1593,"Republican","BASSO-CERINI, LAUREEN E.",1593
"NV","Storey","32029","3202900000","County Assessor","",2029,"Republican","SEDDON, JANA",2029
"NV","Washoe","32031","3203100000","County Assessor","",182980,"Republican","CLARK, MICHAEL E.",91758
"NV","Washoe","32031","3203100000","County Assessor","",182980,"Democrat","EVANS, HUGH 'CHIP'",91222
"NV","White Pine","32033","3203300000","County Assessor","",2869,"Republican","HILTON, BURTON W.",2869
"NV","Esmeralda","32009","3200900000","County Auditor and Recorder","",365,"Republican","BOYER, VERA",245
"NV","Esmeralda","32009","3200900000","County Auditor and Recorder","",365,"Independent American","HUBER-BETH, PATRICIA 'PATTY'",120
"NV","Clark","32003","3200300000","County Clerk","",635117,"Democrat","GOYA, LYNN MARIA",363482
"NV","Clark","32003","3200300000","County Clerk","",635117,"Republican","LLOYD, MINDDIE",271635
"NV","Elko","32007","3200700000","County Clerk","",13498,"Republican","JAKEMAN, KRISTINE 'KRIS'",13498
"NV","Humboldt","32013","3201300000","County Clerk","",5164,"Republican","SPERO, TAMI RAE",5164
"NV","Lander","32015","3201500000","County Clerk","",2070,"No party","MILLER, LEANN",499
"NV","Lander","32015","3201500000","County Clerk","",2070,"Republican","SULLIVAN, SADIE",1571
"NV","Lincoln","32017","3201700000","County Clerk","",1825,"Republican","LLOYD, LISA",1825
"NV","Nye","32023","3202300000","County Clerk","",16951,"Republican","MERLINO, SANDRA 'SAM'",12796
"NV","Nye","32023","3202300000","County Clerk","",16951,"Independent American","WINN, SHEILA",4155
"NV","Washoe","32031","3203100000","County Clerk","",181903,"Republican","PARENT, NANCY",100689
"NV","Washoe","32031","3203100000","County Clerk","",181903,"Democrat","TUDORACHE, EMIL",81214
"NV","White Pine","32033","3203300000","County Clerk","",2797,"Republican","BALDWIN, NICHOLE",2797
"NV","Churchill","32001","3200100000","County Clerk-Treasurer","",8639,"Republican","ROTHERY, LINDA",8639
"NV","Douglas","32005","3200500000","County Clerk-Treasurer","",21862,"Republican","LEWIS, KATHY",21862
"NV","Elko","32007","3200700000","County Clerk-Treasurer","",13505,"Republican","PAUL, CHERYL",13505
"NV","Esmeralda","32009","3200900000","County Clerk-Treasurer","",324,"Republican","ELGAN, LACINDA 'CINDY'",324
"NV","Lyon","32019","3201900000","County Clerk-Treasurer","",18372,"Republican","BRYAN, NIKKI",18372
