"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Libertarian","Christopher B. Garvey",1156
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Conservative","Keith Wofford",6293
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Republican","Keith Wofford",32649
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Democrat","Letitia A. James",63595
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Independence","Letitia A. James",2562
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Working Families","Letitia A. James",3881
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Green","Michael Sussman",1917
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"Reform","Nancy B. Sliwa",603
"NY","Albany","36001","3600100000","Attorney General","statewide",112791,"","Scattering",135
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Libertarian","Christopher B. Garvey",197
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Conservative","Keith Wofford",974
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Republican","Keith Wofford",9246
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Democrat","Letitia A. James",3568
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Independence","Letitia A. James",162
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Working Families","Letitia A. James",197
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Green","Michael Sussman",125
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"Reform","Nancy B. Sliwa",72
"NY","Allegany","36003","3600300000","Attorney General","statewide",14545,"","Scattering",4
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Libertarian","Christopher B. Garvey",696
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Conservative","Keith Wofford",2312
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Republican","Keith Wofford",20216
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Democrat","Letitia A. James",249682
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Independence","Letitia A. James",2292
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Working Families","Letitia A. James",5146
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Green","Michael Sussman",1795
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"Reform","Nancy B. Sliwa",592
"NY","Bronx","36005","3600500000","Attorney General","statewide",282829,"","Scattering",98
"NY","Brooklyn","36047","3604700000","Attorney General","statewide",629721,"Libertarian","Christopher B. Garvey",2272
"NY","Brooklyn","36047","3604700000","Attorney General","statewide",629721,"Conservative","Keith Wofford",7406
"NY","Brooklyn","36047","3604700000","Attorney General","statewide",629721,"Republican","Keith Wofford",74903
"NY","Brooklyn","36047","3604700000","Attorney General","statewide",629721,"Democrat","Letitia A. James",494416
