"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"OH","Adams","39001","3900100000","Attorney General","statewide",8419,"Republican","Dave Yost",6272
"OH","Adams","39001","3900100000","Attorney General","statewide",8419,"Democrat","Steve Dettelbach",2147
"OH","Allen","39003","3900300000","Attorney General","statewide",35689,"Republican","Dave Yost",24461
"OH","Allen","39003","3900300000","Attorney General","statewide",35689,"Democrat","Steve Dettelbach",11228
"OH","Ashland","39005","3900500000","Attorney General","statewide",18463,"Republican","Dave Yost",13012
"OH","Ashland","39005","3900500000","Attorney General","statewide",18463,"Democrat","Steve Dettelbach",5451
"OH","Ashtabula","39007","3900700000","Attorney General","statewide",31520,"Republican","Dave Yost",17860
"OH","Ashtabula","39007","3900700000","Attorney General","statewide",31520,"Democrat","Steve Dettelbach",13660
"OH","Athens","39009","3900900000","Attorney General","statewide",21930,"Republican","Dave Yost",8083
"OH","Athens","39009","3900900000","Attorney General","statewide",21930,"Democrat","Steve Dettelbach",13847
"OH","Auglaize","39011","3901100000","Attorney General","statewide",19152,"Republican","Dave Yost",15303
"OH","Auglaize","39011","3901100000","Attorney General","statewide",19152,"Democrat","Steve Dettelbach",3849
"OH","Belmont","39013","3901300000","Attorney General","statewide",24555,"Republican","Dave Yost",14782
"OH","Belmont","39013","3901300000","Attorney General","statewide",24555,"Democrat","Steve Dettelbach",9773
"OH","Brown","39015","3901500000","Attorney General","statewide",14566,"Republican","Dave Yost",10668
"OH","Brown","39015","3901500000","Attorney General","statewide",14566,"Democrat","Steve Dettelbach",3898
"OH","Butler","39017","3901700000","Attorney General","statewide",132088,"Republican","Dave Yost",82496
"OH","Butler","39017","3901700000","Attorney General","statewide",132088,"Democrat","Steve Dettelbach",49592
"OH","Carroll","39019","3901900000","Attorney General","statewide",10214,"Republican","Dave Yost",7025
"OH","Carroll","39019","3901900000","Attorney General","statewide",10214,"Democrat","Steve Dettelbach",3189
"OH","Champaign","39021","3902100000","Attorney General","statewide",14638,"Republican","Dave Yost",10572
"OH","Champaign","39021","3902100000","Attorney General","statewide",14638,"Democrat","Steve Dettelbach",4066
"OH","Clark","39023","3902300000","Attorney General","statewide",47410,"Republican","Dave Yost",28462
"OH","Clark","39023","3902300000","Attorney General","statewide",47410,"Democrat","Steve Dettelbach",18948
"OH","Clermont","39025","3902500000","Attorney General","statewide",79630,"Republican","Dave Yost",54608
"OH","Clermont","39025","3902500000","Attorney General","statewide",79630,"Democrat","Steve Dettelbach",25022
"OH","Clinton","39027","3902700000","Attorney General","statewide",14984,"Republican","Dave Yost",11047
"OH","Clinton","39027","3902700000","Attorney General","statewide",14984,"Democrat","Steve Dettelbach",3937
"OH","Columbiana","39029","3902900000","Attorney General","statewide",34868,"Republican","Dave Yost",23334
"OH","Columbiana","39029","3902900000","Attorney General","statewide",34868,"Democrat","Steve Dettelbach",11534
"OH","Coshocton","39031","3903100000","Attorney General","statewide",11783,"Republican","Dave Yost",7986
"OH","Coshocton","39031","3903100000","Attorney General","statewide",11783,"Democrat","Steve Dettelbach",3797
"OH","Crawford","39033","3903300000","Attorney General","statewide",14111,"Republican","Dave Yost",9921
"OH","Crawford","39033","3903300000","Attorney General","statewide",14111,"Democrat","Steve Dettelbach",4190
"OH","Cuyahoga","39035","3903500000","Attorney General","statewide",478092,"Republican","Dave Yost",145414
"OH","Cuyahoga","39035","3903500000","Attorney General","statewide",478092,"Democrat","Steve Dettelbach",332678
"OH","Darke","39037","3903700000","Attorney General","statewide",19305,"Republican","Dave Yost",15321
"OH","Darke","39037","3903700000","Attorney General","statewide",19305,"Democrat","Steve Dettelbach",3984
"OH","Defiance","39039","3903900000","Attorney General","statewide",13688,"Republican","Dave Yost",8959
"OH","Defiance","39039","3903900000","Attorney General","statewide",13688,"Democrat","Steve Dettelbach",4729
"OH","Delaware","39041","3904100000","Attorney General","statewide",94193,"Republican","Dave Yost",57226
"OH","Delaware","39041","3904100000","Attorney General","statewide",94193,"Democrat","Steve Dettelbach",36967
"OH","Erie","39043","3904300000","Attorney General","statewide",30061,"Republican","Dave Yost",15473
"OH","Erie","39043","3904300000","Attorney General","statewide",30061,"Democrat","Steve Dettelbach",14588
"OH","Fairfield","39045","3904500000","Attorney General","statewide",58154,"Republican","Dave Yost",36451
"OH","Fairfield","39045","3904500000","Attorney General","statewide",58154,"Democrat","Steve Dettelbach",21703
"OH","Fayette","39047","3904700000","Attorney General","statewide",8497,"Republican","Dave Yost",6236
