"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"OK","Canadian","40017","4001700000","ASSOCIATE DISTRICT JUDGE CANADIAN COUNTY","",38930,"","BOB W. HUGHEY",20309
"OK","Canadian","40017","4001700000","ASSOCIATE DISTRICT JUDGE CANADIAN COUNTY","",38930,"","RACHEL L. BUSSETT",18621
"OK","Craig","40035","4003500000","ASSOCIATE DISTRICT JUDGE CRAIG COUNTY","",4559,"","CLINT WARD",1963
"OK","Craig","40035","4003500000","ASSOCIATE DISTRICT JUDGE CRAIG COUNTY","",4559,"","JOSEPH M. GARDNER",2596
"OK","Custer","40039","4003900000","ASSOCIATE DISTRICT JUDGE CUSTER COUNTY","",7839,"","DONNA L. DIRICKSON",5635
"OK","Custer","40039","4003900000","ASSOCIATE DISTRICT JUDGE CUSTER COUNTY","",7839,"","RICKY A. McPHEARSON",2204
"OK","Delaware","40041","4004100000","ASSOCIATE DISTRICT JUDGE DELAWARE COUNTY","",11977,"","DAVE CRUTCHFIELD",6626
"OK","Delaware","40041","4004100000","ASSOCIATE DISTRICT JUDGE DELAWARE COUNTY","",11977,"","KATHY LUNGREN BAKER",5351
"OK","Hughes","40063","4006300000","ASSOCIATE DISTRICT JUDGE HUGHES COUNTY","",3685,"","ROBERT L. TREY IRBY",1711
"OK","Hughes","40063","4006300000","ASSOCIATE DISTRICT JUDGE HUGHES COUNTY","",3685,"","TRISHA SMITH",1974
"OK","Kingfisher","40073","4007300000","ASSOCIATE DISTRICT JUDGE KINGFISHER COUNTY","",4920,"","LANCE E. SCHNEITER",2788
"OK","Kingfisher","40073","4007300000","ASSOCIATE DISTRICT JUDGE KINGFISHER COUNTY","",4920,"","MOLLY NEUMAN",2132
"OK","McIntosh","40091","4009100000","ASSOCIATE DISTRICT JUDGE MCINTOSH COUNTY","",6241,"","BRENDON BRIDGES",4282
"OK","McIntosh","40091","4009100000","ASSOCIATE DISTRICT JUDGE MCINTOSH COUNTY","",6241,"","CINDY M. DAWSON",1959
"OK","Ottawa","40115","4011500000","ASSOCIATE DISTRICT JUDGE OTTAWA COUNTY","",7899,"","DOUGLAS PEWITT",3824
"OK","Ottawa","40115","4011500000","ASSOCIATE DISTRICT JUDGE OTTAWA COUNTY","",7899,"","JENNIFER ELLIS McAFFREY",4075
"OK","Pottawatomie","40125","4012500000","ASSOCIATE DISTRICT JUDGE POTTAWATOMIE COUNTY","",18637,"","KELLI McCULLAR",7787
"OK","Pottawatomie","40125","4012500000","ASSOCIATE DISTRICT JUDGE POTTAWATOMIE COUNTY","",18637,"","TRACY L. McDANIEL",10850
"OK","Rogers","40131","4013100000","ASSOCIATE DISTRICT JUDGE ROGERS COUNTY","",28538,"","KASSIE McCOY",14979
"OK","Rogers","40131","4013100000","ASSOCIATE DISTRICT JUDGE ROGERS COUNTY","",28538,"","STANTON HARRELL",13559
"OK","Seminole","40133","4013300000","ASSOCIATE DISTRICT JUDGE SEMINOLE COUNTY","",6259,"","BRETT BUTNER",3935
"OK","Seminole","40133","4013300000","ASSOCIATE DISTRICT JUDGE SEMINOLE COUNTY","",6259,"","RYAN H. PITTS",2324
"OK","Tulsa","40143","4014300000","ASSOCIATE DISTRICT JUDGE TULSA COUNTY","",162420,"","BRIAN A. CRAIN",73089
"OK","Tulsa","40143","4014300000","ASSOCIATE DISTRICT JUDGE TULSA COUNTY","",162420,"","CLIFF SMITH",89331
"OK","Adair","40001","4000100000","ATTORNEY GENERAL","statewide",5119,"Democrat","MARK MYLES",1457
"OK","Adair","40001","4000100000","ATTORNEY GENERAL","statewide",5119,"Republican","MIKE HUNTER",3662
"OK","Alfalfa","40003","4000300000","ATTORNEY GENERAL","statewide",1787,"Democrat","MARK MYLES",298
"OK","Alfalfa","40003","4000300000","ATTORNEY GENERAL","statewide",1787,"Republican","MIKE HUNTER",1489
"OK","Atoka","40005","4000500000","ATTORNEY GENERAL","statewide",3940,"Democrat","MARK MYLES",982
"OK","Atoka","40005","4000500000","ATTORNEY GENERAL","statewide",3940,"Republican","MIKE HUNTER",2958
"OK","Beaver","40007","4000700000","ATTORNEY GENERAL","statewide",1775,"Democrat","MARK MYLES",200
"OK","Beaver","40007","4000700000","ATTORNEY GENERAL","statewide",1775,"Republican","MIKE HUNTER",1575
"OK","Beckham","40009","4000900000","ATTORNEY GENERAL","statewide",5652,"Democrat","MARK MYLES",1163
"OK","Beckham","40009","4000900000","ATTORNEY GENERAL","statewide",5652,"Republican","MIKE HUNTER",4489
"OK","Blaine","40011","4001100000","ATTORNEY GENERAL","statewide",2919,"Democrat","MARK MYLES",733
