"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"OR","Baker","41001","4100100000","01-84 Countywide  Baker County Second Amendment Preservation Ordinance","",8215,"","No",2752
"OR","Baker","41001","4100100000","01-84 Countywide  Baker County Second Amendment Preservation Ordinance","",8215,"","Yes",5463
"OR","Baker","41001","4100100000","01-85 City of Sumpter  Shall the City of Sumpter Ban Marijuana Business","",146,"","No",73
"OR","Baker","41001","4100100000","01-85 City of Sumpter  Shall the City of Sumpter Ban Marijuana Business","",146,"","Yes",73
"OR","Baker","41001","4100100000","01-86 City of Haines  Prohibits Commercial Marijuana Facilities in Haines, Oregon.","",205,"","No",75
"OR","Baker","41001","4100100000","01-86 City of Haines  Prohibits Commercial Marijuana Facilities in Haines, Oregon.","",205,"","Yes",130
"OR","Baker","41001","4100100000","01-87 City of Haines  Authorizing Three Percent Tax on Cannabis Retailers, Manufacturers and By-Products","",201,"","No",20
"OR","Baker","41001","4100100000","01-87 City of Haines  Authorizing Three Percent Tax on Cannabis Retailers, Manufacturers and By-Products","",201,"","Yes",181
"OR","Baker","41001","4100100000","01-88 Baker School District 5J  Bonds To Improve Safety, Expand Vocational Opportunities, Address Enrollment Levels","",13890,"","No",9492
"OR","Baker","41001","4100100000","01-88 Baker School District 5J  Bonds To Improve Safety, Expand Vocational Opportunities, Address Enrollment Levels","",13890,"","Yes",4398
"OR","Union","41061","4106100000","01-88 Baker School District 5J  Bonds To Improve Safety, Expand Vocational Opportunities, Address Enrollment Levels","",72,"","No",28
"OR","Union","41061","4106100000","01-88 Baker School District 5J  Bonds To Improve Safety, Expand Vocational Opportunities, Address Enrollment Levels","",72,"","Yes",44
"OR","Baker","41001","4100100000","01-89 City of Unity  Prohibits certain marijuana registrants and/or licensees in Unity, Oregon.","",30,"","No",9
"OR","Baker","41001","4100100000","01-89 City of Unity  Prohibits certain marijuana registrants and/or licensees in Unity, Oregon.","",30,"","Yes",21
"OR","Benton","41003","4100300000","02-120 Ridgewood Road District One Year Local Option Tax","",94,"","No",26
"OR","Benton","41003","4100300000","02-120 Ridgewood Road District One Year Local Option Tax","",94,"","Yes",68
"OR","Clackamas","41005","4100500000","03-535 City of Gladstone  Renewal of current operating levy for police services","",5404,"","No",1395
"OR","Clackamas","41005","4100500000","03-535 City of Gladstone  Renewal of current operating levy for police services","",5404,"","Yes",4009
"OR","Clackamas","41005","4100500000","03-536 City of Gladstone  Renewal of current operating levy for fire and medical services","",5409,"","No",1079
