"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"RI","Barrington","44001","4400105140","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",8021,"","Approve",6317
"RI","Barrington","44001","4400105140","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",8021,"","Reject",1704
"RI","Bristol","44001","4400109280","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",8614,"","Approve",6580
"RI","Bristol","44001","4400109280","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",8614,"","Reject",2034
"RI","Burrillville","44007","4400711800","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",5713,"","Approve",3840
"RI","Burrillville","44007","4400711800","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",5713,"","Reject",1873
"RI","Central Falls","44007","4400714140","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",2234,"","Approve",2028
"RI","Central Falls","44007","4400714140","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",2234,"","Reject",206
"RI","Charlestown","44009","4400914500","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",3579,"","Approve",2547
"RI","Charlestown","44009","4400914500","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",3579,"","Reject",1032
"RI","Coventry","44003","4400318640","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",13507,"","Approve",9301
"RI","Coventry","44003","4400318640","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",13507,"","Reject",4206
"RI","Cranston","44007","4400719180","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",29446,"","Approve",23276
"RI","Cranston","44007","4400719180","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",29446,"","Reject",6170
"RI","Cumberland","44007","4400720080","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",13276,"","Approve",10387
"RI","Cumberland","44007","4400720080","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",13276,"","Reject",2889
"RI","East Greenwich","44003","4400322240","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",6324,"","Approve",4722
"RI","East Greenwich","44003","4400322240","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",6324,"","Reject",1602
"RI","East Providence","44007","4400722960","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",16286,"","Approve",13202
"RI","East Providence","44007","4400722960","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",16286,"","Reject",3084
"RI","Exeter","44009","4400925300","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",2854,"","Approve",1862
"RI","Exeter","44009","4400925300","1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000","statewide",2854,"","Reject",992
