"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"SC","Anderson","45007","4500700000","Anderson County Board of Education District 5","statewide",4651,"unknown","Mike Brock",4597
"SC","Anderson","45007","4500700000","Anderson County Board of Education District 5","statewide",4651,"unknown","WRITE-IN",54
"SC","Greenville","45045","4504500000","Anderson County Board of Education District 5","statewide",46,"unknown","Mike Brock",46
"SC","Greenville","45045","4504500000","Anderson County Board of Education District 5","statewide",46,"unknown","WRITE-IN",0
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",7741,"unknown","Alderman Maynard",2218
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",7741,"unknown","Kevin T Craft",2928
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",7741,"unknown","William R Stu Shirley",2545
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",7741,"unknown","WRITE-IN",50
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",70,"unknown","Alderman Maynard",19
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",70,"unknown","Kevin T Craft",32
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",70,"unknown","William R Stu Shirley",19
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 1 (Vote For 2)","statewide",70,"unknown","WRITE-IN",0
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 3","statewide",5403,"unknown","Barbara Peck",1014
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 3","statewide",5403,"unknown","Julia Ashley Barnes",2569
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 3","statewide",5403,"unknown","Maxie O Agnew Sr",1799
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 3","statewide",5403,"unknown","WRITE-IN",21
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 3","statewide",52,"unknown","Barbara Peck",13
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 3","statewide",52,"unknown","Julia Ashley Barnes",26
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 3","statewide",52,"unknown","Maxie O Agnew Sr",13
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 3","statewide",52,"unknown","WRITE-IN",0
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 4","statewide",5502,"unknown","Bonnie Shirley Knight",3118
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 4","statewide",5502,"unknown","Greg Tysl",2362
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 Area 4","statewide",5502,"unknown","WRITE-IN",22
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 4","statewide",53,"unknown","Bonnie Shirley Knight",37
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 4","statewide",53,"unknown","Greg Tysl",16
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 Area 4","statewide",53,"unknown","WRITE-IN",0
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 At-Large","statewide",5543,"unknown","Jimmy Ouzts",3431
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 At-Large","statewide",5543,"unknown","Tina Marie Scott",2094
"SC","Anderson","45007","4500700000","Anderson County School Trustee District 2 At-Large","statewide",5543,"unknown","WRITE-IN",18
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 At-Large","statewide",54,"unknown","Jimmy Ouzts",35
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 At-Large","statewide",54,"unknown","Tina Marie Scott",19
"SC","Greenville","45045","4504500000","Anderson County School Trustee District 2 At-Large","statewide",54,"unknown","WRITE-IN",0
"SC","Abbeville","45001","4500100000","Attorney General","statewide",8553,"unknown","Alan Wilson",5553
"SC","Abbeville","45001","4500100000","Attorney General","statewide",8553,"unknown","Constance Anastopoulo",2997
"SC","Abbeville","45001","4500100000","Attorney General","statewide",8553,"unknown","Write-In",3
"SC","Aiken","45003","4500300000","Attorney General","statewide",59548,"unknown","Alan Wilson",37513
"SC","Aiken","45003","4500300000","Attorney General","statewide",59548,"unknown","Constance Anastopoulo",22002
"SC","Aiken","45003","4500300000","Attorney General","statewide",59548,"unknown","Write-In",33
"SC","Allendale","45005","4500500000","Attorney General","statewide",2750,"unknown","Alan Wilson",619
"SC","Allendale","45005","4500500000","Attorney General","statewide",2750,"unknown","Constance Anastopoulo",2131
"SC","Allendale","45005","4500500000","Attorney General","statewide",2750,"unknown","Write-In",0
"SC","Anderson","45007","4500700000","Attorney General","statewide",62720,"unknown","Alan Wilson",44335
"SC","Anderson","45007","4500700000","Attorney General","statewide",62720,"unknown","Constance Anastopoulo",18352
"SC","Anderson","45007","4500700000","Attorney General","statewide",62720,"unknown","Write-In",33
"SC","Bamberg","45009","4500900000","Attorney General","statewide",4362,"unknown","Alan Wilson",1580
"SC","Bamberg","45009","4500900000","Attorney General","statewide",4362,"unknown","Constance Anastopoulo",2780
