"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"SD","Aurora","46003","4600300000","Governor","statewide",1280,"Libertarian","Evans, Kurt",29
"SD","Aurora","46003","4600300000","Governor","statewide",1280,"Republican","Noem, Kristi",644
"SD","Aurora","46003","4600300000","Governor","statewide",1280,"Democrat","Sutton, Billie",607
"SD","Beadle","46005","4600500000","Governor","statewide",6108,"Libertarian","Evans, Kurt",94
"SD","Beadle","46005","4600500000","Governor","statewide",6108,"Republican","Noem, Kristi",3182
"SD","Beadle","46005","4600500000","Governor","statewide",6108,"Democrat","Sutton, Billie",2832
"SD","Bennett","46007","4600700000","Governor","statewide",1102,"Libertarian","Evans, Kurt",26
"SD","Bennett","46007","4600700000","Governor","statewide",1102,"Republican","Noem, Kristi",553
"SD","Bennett","46007","4600700000","Governor","statewide",1102,"Democrat","Sutton, Billie",523
"SD","Bon Homme","46009","4600900000","Governor","statewide",2747,"Libertarian","Evans, Kurt",36
"SD","Bon Homme","46009","4600900000","Governor","statewide",2747,"Republican","Noem, Kristi",1303
"SD","Bon Homme","46009","4600900000","Governor","statewide",2747,"Democrat","Sutton, Billie",1408
"SD","Brookings","46011","4601100000","Governor","statewide",11780,"Libertarian","Evans, Kurt",183
"SD","Brookings","46011","4601100000","Governor","statewide",11780,"Republican","Noem, Kristi",5225
"SD","Brookings","46011","4601100000","Governor","statewide",11780,"Democrat","Sutton, Billie",6372
"SD","Brown","46013","4601300000","Governor","statewide",14365,"Libertarian","Evans, Kurt",206
"SD","Brown","46013","4601300000","Governor","statewide",14365,"Republican","Noem, Kristi",6821
"SD","Brown","46013","4601300000","Governor","statewide",14365,"Democrat","Sutton, Billie",7338
"SD","Brule","46015","4601500000","Governor","statewide",2130,"Libertarian","Evans, Kurt",36
"SD","Brule","46015","4601500000","Governor","statewide",2130,"Republican","Noem, Kristi",1103
"SD","Brule","46015","4601500000","Governor","statewide",2130,"Democrat","Sutton, Billie",991
"SD","Buffalo","46017","4601700000","Governor","statewide",548,"Libertarian","Evans, Kurt",7
"SD","Buffalo","46017","4601700000","Governor","statewide",548,"Republican","Noem, Kristi",138
"SD","Buffalo","46017","4601700000","Governor","statewide",548,"Democrat","Sutton, Billie",403
"SD","Butte","46019","4601900000","Governor","statewide",3808,"Libertarian","Evans, Kurt",69
"SD","Butte","46019","4601900000","Governor","statewide",3808,"Republican","Noem, Kristi",2505
"SD","Butte","46019","4601900000","Governor","statewide",3808,"Democrat","Sutton, Billie",1234
"SD","Campbell","46021","4602100000","Governor","statewide",732,"Libertarian","Evans, Kurt",9
"SD","Campbell","46021","4602100000","Governor","statewide",732,"Republican","Noem, Kristi",550
"SD","Campbell","46021","4602100000","Governor","statewide",732,"Democrat","Sutton, Billie",173
"SD","Charles Mix","46023","4602300000","Governor","statewide",3552,"Libertarian","Evans, Kurt",38
"SD","Charles Mix","46023","4602300000","Governor","statewide",3552,"Republican","Noem, Kristi",1661
"SD","Charles Mix","46023","4602300000","Governor","statewide",3552,"Democrat","Sutton, Billie",1853
"SD","Clark","46025","4602500000","Governor","statewide",1664,"Libertarian","Evans, Kurt",17
"SD","Clark","46025","4602500000","Governor","statewide",1664,"Republican","Noem, Kristi",879
"SD","Clark","46025","4602500000","Governor","statewide",1664,"Democrat","Sutton, Billie",768
"SD","Clay","46027","4602700000","Governor","statewide",4644,"Libertarian","Evans, Kurt",53
"SD","Clay","46027","4602700000","Governor","statewide",4644,"Republican","Noem, Kristi",1552
"SD","Clay","46027","4602700000","Governor","statewide",4644,"Democrat","Sutton, Billie",3039
"SD","Codington","46029","4602900000","Governor","statewide",10693,"Libertarian","Evans, Kurt",131
"SD","Codington","46029","4602900000","Governor","statewide",10693,"Republican","Noem, Kristi",5865
"SD","Codington","46029","4602900000","Governor","statewide",10693,"Democrat","Sutton, Billie",4697
"SD","Corson","46031","4603100000","Governor","statewide",1110,"Libertarian","Evans, Kurt",17
"SD","Corson","46031","4603100000","Governor","statewide",1110,"Republican","Noem, Kristi",426
"SD","Corson","46031","4603100000","Governor","statewide",1110,"Democrat","Sutton, Billie",667
"SD","Custer","46033","4603300000","Governor","statewide",4409,"Libertarian","Evans, Kurt",73
"SD","Custer","46033","4603300000","Governor","statewide",4409,"Republican","Noem, Kristi",2789
"SD","Custer","46033","4603300000","Governor","statewide",4409,"Democrat","Sutton, Billie",1547
"SD","Davison","46035","4603500000","Governor","statewide",7274,"Libertarian","Evans, Kurt",97
"SD","Davison","46035","4603500000","Governor","statewide",7274,"Republican","Noem, Kristi",3779
"SD","Davison","46035","4603500000","Governor","statewide",7274,"Democrat","Sutton, Billie",3398
"SD","Day","46037","4603700000","Governor","statewide",2777,"Libertarian","Evans, Kurt",39
"SD","Day","46037","4603700000","Governor","statewide",2777,"Republican","Noem, Kristi",1207
"SD","Day","46037","4603700000","Governor","statewide",2777,"Democrat","Sutton, Billie",1531
"SD","Deuel","46039","4603900000","Governor","statewide",1989,"Libertarian","Evans, Kurt",43
"SD","Deuel","46039","4603900000","Governor","statewide",1989,"Republican","Noem, Kristi",1053
"SD","Deuel","46039","4603900000","Governor","statewide",1989,"Democrat","Sutton, Billie",893
"SD","Dewey","46041","4604100000","Governor","statewide",1841,"Libertarian","Evans, Kurt",18
"SD","Dewey","46041","4604100000","Governor","statewide",1841,"Republican","Noem, Kristi",393
"SD","Dewey","46041","4604100000","Governor","statewide",1841,"Democrat","Sutton, Billie",1430
"SD","Douglas","46043","4604300000","Governor","statewide",1496,"Libertarian","Evans, Kurt",13
"SD","Douglas","46043","4604300000","Governor","statewide",1496,"Republican","Noem, Kristi",1120
"SD","Douglas","46043","4604300000","Governor","statewide",1496,"Democrat","Sutton, Billie",363
"SD","Edmunds","46045","4604500000","Governor","statewide",1708,"Libertarian","Evans, Kurt",19
"SD","Edmunds","46045","4604500000","Governor","statewide",1708,"Republican","Noem, Kristi",1018
"SD","Edmunds","46045","4604500000","Governor","statewide",1708,"Democrat","Sutton, Billie",671
"SD","Fall River","46047","4604700000","Governor","statewide",3192,"Libertarian","Evans, Kurt",68
"SD","Fall River","46047","4604700000","Governor","statewide",3192,"Republican","Noem, Kristi",2059
"SD","Fall River","46047","4604700000","Governor","statewide",3192,"Democrat","Sutton, Billie",1065
"SD","Faulk","46049","4604900000","Governor","statewide",1075,"Libertarian","Evans, Kurt",13
"SD","Faulk","46049","4604900000","Governor","statewide",1075,"Republican","Noem, Kristi",674
"SD","Faulk","46049","4604900000","Governor","statewide",1075,"Democrat","Sutton, Billie",388
"SD","Grant","46051","4605100000","Governor","statewide",3220,"Libertarian","Evans, Kurt",52
"SD","Grant","46051","4605100000","Governor","statewide",3220,"Republican","Noem, Kristi",1780
"SD","Grant","46051","4605100000","Governor","statewide",3220,"Democrat","Sutton, Billie",1388
"SD","Gregory","46053","4605300000","Governor","statewide",2153,"Libertarian","Evans, Kurt",17
"SD","Gregory","46053","4605300000","Governor","statewide",2153,"Republican","Noem, Kristi",1107
"SD","Gregory","46053","4605300000","Governor","statewide",2153,"Democrat","Sutton, Billie",1029
"SD","Haakon","46055","4605500000","Governor","statewide",945,"Libertarian","Evans, Kurt",15
"SD","Haakon","46055","4605500000","Governor","statewide",945,"Republican","Noem, Kristi",734
"SD","Haakon","46055","4605500000","Governor","statewide",945,"Democrat","Sutton, Billie",196
"SD","Hamlin","46057","4605700000","Governor","statewide",2716,"Libertarian","Evans, Kurt",29
