"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Alfred Shawn Rapoza",2
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Republican","Bill Lee",16265
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Chad Riden",13
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Cory King",9
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"","Eddie Murphy (write-in)",0
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Gabriel Fancher",4
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","George Blackwell Smith IV",20
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Heather Scott",25
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Jaron D. Weidner",0
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Jeremy Allen Stephenson",7
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Jessie D. McDonald",3
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Joe B. Wilmoth",1
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Justin Cornett",22
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Democrat","Karl Dean",9462
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Mark CoonRippy Brown",37
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Mark Wright",8
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Matthew Koch",7
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Mike Toews",3
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Patrick Whitlock",1
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Rick Tyler",7
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Robert Sawyers Sr.",3
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Sean Bruce Fleming",5
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Sherry L. Clark",58
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Tommy Ray McAnally",21
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Toney Randall Mitchell",9
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Tracy C. Yaste Tisdale",12
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Vinnie Vineyard",23
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","William Andrew Helmstetter",4
"TN","Anderson","47001","4700100000","Governor","statewide",26040,"Independent","Yvonne Neubert",9
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Alfred Shawn Rapoza",4
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Republican","Bill Lee",9489
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Chad Riden",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Cory King",13
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"","Eddie Murphy (write-in)",0
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Gabriel Fancher",4
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","George Blackwell Smith IV",4
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Heather Scott",8
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Jaron D. Weidner",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Jeremy Allen Stephenson",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Jessie D. McDonald",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Joe B. Wilmoth",0
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Justin Cornett",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Democrat","Karl Dean",3447
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Mark CoonRippy Brown",12
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Mark Wright",5
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Matthew Koch",3
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Mike Toews",2
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Patrick Whitlock",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Rick Tyler",3
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Robert Sawyers Sr.",0
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Sean Bruce Fleming",2
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Sherry L. Clark",24
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Tommy Ray McAnally",5
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Toney Randall Mitchell",1
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Tracy C. Yaste Tisdale",3
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Vinnie Vineyard",7
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","William Andrew Helmstetter",3
"TN","Bedford","47003","4700300000","Governor","statewide",13049,"Independent","Yvonne Neubert",4
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Alfred Shawn Rapoza",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Republican","Bill Lee",3696
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Chad Riden",1
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Cory King",3
"TN","Benton","47005","4700500000","Governor","statewide",5346,"","Eddie Murphy (write-in)",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Gabriel Fancher",1
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","George Blackwell Smith IV",2
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Heather Scott",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Jaron D. Weidner",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Jeremy Allen Stephenson",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Jessie D. McDonald",2
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Joe B. Wilmoth",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Justin Cornett",3
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Democrat","Karl Dean",1599
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Mark CoonRippy Brown",7
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Mark Wright",7
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Matthew Koch",4
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Mike Toews",2
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Patrick Whitlock",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Rick Tyler",1
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Robert Sawyers Sr.",3
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Sean Bruce Fleming",2
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Sherry L. Clark",11
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Tommy Ray McAnally",1
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Toney Randall Mitchell",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Tracy C. Yaste Tisdale",1
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Vinnie Vineyard",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","William Andrew Helmstetter",0
"TN","Benton","47005","4700500000","Governor","statewide",5346,"Independent","Yvonne Neubert",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Alfred Shawn Rapoza",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Republican","Bill Lee",3102
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Chad Riden",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Cory King",2
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"","Eddie Murphy (write-in)",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Gabriel Fancher",1
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","George Blackwell Smith IV",3
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Heather Scott",4
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Jaron D. Weidner",1
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Jeremy Allen Stephenson",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Jessie D. McDonald",1
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Joe B. Wilmoth",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Justin Cornett",4
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Democrat","Karl Dean",923
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Mark CoonRippy Brown",8
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Mark Wright",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Matthew Koch",3
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Mike Toews",1
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Patrick Whitlock",1
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Rick Tyler",3
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Robert Sawyers Sr.",2
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Sean Bruce Fleming",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Sherry L. Clark",8
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Tommy Ray McAnally",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Toney Randall Mitchell",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Tracy C. Yaste Tisdale",4
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Vinnie Vineyard",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","William Andrew Helmstetter",0
"TN","Bledsoe","47007","4700700000","Governor","statewide",4072,"Independent","Yvonne Neubert",1
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Alfred Shawn Rapoza",9
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Republican","Bill Lee",32958
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Chad Riden",9
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Cory King",13
"TN","Blount","47009","4700900000","Governor","statewide",46775,"","Eddie Murphy (write-in)",0
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Gabriel Fancher",12
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","George Blackwell Smith IV",14
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Heather Scott",50
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Jaron D. Weidner",5
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Jeremy Allen Stephenson",18
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Jessie D. McDonald",8
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Joe B. Wilmoth",3
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Justin Cornett",23
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Democrat","Karl Dean",13362
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Mark CoonRippy Brown",39
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Mark Wright",13
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Matthew Koch",12
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Mike Toews",10
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Patrick Whitlock",7
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Rick Tyler",7
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Robert Sawyers Sr.",5
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Sean Bruce Fleming",8
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Sherry L. Clark",102
"TN","Blount","47009","4700900000","Governor","statewide",46775,"Independent","Tommy Ray McAnally",4
