"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"TX","Fisher","48151","4815100000","1st Multicounty Court at Law Judge","",1144,"Republican","David Hall",1144
"TX","Nolan","48353","4835300000","1st Multicounty Court at Law Judge","",3437,"Republican","David Hall",3437
"TX","Anderson","48001","4800100000","Attorney General","statewide",14651,"Democrat","Justin Nelson",3314
"TX","Anderson","48001","4800100000","Attorney General","statewide",14651,"Republican","Ken Paxton",11044
"TX","Anderson","48001","4800100000","Attorney General","statewide",14651,"Libertarian","Michael Ray Harris",293
"TX","Andrews","48003","4800300000","Attorney General","statewide",4100,"Democrat","Justin Nelson",752
"TX","Andrews","48003","4800300000","Attorney General","statewide",4100,"Republican","Ken Paxton",3256
"TX","Andrews","48003","4800300000","Attorney General","statewide",4100,"Libertarian","Michael Ray Harris",92
"TX","Angelina","48005","4800500000","Attorney General","statewide",26223,"Democrat","Justin Nelson",7073
"TX","Angelina","48005","4800500000","Attorney General","statewide",26223,"Republican","Ken Paxton",18762
"TX","Angelina","48005","4800500000","Attorney General","statewide",26223,"Libertarian","Michael Ray Harris",388
"TX","Aransas","48007","4800700000","Attorney General","statewide",8916,"Democrat","Justin Nelson",2181
"TX","Aransas","48007","4800700000","Attorney General","statewide",8916,"Republican","Ken Paxton",6550
"TX","Aransas","48007","4800700000","Attorney General","statewide",8916,"Libertarian","Michael Ray Harris",185
"TX","Archer","48009","4800900000","Attorney General","statewide",3587,"Democrat","Justin Nelson",393
"TX","Archer","48009","4800900000","Attorney General","statewide",3587,"Republican","Ken Paxton",3143
"TX","Archer","48009","4800900000","Attorney General","statewide",3587,"Libertarian","Michael Ray Harris",51
"TX","Armstrong","48011","4801100000","Attorney General","statewide",884,"Democrat","Justin Nelson",78
"TX","Armstrong","48011","4801100000","Attorney General","statewide",884,"Republican","Ken Paxton",784
"TX","Armstrong","48011","4801100000","Attorney General","statewide",884,"Libertarian","Michael Ray Harris",22
"TX","Atascosa","48013","4801300000","Attorney General","statewide",12086,"Democrat","Justin Nelson",4369
"TX","Atascosa","48013","4801300000","Attorney General","statewide",12086,"Republican","Ken Paxton",7445
"TX","Atascosa","48013","4801300000","Attorney General","statewide",12086,"Libertarian","Michael Ray Harris",272
"TX","Austin","48015","4801500000","Attorney General","statewide",10945,"Democrat","Justin Nelson",2324
"TX","Austin","48015","4801500000","Attorney General","statewide",10945,"Republican","Ken Paxton",8418
"TX","Austin","48015","4801500000","Attorney General","statewide",10945,"Libertarian","Michael Ray Harris",203
"TX","Bailey","48017","4801700000","Attorney General","statewide",1571,"Democrat","Justin Nelson",385
"TX","Bailey","48017","4801700000","Attorney General","statewide",1571,"Republican","Ken Paxton",1162
"TX","Bailey","48017","4801700000","Attorney General","statewide",1571,"Libertarian","Michael Ray Harris",24
"TX","Bandera","48019","4801900000","Attorney General","statewide",9554,"Democrat","Justin Nelson",1853
"TX","Bandera","48019","4801900000","Attorney General","statewide",9554,"Republican","Ken Paxton",7450
"TX","Bandera","48019","4801900000","Attorney General","statewide",9554,"Libertarian","Michael Ray Harris",251
"TX","Bastrop","48021","4802100000","Attorney General","statewide",27178,"Democrat","Justin Nelson",11732
"TX","Bastrop","48021","4802100000","Attorney General","statewide",27178,"Republican","Ken Paxton",14411
"TX","Bastrop","48021","4802100000","Attorney General","statewide",27178,"Libertarian","Michael Ray Harris",1035
"TX","Baylor","48023","4802300000","Attorney General","statewide",1216,"Democrat","Justin Nelson",170
"TX","Baylor","48023","4802300000","Attorney General","statewide",1216,"Republican","Ken Paxton",1018
"TX","Baylor","48023","4802300000","Attorney General","statewide",1216,"Libertarian","Michael Ray Harris",28
"TX","Bee","48025","4802500000","Attorney General","statewide",7057,"Democrat","Justin Nelson",2769
"TX","Bee","48025","4802500000","Attorney General","statewide",7057,"Republican","Ken Paxton",4090
"TX","Bee","48025","4802500000","Attorney General","statewide",7057,"Libertarian","Michael Ray Harris",198
"TX","Bell","48027","4802700000","Attorney General","statewide",85988,"Democrat","Justin Nelson",36684
"TX","Bell","48027","4802700000","Attorney General","statewide",85988,"Republican","Ken Paxton",47066
"TX","Bell","48027","4802700000","Attorney General","statewide",85988,"Libertarian","Michael Ray Harris",2238
"TX","Bexar","48029","4802900000","Attorney General","statewide",543734,"Democrat","Justin Nelson",314273
"TX","Bexar","48029","4802900000","Attorney General","statewide",543734,"Republican","Ken Paxton",214910
"TX","Bexar","48029","4802900000","Attorney General","statewide",543734,"Libertarian","Michael Ray Harris",14551
"TX","Blanco","48031","4803100000","Attorney General","statewide",5787,"Democrat","Justin Nelson",1569
"TX","Blanco","48031","4803100000","Attorney General","statewide",5787,"Republican","Ken Paxton",4063
"TX","Blanco","48031","4803100000","Attorney General","statewide",5787,"Libertarian","Michael Ray Harris",155
"TX","Borden","48033","4803300000","Attorney General","statewide",340,"Democrat","Justin Nelson",31
"TX","Borden","48033","4803300000","Attorney General","statewide",340,"Republican","Ken Paxton",301
"TX","Borden","48033","4803300000","Attorney General","statewide",340,"Libertarian","Michael Ray Harris",8
"TX","Bosque","48035","4803500000","Attorney General","statewide",7089,"Democrat","Justin Nelson",1402
"TX","Bosque","48035","4803500000","Attorney General","statewide",7089,"Republican","Ken Paxton",5505
"TX","Bosque","48035","4803500000","Attorney General","statewide",7089,"Libertarian","Michael Ray Harris",182
"TX","Bowie","48037","4803700000","Attorney General","statewide",28174,"Democrat","Justin Nelson",7991
"TX","Bowie","48037","4803700000","Attorney General","statewide",28174,"Republican","Ken Paxton",19732
"TX","Bowie","48037","4803700000","Attorney General","statewide",28174,"Libertarian","Michael Ray Harris",451
"TX","Brazoria","48039","4803900000","Attorney General","statewide",111025,"Democrat","Justin Nelson",44030
"TX","Brazoria","48039","4803900000","Attorney General","statewide",111025,"Republican","Ken Paxton",64446
"TX","Brazoria","48039","4803900000","Attorney General","statewide",111025,"Libertarian","Michael Ray Harris",2549
"TX","Brazos","48041","4804100000","Attorney General","statewide",63476,"Democrat","Justin Nelson",25555
"TX","Brazos","48041","4804100000","Attorney General","statewide",63476,"Republican","Ken Paxton",35843
"TX","Brazos","48041","4804100000","Attorney General","statewide",63476,"Libertarian","Michael Ray Harris",2078
"TX","Brewster","48043","4804300000","Attorney General","statewide",4010,"Democrat","Justin Nelson",1991
"TX","Brewster","48043","4804300000","Attorney General","statewide",4010,"Republican","Ken Paxton",1854
"TX","Brewster","48043","4804300000","Attorney General","statewide",4010,"Libertarian","Michael Ray Harris",165
"TX","Briscoe","48045","4804500000","Attorney General","statewide",618,"Democrat","Justin Nelson",70
"TX","Briscoe","48045","4804500000","Attorney General","statewide",618,"Republican","Ken Paxton",538
"TX","Briscoe","48045","4804500000","Attorney General","statewide",618,"Libertarian","Michael Ray Harris",10
"TX","Brooks","48047","4804700000","Attorney General","statewide",1820,"Democrat","Justin Nelson",1350
"TX","Brooks","48047","4804700000","Attorney General","statewide",1820,"Republican","Ken Paxton",440
"TX","Brooks","48047","4804700000","Attorney General","statewide",1820,"Libertarian","Michael Ray Harris",30
"TX","Brown","48049","4804900000","Attorney General","statewide",12176,"Democrat","Justin Nelson",1695
"TX","Brown","48049","4804900000","Attorney General","statewide",12176,"Republican","Ken Paxton",10276
"TX","Brown","48049","4804900000","Attorney General","statewide",12176,"Libertarian","Michael Ray Harris",205
"TX","Burleson","48051","4805100000","Attorney General","statewide",6575,"Democrat","Justin Nelson",1480
"TX","Burleson","48051","4805100000","Attorney General","statewide",6575,"Republican","Ken Paxton",4980
"TX","Burleson","48051","4805100000","Attorney General","statewide",6575,"Libertarian","Michael Ray Harris",115
"TX","Burnet","48053","4805300000","Attorney General","statewide",18485,"Democrat","Justin Nelson",4533
"TX","Burnet","48053","4805300000","Attorney General","statewide",18485,"Republican","Ken Paxton",13419
"TX","Burnet","48053","4805300000","Attorney General","statewide",18485,"Libertarian","Michael Ray Harris",533
"TX","Caldwell","48055","4805500000","Attorney General","statewide",11394,"Democrat","Justin Nelson",5064
"TX","Caldwell","48055","4805500000","Attorney General","statewide",11394,"Republican","Ken Paxton",5959
"TX","Caldwell","48055","4805500000","Attorney General","statewide",11394,"Libertarian","Michael Ray Harris",371
"TX","Calhoun","48057","4805700000","Attorney General","statewide",6013,"Democrat","Justin Nelson",1914
"TX","Calhoun","48057","4805700000","Attorney General","statewide",6013,"Republican","Ken Paxton",3961
"TX","Calhoun","48057","4805700000","Attorney General","statewide",6013,"Libertarian","Michael Ray Harris",138
"TX","Callahan","48059","4805900000","Attorney General","statewide",4988,"Democrat","Justin Nelson",611
"TX","Callahan","48059","4805900000","Attorney General","statewide",4988,"Republican","Ken Paxton",4283
"TX","Callahan","48059","4805900000","Attorney General","statewide",4988,"Libertarian","Michael Ray Harris",94
"TX","Cameron","48061","4806100000","Attorney General","statewide",76227,"Democrat","Justin Nelson",46880
"TX","Cameron","48061","4806100000","Attorney General","statewide",76227,"Republican","Ken Paxton",26834
"TX","Cameron","48061","4806100000","Attorney General","statewide",76227,"Libertarian","Michael Ray Harris",2513
"TX","Camp","48063","4806300000","Attorney General","statewide",3874,"Democrat","Justin Nelson",1139
"TX","Camp","48063","4806300000","Attorney General","statewide",3874,"Republican","Ken Paxton",2667
"TX","Camp","48063","4806300000","Attorney General","statewide",3874,"Libertarian","Michael Ray Harris",68
"TX","Carson","48065","4806500000","Attorney General","statewide",2434,"Democrat","Justin Nelson",304
"TX","Carson","48065","4806500000","Attorney General","statewide",2434,"Republican","Ken Paxton",2078
"TX","Carson","48065","4806500000","Attorney General","statewide",2434,"Libertarian","Michael Ray Harris",52
"TX","Cass","48067","4806700000","Attorney General","statewide",10248,"Democrat","Justin Nelson",2113
"TX","Cass","48067","4806700000","Attorney General","statewide",10248,"Republican","Ken Paxton",8029
"TX","Cass","48067","4806700000","Attorney General","statewide",10248,"Libertarian","Michael Ray Harris",106
"TX","Castro","48069","4806900000","Attorney General","statewide",1605,"Democrat","Justin Nelson",455
"TX","Castro","48069","4806900000","Attorney General","statewide",1605,"Republican","Ken Paxton",1131
"TX","Castro","48069","4806900000","Attorney General","statewide",1605,"Libertarian","Michael Ray Harris",19
"TX","Chambers","48071","4807100000","Attorney General","statewide",15069,"Democrat","Justin Nelson",2901
"TX","Chambers","48071","4807100000","Attorney General","statewide",15069,"Republican","Ken Paxton",11912
"TX","Chambers","48071","4807100000","Attorney General","statewide",15069,"Libertarian","Michael Ray Harris",256
"TX","Cherokee","48073","4807300000","Attorney General","statewide",14937,"Democrat","Justin Nelson",3286
"TX","Cherokee","48073","4807300000","Attorney General","statewide",14937,"Republican","Ken Paxton",11428
"TX","Cherokee","48073","4807300000","Attorney General","statewide",14937,"Libertarian","Michael Ray Harris",223
"TX","Childress","48075","4807500000","Attorney General","statewide",1753,"Democrat","Justin Nelson",244
"TX","Childress","48075","4807500000","Attorney General","statewide",1753,"Republican","Ken Paxton",1477
"TX","Childress","48075","4807500000","Attorney General","statewide",1753,"Libertarian","Michael Ray Harris",32
"TX","Clay","48077","4807700000","Attorney General","statewide",4252,"Democrat","Justin Nelson",579
"TX","Clay","48077","4807700000","Attorney General","statewide",4252,"Republican","Ken Paxton",3607
"TX","Clay","48077","4807700000","Attorney General","statewide",4252,"Libertarian","Michael Ray Harris",66
"TX","Cochran","48079","4807900000","Attorney General","statewide",676,"Democrat","Justin Nelson",135
"TX","Cochran","48079","4807900000","Attorney General","statewide",676,"Republican","Ken Paxton",529
"TX","Cochran","48079","4807900000","Attorney General","statewide",676,"Libertarian","Michael Ray Harris",12
"TX","Coke","48081","4808100000","Attorney General","statewide",1304,"Democrat","Justin Nelson",165
"TX","Coke","48081","4808100000","Attorney General","statewide",1304,"Republican","Ken Paxton",1112
"TX","Coke","48081","4808100000","Attorney General","statewide",1304,"Libertarian","Michael Ray Harris",27
"TX","Coleman","48083","4808300000","Attorney General","statewide",3118,"Democrat","Justin Nelson",388
"TX","Coleman","48083","4808300000","Attorney General","statewide",3118,"Republican","Ken Paxton",2667
"TX","Coleman","48083","4808300000","Attorney General","statewide",3118,"Libertarian","Michael Ray Harris",63
"TX","Collin","48085","4808500000","Attorney General","statewide",351235,"Democrat","Justin Nelson",156849
"TX","Collin","48085","4808500000","Attorney General","statewide",351235,"Republican","Ken Paxton",185267
"TX","Collin","48085","4808500000","Attorney General","statewide",351235,"Libertarian","Michael Ray Harris",9119
"TX","Collingsworth","48087","4808700000","Attorney General","statewide",922,"Democrat","Justin Nelson",121
"TX","Collingsworth","48087","4808700000","Attorney General","statewide",922,"Republican","Ken Paxton",788
"TX","Collingsworth","48087","4808700000","Attorney General","statewide",922,"Libertarian","Michael Ray Harris",13
"TX","Colorado","48089","4808900000","Attorney General","statewide",7568,"Democrat","Justin Nelson",1848
"TX","Colorado","48089","4808900000","Attorney General","statewide",7568,"Republican","Ken Paxton",5587
"TX","Colorado","48089","4808900000","Attorney General","statewide",7568,"Libertarian","Michael Ray Harris",133
"TX","Comal","48091","4809100000","Attorney General","statewide",61559,"Democrat","Justin Nelson",16372
"TX","Comal","48091","4809100000","Attorney General","statewide",61559,"Republican","Ken Paxton",43682
"TX","Comal","48091","4809100000","Attorney General","statewide",61559,"Libertarian","Michael Ray Harris",1505
"TX","Comanche","48093","4809300000","Attorney General","statewide",4592,"Democrat","Justin Nelson",827
"TX","Comanche","48093","4809300000","Attorney General","statewide",4592,"Republican","Ken Paxton",3676
"TX","Comanche","48093","4809300000","Attorney General","statewide",4592,"Libertarian","Michael Ray Harris",89
"TX","Concho","48095","4809500000","Attorney General","statewide",975,"Democrat","Justin Nelson",175
"TX","Concho","48095","4809500000","Attorney General","statewide",975,"Republican","Ken Paxton",784
"TX","Concho","48095","4809500000","Attorney General","statewide",975,"Libertarian","Michael Ray Harris",16
"TX","Cooke","48097","4809700000","Attorney General","statewide",14408,"Democrat","Justin Nelson",2572
"TX","Cooke","48097","4809700000","Attorney General","statewide",14408,"Republican","Ken Paxton",11548
"TX","Cooke","48097","4809700000","Attorney General","statewide",14408,"Libertarian","Michael Ray Harris",288
"TX","Coryell","48099","4809900000","Attorney General","statewide",15879,"Democrat","Justin Nelson",4947
"TX","Coryell","48099","4809900000","Attorney General","statewide",15879,"Republican","Ken Paxton",10491
"TX","Coryell","48099","4809900000","Attorney General","statewide",15879,"Libertarian","Michael Ray Harris",441
"TX","Cottle","48101","4810100000","Attorney General","statewide",520,"Democrat","Justin Nelson",92
"TX","Cottle","48101","4810100000","Attorney General","statewide",520,"Republican","Ken Paxton",419
"TX","Cottle","48101","4810100000","Attorney General","statewide",520,"Libertarian","Michael Ray Harris",9
"TX","Crane","48103","4810300000","Attorney General","statewide",1039,"Democrat","Justin Nelson",235
"TX","Crane","48103","4810300000","Attorney General","statewide",1039,"Republican","Ken Paxton",787
"TX","Crane","48103","4810300000","Attorney General","statewide",1039,"Libertarian","Michael Ray Harris",17
"TX","Crockett","48105","4810500000","Attorney General","statewide",1208,"Democrat","Justin Nelson",341
"TX","Crockett","48105","4810500000","Attorney General","statewide",1208,"Republican","Ken Paxton",842
"TX","Crockett","48105","4810500000","Attorney General","statewide",1208,"Libertarian","Michael Ray Harris",25
"TX","Crosby","48107","4810700000","Attorney General","statewide",1409,"Democrat","Justin Nelson",441
"TX","Crosby","48107","4810700000","Attorney General","statewide",1409,"Republican","Ken Paxton",928
"TX","Crosby","48107","4810700000","Attorney General","statewide",1409,"Libertarian","Michael Ray Harris",40
"TX","Culberson","48109","4810900000","Attorney General","statewide",718,"Democrat","Justin Nelson",423
"TX","Culberson","48109","4810900000","Attorney General","statewide",718,"Republican","Ken Paxton",265
"TX","Culberson","48109","4810900000","Attorney General","statewide",718,"Libertarian","Michael Ray Harris",30
"TX","Dallam","48111","4811100000","Attorney General","statewide",1112,"Democrat","Justin Nelson",146
"TX","Dallam","48111","4811100000","Attorney General","statewide",1112,"Republican","Ken Paxton",943
"TX","Dallam","48111","4811100000","Attorney General","statewide",1112,"Libertarian","Michael Ray Harris",23
"TX","Dallas","48113","4811300000","Attorney General","statewide",719672,"Democrat","Justin Nelson",461574
"TX","Dallas","48113","4811300000","Attorney General","statewide",719672,"Republican","Ken Paxton",240429
"TX","Dallas","48113","4811300000","Attorney General","statewide",719672,"Libertarian","Michael Ray Harris",17669
"TX","Dawson","48115","4811500000","Attorney General","statewide",2968,"Democrat","Justin Nelson",796
"TX","Dawson","48115","4811500000","Attorney General","statewide",2968,"Republican","Ken Paxton",2130
"TX","Dawson","48115","4811500000","Attorney General","statewide",2968,"Libertarian","Michael Ray Harris",42
"TX","De Witt","48123","4812300000","Attorney General","statewide",6060,"Democrat","Justin Nelson",1157
"TX","De Witt","48123","4812300000","Attorney General","statewide",6060,"Republican","Ken Paxton",4824
"TX","De Witt","48123","4812300000","Attorney General","statewide",6060,"Libertarian","Michael Ray Harris",79
"TX","Deaf Smith","48117","4811700000","Attorney General","statewide",3740,"Democrat","Justin Nelson",1060
"TX","Deaf Smith","48117","4811700000","Attorney General","statewide",3740,"Republican","Ken Paxton",2620
"TX","Deaf Smith","48117","4811700000","Attorney General","statewide",3740,"Libertarian","Michael Ray Harris",60
"TX","Delta","48119","4811900000","Attorney General","statewide",1927,"Democrat","Justin Nelson",386
"TX","Delta","48119","4811900000","Attorney General","statewide",1927,"Republican","Ken Paxton",1501
"TX","Delta","48119","4811900000","Attorney General","statewide",1927,"Libertarian","Michael Ray Harris",40
"TX","Denton","48121","4812100000","Attorney General","statewide",292680,"Democrat","Justin Nelson",126721
"TX","Denton","48121","4812100000","Attorney General","statewide",292680,"Republican","Ken Paxton",157588
"TX","Denton","48121","4812100000","Attorney General","statewide",292680,"Libertarian","Michael Ray Harris",8371
"TX","Dickens","48125","4812500000","Attorney General","statewide",755,"Democrat","Justin Nelson",122
"TX","Dickens","48125","4812500000","Attorney General","statewide",755,"Republican","Ken Paxton",627
"TX","Dickens","48125","4812500000","Attorney General","statewide",755,"Libertarian","Michael Ray Harris",6
"TX","Dimmit","48127","4812700000","Attorney General","statewide",2748,"Democrat","Justin Nelson",1930
"TX","Dimmit","48127","4812700000","Attorney General","statewide",2748,"Republican","Ken Paxton",763
"TX","Dimmit","48127","4812700000","Attorney General","statewide",2748,"Libertarian","Michael Ray Harris",55
"TX","Donley","48129","4812900000","Attorney General","statewide",1271,"Democrat","Justin Nelson",190
"TX","Donley","48129","4812900000","Attorney General","statewide",1271,"Republican","Ken Paxton",1053
"TX","Donley","48129","4812900000","Attorney General","statewide",1271,"Libertarian","Michael Ray Harris",28
"TX","Duval","48131","4813100000","Attorney General","statewide",3809,"Democrat","Justin Nelson",2689
"TX","Duval","48131","4813100000","Attorney General","statewide",3809,"Republican","Ken Paxton",1041
"TX","Duval","48131","4813100000","Attorney General","statewide",3809,"Libertarian","Michael Ray Harris",79
"TX","Eastland","48133","4813300000","Attorney General","statewide",6171,"Democrat","Justin Nelson",822
"TX","Eastland","48133","4813300000","Attorney General","statewide",6171,"Republican","Ken Paxton",5261
"TX","Eastland","48133","4813300000","Attorney General","statewide",6171,"Libertarian","Michael Ray Harris",88
"TX","Ector","48135","4813500000","Attorney General","statewide",30363,"Democrat","Justin Nelson",8903
"TX","Ector","48135","4813500000","Attorney General","statewide",30363,"Republican","Ken Paxton",20739
"TX","Ector","48135","4813500000","Attorney General","statewide",30363,"Libertarian","Michael Ray Harris",721
"TX","Edwards","48137","4813700000","Attorney General","statewide",726,"Democrat","Justin Nelson",121
"TX","Edwards","48137","4813700000","Attorney General","statewide",726,"Republican","Ken Paxton",588
"TX","Edwards","48137","4813700000","Attorney General","statewide",726,"Libertarian","Michael Ray Harris",17
"TX","El Paso","48141","4814100000","Attorney General","statewide",198134,"Democrat","Justin Nelson",137561
"TX","El Paso","48141","4814100000","Attorney General","statewide",198134,"Republican","Ken Paxton",53742
"TX","El Paso","48141","4814100000","Attorney General","statewide",198134,"Libertarian","Michael Ray Harris",6831
"TX","Ellis","48139","4813900000","Attorney General","statewide",60019,"Democrat","Justin Nelson",18586
"TX","Ellis","48139","4813900000","Attorney General","statewide",60019,"Republican","Ken Paxton",39882
"TX","Ellis","48139","4813900000","Attorney General","statewide",60019,"Libertarian","Michael Ray Harris",1551
"TX","Erath","48143","4814300000","Attorney General","statewide",12524,"Democrat","Justin Nelson",2476
"TX","Erath","48143","4814300000","Attorney General","statewide",12524,"Republican","Ken Paxton",9781
"TX","Erath","48143","4814300000","Attorney General","statewide",12524,"Libertarian","Michael Ray Harris",267
"TX","Falls","48145","4814500000","Attorney General","statewide",4639,"Democrat","Justin Nelson",1479
"TX","Falls","48145","4814500000","Attorney General","statewide",4639,"Republican","Ken Paxton",3083
"TX","Falls","48145","4814500000","Attorney General","statewide",4639,"Libertarian","Michael Ray Harris",77
"TX","Fannin","48147","4814700000","Attorney General","statewide",10683,"Democrat","Justin Nelson",2148
"TX","Fannin","48147","4814700000","Attorney General","statewide",10683,"Republican","Ken Paxton",8322
