"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"UT","Box Elder","49003","4900300000","Angela F. Fonnesbeck, Judge of the Juvenile Court of the First Juvenile Court District","",16872,"","NO",2599
"UT","Box Elder","49003","4900300000","Angela F. Fonnesbeck, Judge of the Juvenile Court of the First Juvenile Court District","",16872,"","YES",14273
"UT","Cache","49005","4900500000","Angela F. Fonnesbeck, Judge of the Juvenile Court of the First Juvenile Court District","",32806,"","NO",3954
"UT","Cache","49005","4900500000","Angela F. Fonnesbeck, Judge of the Juvenile Court of the First Juvenile Court District","",32806,"","YES",28852
"UT","Rich","49033","4903300000","Angela F. Fonnesbeck, Judge of the Juvenile Court of the First Juvenile Court District","",937,"","NO",107
"UT","Rich","49033","4903300000","Angela F. Fonnesbeck, Judge of the Juvenile Court of the First Juvenile Court District","",937,"","YES",830
"UT","Box Elder","49003","4900300000","Brandon J. Maynard, Judge of the District Cout of the First Judicial District?","",16981,"","NO",2916
"UT","Box Elder","49003","4900300000","Brandon J. Maynard, Judge of the District Cout of the First Judicial District?","",16981,"","YES",14065
"UT","Cache","49005","4900500000","Brandon J. Maynard, Judge of the District Cout of the First Judicial District?","",31687,"","NO",4829
"UT","Cache","49005","4900500000","Brandon J. Maynard, Judge of the District Cout of the First Judicial District?","",31687,"","YES",26858
"UT","Rich","49033","4903300000","Brandon J. Maynard, Judge of the District Cout of the First Judicial District?","",930,"","NO",132
"UT","Rich","49033","4903300000","Brandon J. Maynard, Judge of the District Cout of the First Judicial District?","",930,"","YES",798
"UT","Juab","49023","4902300000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",3590,"","NO",624
"UT","Juab","49023","4902300000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",3590,"","YES",2966
"UT","Millard","49027","4902700000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",4103,"","NO",971
"UT","Millard","49027","4902700000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",4103,"","YES",3132
"UT","Utah","49049","4904900000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",144568,"","NO",34102
"UT","Utah","49049","4904900000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",144568,"","YES",110466
"UT","Wasatch","49051","4905100000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",9709,"","NO",2247
"UT","Wasatch","49051","4905100000","Brent H. Bartholomew, Judge of the Juvenile Court of the Fourth Juvenile Court District","",9709,"","YES",7462
"UT","Juab","49023","4902300000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",2618,"","NO",518
"UT","Juab","49023","4902300000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",2618,"","YES",2100
"UT","Millard","49027","4902700000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",4065,"","NO",1003
"UT","Millard","49027","4902700000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",4065,"","YES",3062
"UT","Utah","49049","4904900000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",145776,"","NO",35350
"UT","Utah","49049","4904900000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",145776,"","YES",110426
"UT","Wasatch","49051","4905100000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",9760,"","NO",2067
"UT","Wasatch","49051","4905100000","Christine S. Johnson, Judge of the District Court of the Fourth Judicial District","",9760,"","YES",7693
"UT","Beaver","49001","4900100000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",1798,"","NO",403
"UT","Beaver","49001","4900100000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",1798,"","YES",1395
"UT","Box Elder","49003","4900300000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",16734,"","NO",3373
"UT","Box Elder","49003","4900300000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",16734,"","YES",13361
"UT","Cache","49005","4900500000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",32023,"","NO",4935
"UT","Cache","49005","4900500000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",32023,"","YES",27088
"UT","Carbon","49007","4900700000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",6400,"","NO",1063
"UT","Carbon","49007","4900700000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",6400,"","YES",5337
"UT","Daggett","49009","4900900000","Constandinos (Deno) Himonas, Justice of the Supreme Court","statewide",369,"","NO",91
