"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"VA","Arlington","51013","5101300000","Arlington Public Schools (ARLINGTON COUNTY)","",104488,"","No",18912
"VA","Arlington","51013","5101300000","Arlington Public Schools (ARLINGTON COUNTY)","",104488,"","Yes",85576
"VA","Prince William","51153","5115300000","Chairman - School Board (PRINCE WILLIAM COUNTY)","",153531,"","Alyson A. Satterwhite",63827
"VA","Prince William","51153","5115300000","Chairman - School Board (PRINCE WILLIAM COUNTY)","",153531,"","Babur B. Lateef",73247
"VA","Prince William","51153","5115300000","Chairman - School Board (PRINCE WILLIAM COUNTY)","",153531,"","Stanley Bender",14715
"VA","Prince William","51153","5115300000","Chairman - School Board (PRINCE WILLIAM COUNTY)","",153531,"","Write In",1742
"VA","Buckingham","51029","5102900000","Clerk of Court (BUCKINGHAM COUNTY)","",6041,"","C. T. 'Nicci' Edmondston",1379
"VA","Buckingham","51029","5102900000","Clerk of Court (BUCKINGHAM COUNTY)","",6041,"","David Wade Ball",50
"VA","Buckingham","51029","5102900000","Clerk of Court (BUCKINGHAM COUNTY)","",6041,"","Diane B. Blackburn",1666
"VA","Buckingham","51029","5102900000","Clerk of Court (BUCKINGHAM COUNTY)","",6041,"","Justin D. Midkiff",2599
"VA","Buckingham","51029","5102900000","Clerk of Court (BUCKINGHAM COUNTY)","",6041,"","Samuel G. 'Sam' Davis",333
"VA","Buckingham","51029","5102900000","Clerk of Court (BUCKINGHAM COUNTY)","",6041,"","Write In",14
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Deidre D. Martin",1760
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Eurika V. Tyree",1058
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","George L. 'Lee' Dowdy, III",229
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Lundy H. 'L. H.' Morgan, III",161
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Mildred A. 'Midge' Owens",239
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Rodney A. Davenport",189
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Susan Goodman Carden",516
"VA","Cumberland","51049","5104900000","Clerk of Court (CUMBERLAND COUNTY)","",4164,"","Write In",12
"VA","Giles","51071","5107100000","Clerk of Court (GILES COUNTY)","",6490,"","Sherry E. Gautier",3328
"VA","Giles","51071","5107100000","Clerk of Court (GILES COUNTY)","",6490,"","Write In",21
"VA","Giles","51071","5107100000","Clerk of Court (GILES COUNTY)","",6490,"","Yvette M. Pennington",3141
"VA","Prince Edward","51147","5114700000","Clerk of Court (PRINCE EDWARD COUNTY)","",6248,"","D. Lynnette Coe",6131
"VA","Prince Edward","51147","5114700000","Clerk of Court (PRINCE EDWARD COUNTY)","",6248,"","Write In",117
"VA","Wythe","51197","5119700000","Clerk of Court (WYTHE COUNTY)","",10541,"","James E. 'Jim' Workman II",638
"VA","Wythe","51197","5119700000","Clerk of Court (WYTHE COUNTY)","",10541,"","Jeremiah E. 'Moe' Musser",4493
"VA","Wythe","51197","5119700000","Clerk of Court (WYTHE COUNTY)","",10541,"","Karen L. Akers",1552
"VA","Wythe","51197","5119700000","Clerk of Court (WYTHE COUNTY)","",10541,"","Lennon E. Counts",3846
