"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"VT","Addison","50001","5000100325","ATTORNEY GENERAL","statewide",623,"Republican","JANSSEN WILLHOIT",245
"VT","Addison","50001","5000100325","ATTORNEY GENERAL","statewide",623,"Liberty Union","ROSEMARIE JACKOWSKI",8
"VT","Addison","50001","5000100325","ATTORNEY GENERAL","statewide",623,"Democrat","T.J. DONOVAN",370
"VT","Addison","50001","5000100325","ATTORNEY GENERAL","statewide",623,"","Write-ins",0
"VT","Albany","50019","5001900475","ATTORNEY GENERAL","statewide",386,"Republican","JANSSEN WILLHOIT",130
"VT","Albany","50019","5001900475","ATTORNEY GENERAL","statewide",386,"Liberty Union","ROSEMARIE JACKOWSKI",11
"VT","Albany","50019","5001900475","ATTORNEY GENERAL","statewide",386,"Democrat","T.J. DONOVAN",245
"VT","Albany","50019","5001900475","ATTORNEY GENERAL","statewide",386,"","Write-ins",0
"VT","Alburgh","50013","5001300700","ATTORNEY GENERAL","statewide",703,"Republican","JANSSEN WILLHOIT",257
"VT","Alburgh","50013","5001300700","ATTORNEY GENERAL","statewide",703,"Liberty Union","ROSEMARIE JACKOWSKI",19
"VT","Alburgh","50013","5001300700","ATTORNEY GENERAL","statewide",703,"Democrat","T.J. DONOVAN",427
"VT","Alburgh","50013","5001300700","ATTORNEY GENERAL","statewide",703,"","Write-ins",0
"VT","Andover","50027","5002701300","ATTORNEY GENERAL","statewide",293,"Republican","JANSSEN WILLHOIT",97
"VT","Andover","50027","5002701300","ATTORNEY GENERAL","statewide",293,"Liberty Union","ROSEMARIE JACKOWSKI",24
"VT","Andover","50027","5002701300","ATTORNEY GENERAL","statewide",293,"Democrat","T.J. DONOVAN",172
"VT","Andover","50027","5002701300","ATTORNEY GENERAL","statewide",293,"","Write-ins",0
"VT","Arlington","50003","5000301450","ATTORNEY GENERAL","statewide",1047,"Republican","JANSSEN WILLHOIT",325
"VT","Arlington","50003","5000301450","ATTORNEY GENERAL","statewide",1047,"Liberty Union","ROSEMARIE JACKOWSKI",80
"VT","Arlington","50003","5000301450","ATTORNEY GENERAL","statewide",1047,"Democrat","T.J. DONOVAN",642
"VT","Arlington","50003","5000301450","ATTORNEY GENERAL","statewide",1047,"","Write-ins",0
"VT","Athens","50025","5002501900","ATTORNEY GENERAL","statewide",139,"Republican","JANSSEN WILLHOIT",47
"VT","Athens","50025","5002501900","ATTORNEY GENERAL","statewide",139,"Liberty Union","ROSEMARIE JACKOWSKI",13
"VT","Athens","50025","5002501900","ATTORNEY GENERAL","statewide",139,"Democrat","T.J. DONOVAN",79
"VT","Athens","50025","5002501900","ATTORNEY GENERAL","statewide",139,"","Write-ins",0
"VT","Bakersfield","50011","5001102500","ATTORNEY GENERAL","statewide",508,"Republican","JANSSEN WILLHOIT",126
"VT","Bakersfield","50011","5001102500","ATTORNEY GENERAL","statewide",508,"Liberty Union","ROSEMARIE JACKOWSKI",20
"VT","Bakersfield","50011","5001102500","ATTORNEY GENERAL","statewide",508,"Democrat","T.J. DONOVAN",362
"VT","Bakersfield","50011","5001102500","ATTORNEY GENERAL","statewide",508,"","Write-ins",0
"VT","Baltimore","50027","5002702575","ATTORNEY GENERAL","statewide",99,"Republican","JANSSEN WILLHOIT",44
"VT","Baltimore","50027","5002702575","ATTORNEY GENERAL","statewide",99,"Liberty Union","ROSEMARIE JACKOWSKI",4
"VT","Baltimore","50027","5002702575","ATTORNEY GENERAL","statewide",99,"Democrat","T.J. DONOVAN",51
"VT","Baltimore","50027","5002702575","ATTORNEY GENERAL","statewide",99,"","Write-ins",0
"VT","Barnard","50027","5002702725","ATTORNEY GENERAL","statewide",512,"Republican","JANSSEN WILLHOIT",137
"VT","Barnard","50027","5002702725","ATTORNEY GENERAL","statewide",512,"Liberty Union","ROSEMARIE JACKOWSKI",20
"VT","Barnard","50027","5002702725","ATTORNEY GENERAL","statewide",512,"Democrat","T.J. DONOVAN",355
"VT","Barnard","50027","5002702725","ATTORNEY GENERAL","statewide",512,"","Write-ins",0
"VT","Barnet","50005","5000502875","ATTORNEY GENERAL","statewide",790,"Republican","JANSSEN WILLHOIT",297
"VT","Barnet","50005","5000502875","ATTORNEY GENERAL","statewide",790,"Liberty Union","ROSEMARIE JACKOWSKI",20
"VT","Barnet","50005","5000502875","ATTORNEY GENERAL","statewide",790,"Democrat","T.J. DONOVAN",473
"VT","Barnet","50005","5000502875","ATTORNEY GENERAL","statewide",790,"","Write-ins",0
"VT","Barre","50023","5002303175","ATTORNEY GENERAL","statewide",2582,"Republican","JANSSEN WILLHOIT",738
"VT","Barre","50023","5002303175","ATTORNEY GENERAL","statewide",2582,"Liberty Union","ROSEMARIE JACKOWSKI",87
"VT","Barre","50023","5002303175","ATTORNEY GENERAL","statewide",2582,"Democrat","T.J. DONOVAN",1757
"VT","Barre","50023","5002303175","ATTORNEY GENERAL","statewide",2582,"","Write-ins",0
"VT","Barre Town","50023","5002303250","ATTORNEY GENERAL","statewide",3512,"Republican","JANSSEN WILLHOIT",1358
"VT","Barre Town","50023","5002303250","ATTORNEY GENERAL","statewide",3512,"Liberty Union","ROSEMARIE JACKOWSKI",68
"VT","Barre Town","50023","5002303250","ATTORNEY GENERAL","statewide",3512,"Democrat","T.J. DONOVAN",2086
"VT","Barre Town","50023","5002303250","ATTORNEY GENERAL","statewide",3512,"","Write-ins",0
"VT","Barton","50019","5001903550","ATTORNEY GENERAL","statewide",878,"Republican","JANSSEN WILLHOIT",307
"VT","Barton","50019","5001903550","ATTORNEY GENERAL","statewide",878,"Liberty Union","ROSEMARIE JACKOWSKI",24
"VT","Barton","50019","5001903550","ATTORNEY GENERAL","statewide",878,"Democrat","T.J. DONOVAN",547
"VT","Barton","50019","5001903550","ATTORNEY GENERAL","statewide",878,"","Write-ins",0
"VT","Belvidere","50015","5001504375","ATTORNEY GENERAL","statewide",127,"Republican","JANSSEN WILLHOIT",60
"VT","Belvidere","50015","5001504375","ATTORNEY GENERAL","statewide",127,"Liberty Union","ROSEMARIE JACKOWSKI",5
"VT","Belvidere","50015","5001504375","ATTORNEY GENERAL","statewide",127,"Democrat","T.J. DONOVAN",62
"VT","Belvidere","50015","5001504375","ATTORNEY GENERAL","statewide",127,"","Write-ins",0
"VT","Bennington","50003","5000304825","ATTORNEY GENERAL","statewide",4838,"Republican","JANSSEN WILLHOIT",1270
"VT","Bennington","50003","5000304825","ATTORNEY GENERAL","statewide",4838,"Liberty Union","ROSEMARIE JACKOWSKI",641
"VT","Bennington","50003","5000304825","ATTORNEY GENERAL","statewide",4838,"Democrat","T.J. DONOVAN",2927
"VT","Bennington","50003","5000304825","ATTORNEY GENERAL","statewide",4838,"","Write-ins",0
"VT","Benson","50021","5002105200","ATTORNEY GENERAL","statewide",410,"Republican","JANSSEN WILLHOIT",178
"VT","Benson","50021","5002105200","ATTORNEY GENERAL","statewide",410,"Liberty Union","ROSEMARIE JACKOWSKI",18
"VT","Benson","50021","5002105200","ATTORNEY GENERAL","statewide",410,"Democrat","T.J. DONOVAN",214
"VT","Benson","50021","5002105200","ATTORNEY GENERAL","statewide",410,"","Write-ins",0
"VT","Berkshire","50011","5001105425","ATTORNEY GENERAL","statewide",491,"Republican","JANSSEN WILLHOIT",204
"VT","Berkshire","50011","5001105425","ATTORNEY GENERAL","statewide",491,"Liberty Union","ROSEMARIE JACKOWSKI",14
"VT","Berkshire","50011","5001105425","ATTORNEY GENERAL","statewide",491,"Democrat","T.J. DONOVAN",273
"VT","Berkshire","50011","5001105425","ATTORNEY GENERAL","statewide",491,"","Write-ins",0
"VT","Berlin","50023","5002305650","ATTORNEY GENERAL","statewide",1136,"Republican","JANSSEN WILLHOIT",364
"VT","Berlin","50023","5002305650","ATTORNEY GENERAL","statewide",1136,"Liberty Union","ROSEMARIE JACKOWSKI",22
"VT","Berlin","50023","5002305650","ATTORNEY GENERAL","statewide",1136,"Democrat","T.J. DONOVAN",750
"VT","Berlin","50023","5002305650","ATTORNEY GENERAL","statewide",1136,"","Write-ins",0
"VT","Bethel","50027","5002705800","ATTORNEY GENERAL","statewide",875,"Republican","JANSSEN WILLHOIT",247
"VT","Bethel","50027","5002705800","ATTORNEY GENERAL","statewide",875,"Liberty Union","ROSEMARIE JACKOWSKI",28
"VT","Bethel","50027","5002705800","ATTORNEY GENERAL","statewide",875,"Democrat","T.J. DONOVAN",600
"VT","Bethel","50027","5002705800","ATTORNEY GENERAL","statewide",875,"","Write-ins",0
"VT","Bloomfield","50009","5000906325","ATTORNEY GENERAL","statewide",69,"Republican","JANSSEN WILLHOIT",38
"VT","Bloomfield","50009","5000906325","ATTORNEY GENERAL","statewide",69,"Liberty Union","ROSEMARIE JACKOWSKI",2
"VT","Bloomfield","50009","5000906325","ATTORNEY GENERAL","statewide",69,"Democrat","T.J. DONOVAN",29
"VT","Bloomfield","50009","5000906325","ATTORNEY GENERAL","statewide",69,"","Write-ins",0
"VT","Bolton","50007","5000706550","ATTORNEY GENERAL","statewide",620,"Republican","JANSSEN WILLHOIT",131
"VT","Bolton","50007","5000706550","ATTORNEY GENERAL","statewide",620,"Liberty Union","ROSEMARIE JACKOWSKI",38
"VT","Bolton","50007","5000706550","ATTORNEY GENERAL","statewide",620,"Democrat","T.J. DONOVAN",451
"VT","Bolton","50007","5000706550","ATTORNEY GENERAL","statewide",620,"","Write-ins",0
"VT","Bradford","50017","5001707375","ATTORNEY GENERAL","statewide",1008,"Republican","JANSSEN WILLHOIT",311
"VT","Bradford","50017","5001707375","ATTORNEY GENERAL","statewide",1008,"Liberty Union","ROSEMARIE JACKOWSKI",28
"VT","Bradford","50017","5001707375","ATTORNEY GENERAL","statewide",1008,"Democrat","T.J. DONOVAN",669
"VT","Bradford","50017","5001707375","ATTORNEY GENERAL","statewide",1008,"","Write-ins",0
"VT","Braintree","50017","5001707600","ATTORNEY GENERAL","statewide",511,"Republican","JANSSEN WILLHOIT",159
"VT","Braintree","50017","5001707600","ATTORNEY GENERAL","statewide",511,"Liberty Union","ROSEMARIE JACKOWSKI",18
"VT","Braintree","50017","5001707600","ATTORNEY GENERAL","statewide",511,"Democrat","T.J. DONOVAN",334
"VT","Braintree","50017","5001707600","ATTORNEY GENERAL","statewide",511,"","Write-ins",0
"VT","Brandon","50021","5002107750","ATTORNEY GENERAL","statewide",1536,"Republican","JANSSEN WILLHOIT",511
"VT","Brandon","50021","5002107750","ATTORNEY GENERAL","statewide",1536,"Liberty Union","ROSEMARIE JACKOWSKI",52
"VT","Brandon","50021","5002107750","ATTORNEY GENERAL","statewide",1536,"Democrat","T.J. DONOVAN",973
"VT","Brandon","50021","5002107750","ATTORNEY GENERAL","statewide",1536,"","Write-ins",0
"VT","Brattleboro","50025","5002507900","ATTORNEY GENERAL","statewide",4986,"Republican","JANSSEN WILLHOIT",677
"VT","Brattleboro","50025","5002507900","ATTORNEY GENERAL","statewide",4986,"Liberty Union","ROSEMARIE JACKOWSKI",286
"VT","Brattleboro","50025","5002507900","ATTORNEY GENERAL","statewide",4986,"Democrat","T.J. DONOVAN",4023
"VT","Brattleboro","50025","5002507900","ATTORNEY GENERAL","statewide",4986,"","Write-ins",0
"VT","Bridgewater","50027","5002708275","ATTORNEY GENERAL","statewide",417,"Republican","JANSSEN WILLHOIT",142
"VT","Bridgewater","50027","5002708275","ATTORNEY GENERAL","statewide",417,"Liberty Union","ROSEMARIE JACKOWSKI",19
"VT","Bridgewater","50027","5002708275","ATTORNEY GENERAL","statewide",417,"Democrat","T.J. DONOVAN",256
"VT","Bridgewater","50027","5002708275","ATTORNEY GENERAL","statewide",417,"","Write-ins",0
"VT","Bridport","50001","5000108575","ATTORNEY GENERAL","statewide",565,"Republican","JANSSEN WILLHOIT",206
"VT","Bridport","50001","5000108575","ATTORNEY GENERAL","statewide",565,"Liberty Union","ROSEMARIE JACKOWSKI",15
"VT","Bridport","50001","5000108575","ATTORNEY GENERAL","statewide",565,"Democrat","T.J. DONOVAN",344
"VT","Bridport","50001","5000108575","ATTORNEY GENERAL","statewide",565,"","Write-ins",0
"VT","Brighton","50009","5000908725","ATTORNEY GENERAL","statewide",445,"Republican","JANSSEN WILLHOIT",209
"VT","Brighton","50009","5000908725","ATTORNEY GENERAL","statewide",445,"Liberty Union","ROSEMARIE JACKOWSKI",11
"VT","Brighton","50009","5000908725","ATTORNEY GENERAL","statewide",445,"Democrat","T.J. DONOVAN",225
"VT","Brighton","50009","5000908725","ATTORNEY GENERAL","statewide",445,"","Write-ins",0
"VT","Bristol","50001","5000109025","ATTORNEY GENERAL","statewide",1672,"Republican","JANSSEN WILLHOIT",416
"VT","Bristol","50001","5000109025","ATTORNEY GENERAL","statewide",1672,"Liberty Union","ROSEMARIE JACKOWSKI",55
"VT","Bristol","50001","5000109025","ATTORNEY GENERAL","statewide",1672,"Democrat","T.J. DONOVAN",1201
"VT","Bristol","50001","5000109025","ATTORNEY GENERAL","statewide",1672,"","Write-ins",0
"VT","Brookfield","50017","5001709325","ATTORNEY GENERAL","statewide",649,"Republican","JANSSEN WILLHOIT",212
"VT","Brookfield","50017","5001709325","ATTORNEY GENERAL","statewide",649,"Liberty Union","ROSEMARIE JACKOWSKI",19
"VT","Brookfield","50017","5001709325","ATTORNEY GENERAL","statewide",649,"Democrat","T.J. DONOVAN",418
"VT","Brookfield","50017","5001709325","ATTORNEY GENERAL","statewide",649,"","Write-ins",0
"VT","Brookline","50025","5002509475","ATTORNEY GENERAL","statewide",220,"Republican","JANSSEN WILLHOIT",64
"VT","Brookline","50025","5002509475","ATTORNEY GENERAL","statewide",220,"Liberty Union","ROSEMARIE JACKOWSKI",12
"VT","Brookline","50025","5002509475","ATTORNEY GENERAL","statewide",220,"Democrat","T.J. DONOVAN",144
"VT","Brookline","50025","5002509475","ATTORNEY GENERAL","statewide",220,"","Write-ins",0
"VT","Brownington","50019","5001909850","ATTORNEY GENERAL","statewide",307,"Republican","JANSSEN WILLHOIT",121
"VT","Brownington","50019","5001909850","ATTORNEY GENERAL","statewide",307,"Liberty Union","ROSEMARIE JACKOWSKI",10
