"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"WA","Adams","53001","5300100000","ADAMS COUNTY Assessor","",3507,"Republican","Sherri L Brewer",3507
"WA","Adams","53001","5300100000","ADAMS COUNTY Auditor","",3527,"Republican","Heidi K. Hunt",3527
"WA","Adams","53001","5300100000","ADAMS COUNTY Clerk","",3429,"Republican","Paulette J. Teske",3429
"WA","Adams","53001","5300100000","ADAMS COUNTY County Commissioner District 3","",3828,"Republican","Miguel A. 'Mike' Garza",1651
"WA","Adams","53001","5300100000","ADAMS COUNTY County Commissioner District 3","",3828,"Republican","Terry Thompson",2177
"WA","Adams","53001","5300100000","ADAMS COUNTY District Court Judge Position 1","",3287,"","Adalia A. Hille",3287
"WA","Adams","53001","5300100000","ADAMS COUNTY District Court Judge Position 2","",2989,"","Carolyn J. Benzel",2989
"WA","Adams","53001","5300100000","ADAMS COUNTY Prosecutor","",3334,"Republican","Randy J. Flyckt",3334
"WA","Adams","53001","5300100000","ADAMS COUNTY Sheriff","",3424,"Republican","Dale J. Wagner",3424
"WA","Adams","53001","5300100000","ADAMS COUNTY Special Election Proposition 1 Adams County Sales and Use Tax","",4146,"","Approved",2108
"WA","Adams","53001","5300100000","ADAMS COUNTY Special Election Proposition 1 Adams County Sales and Use Tax","",4146,"","Rejected",2038
"WA","Adams","53001","5300100000","ADAMS COUNTY Treasurer","",3675,"Republican","Janet L. Manke",1414
"WA","Adams","53001","5300100000","ADAMS COUNTY Treasurer","",3675,"Republican","Kayla M. Meise",2261
"WA","Adams","53001","5300100000","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","",3991,"","Maintained",853
"WA","Adams","53001","5300100000","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","",3991,"","Repealed",3138
"WA","Asotin","53003","5300300000","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","",8655,"","Maintained",2583
"WA","Asotin","53003","5300300000","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","",8655,"","Repealed",6072
"WA","Benton","53005","5300500000","Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","",70967,"","Maintained",20718
