"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"WI","Adams","55001","5500100000","ATTORNEY GENERAL","statewide",9269,"Republican","Brad Schimel",5243
"WI","Adams","55001","5500100000","ATTORNEY GENERAL","statewide",9269,"Democrat","Josh Kaul",3818
"WI","Adams","55001","5500100000","ATTORNEY GENERAL","statewide",9269,"","SCATTERING",0
"WI","Adams","55001","5500100000","ATTORNEY GENERAL","statewide",9269,"Constitution","Terry Larson",208
"WI","Ashland","55003","5500300000","ATTORNEY GENERAL","statewide",6736,"Republican","Brad Schimel",2527
"WI","Ashland","55003","5500300000","ATTORNEY GENERAL","statewide",6736,"Democrat","Josh Kaul",4089
"WI","Ashland","55003","5500300000","ATTORNEY GENERAL","statewide",6736,"","SCATTERING",3
"WI","Ashland","55003","5500300000","ATTORNEY GENERAL","statewide",6736,"Constitution","Terry Larson",117
"WI","Barron","55005","5500500000","ATTORNEY GENERAL","statewide",18341,"Republican","Brad Schimel",10447
"WI","Barron","55005","5500500000","ATTORNEY GENERAL","statewide",18341,"Democrat","Josh Kaul",7511
"WI","Barron","55005","5500500000","ATTORNEY GENERAL","statewide",18341,"","SCATTERING",1
"WI","Barron","55005","5500500000","ATTORNEY GENERAL","statewide",18341,"Constitution","Terry Larson",382
"WI","Bayfield","55007","5500700000","ATTORNEY GENERAL","statewide",8636,"Republican","Brad Schimel",3403
"WI","Bayfield","55007","5500700000","ATTORNEY GENERAL","statewide",8636,"Democrat","Josh Kaul",5113
"WI","Bayfield","55007","5500700000","ATTORNEY GENERAL","statewide",8636,"","SCATTERING",0
"WI","Bayfield","55007","5500700000","ATTORNEY GENERAL","statewide",8636,"Constitution","Terry Larson",120
"WI","Brown","55009","5500900000","ATTORNEY GENERAL","statewide",114479,"Republican","Brad Schimel",60756
"WI","Brown","55009","5500900000","ATTORNEY GENERAL","statewide",114479,"Democrat","Josh Kaul",51557
"WI","Brown","55009","5500900000","ATTORNEY GENERAL","statewide",114479,"","SCATTERING",54
"WI","Brown","55009","5500900000","ATTORNEY GENERAL","statewide",114479,"Constitution","Terry Larson",2112
"WI","Buffalo","55011","5501100000","ATTORNEY GENERAL","statewide",5843,"Republican","Brad Schimel",3322
"WI","Buffalo","55011","5501100000","ATTORNEY GENERAL","statewide",5843,"Democrat","Josh Kaul",2362
"WI","Buffalo","55011","5501100000","ATTORNEY GENERAL","statewide",5843,"","SCATTERING",1
"WI","Buffalo","55011","5501100000","ATTORNEY GENERAL","statewide",5843,"Constitution","Terry Larson",158
"WI","Burnett","55013","5501300000","ATTORNEY GENERAL","statewide",7509,"Republican","Brad Schimel",4466
"WI","Burnett","55013","5501300000","ATTORNEY GENERAL","statewide",7509,"Democrat","Josh Kaul",2835
"WI","Burnett","55013","5501300000","ATTORNEY GENERAL","statewide",7509,"","SCATTERING",0
"WI","Burnett","55013","5501300000","ATTORNEY GENERAL","statewide",7509,"Constitution","Terry Larson",208
"WI","Calumet","55015","5501500000","ATTORNEY GENERAL","statewide",23483,"Republican","Brad Schimel",14059
"WI","Calumet","55015","5501500000","ATTORNEY GENERAL","statewide",23483,"Democrat","Josh Kaul",9025
"WI","Calumet","55015","5501500000","ATTORNEY GENERAL","statewide",23483,"","SCATTERING",0
"WI","Calumet","55015","5501500000","ATTORNEY GENERAL","statewide",23483,"Constitution","Terry Larson",399
"WI","Chippewa","55017","5501700000","ATTORNEY GENERAL","statewide",27423,"Republican","Brad Schimel",15341
"WI","Chippewa","55017","5501700000","ATTORNEY GENERAL","statewide",27423,"Democrat","Josh Kaul",11347
"WI","Chippewa","55017","5501700000","ATTORNEY GENERAL","statewide",27423,"","SCATTERING",0
"WI","Chippewa","55017","5501700000","ATTORNEY GENERAL","statewide",27423,"Constitution","Terry Larson",735
"WI","Clark","55019","5501900000","ATTORNEY GENERAL","statewide",11546,"Republican","Brad Schimel",7147
"WI","Clark","55019","5501900000","ATTORNEY GENERAL","statewide",11546,"Democrat","Josh Kaul",4077
"WI","Clark","55019","5501900000","ATTORNEY GENERAL","statewide",11546,"","SCATTERING",0
"WI","Clark","55019","5501900000","ATTORNEY GENERAL","statewide",11546,"Constitution","Terry Larson",322
"WI","Columbia","55021","5502100000","ATTORNEY GENERAL","statewide",26614,"Republican","Brad Schimel",12696
"WI","Columbia","55021","5502100000","ATTORNEY GENERAL","statewide",26614,"Democrat","Josh Kaul",13391
"WI","Columbia","55021","5502100000","ATTORNEY GENERAL","statewide",26614,"","SCATTERING",9
"WI","Columbia","55021","5502100000","ATTORNEY GENERAL","statewide",26614,"Constitution","Terry Larson",518
"WI","Crawford","55023","5502300000","ATTORNEY GENERAL","statewide",6548,"Republican","Brad Schimel",3092
"WI","Crawford","55023","5502300000","ATTORNEY GENERAL","statewide",6548,"Democrat","Josh Kaul",3292
"WI","Crawford","55023","5502300000","ATTORNEY GENERAL","statewide",6548,"","SCATTERING",0
"WI","Crawford","55023","5502300000","ATTORNEY GENERAL","statewide",6548,"Constitution","Terry Larson",164
"WI","Dane","55025","5502500000","ATTORNEY GENERAL","statewide",291571,"Republican","Brad Schimel",73022
"WI","Dane","55025","5502500000","ATTORNEY GENERAL","statewide",291571,"Democrat","Josh Kaul",214831
"WI","Dane","55025","5502500000","ATTORNEY GENERAL","statewide",291571,"","SCATTERING",183
"WI","Dane","55025","5502500000","ATTORNEY GENERAL","statewide",291571,"Constitution","Terry Larson",3535
"WI","Dodge","55027","5502700000","ATTORNEY GENERAL","statewide",37511,"Republican","Brad Schimel",23504
"WI","Dodge","55027","5502700000","ATTORNEY GENERAL","statewide",37511,"Democrat","Josh Kaul",13379
"WI","Dodge","55027","5502700000","ATTORNEY GENERAL","statewide",37511,"","SCATTERING",0
"WI","Dodge","55027","5502700000","ATTORNEY GENERAL","statewide",37511,"Constitution","Terry Larson",628
"WI","Door","55029","5502900000","ATTORNEY GENERAL","statewide",16836,"Republican","Brad Schimel",8311
"WI","Door","55029","5502900000","ATTORNEY GENERAL","statewide",16836,"Democrat","Josh Kaul",8232
"WI","Door","55029","5502900000","ATTORNEY GENERAL","statewide",16836,"","SCATTERING",5
"WI","Door","55029","5502900000","ATTORNEY GENERAL","statewide",16836,"Constitution","Terry Larson",288
"WI","Douglas","55031","5503100000","ATTORNEY GENERAL","statewide",18590,"Republican","Brad Schimel",7191
"WI","Douglas","55031","5503100000","ATTORNEY GENERAL","statewide",18590,"Democrat","Josh Kaul",11034
"WI","Douglas","55031","5503100000","ATTORNEY GENERAL","statewide",18590,"","SCATTERING",5
"WI","Douglas","55031","5503100000","ATTORNEY GENERAL","statewide",18590,"Constitution","Terry Larson",360
"WI","Dunn","55033","5503300000","ATTORNEY GENERAL","statewide",18182,"Republican","Brad Schimel",9139
"WI","Dunn","55033","5503300000","ATTORNEY GENERAL","statewide",18182,"Democrat","Josh Kaul",8537
"WI","Dunn","55033","5503300000","ATTORNEY GENERAL","statewide",18182,"","SCATTERING",0
"WI","Dunn","55033","5503300000","ATTORNEY GENERAL","statewide",18182,"Constitution","Terry Larson",506
"WI","Eau Claire","55035","5503500000","ATTORNEY GENERAL","statewide",48252,"Republican","Brad Schimel",20547
"WI","Eau Claire","55035","5503500000","ATTORNEY GENERAL","statewide",48252,"Democrat","Josh Kaul",26483
"WI","Eau Claire","55035","5503500000","ATTORNEY GENERAL","statewide",48252,"","SCATTERING",24
"WI","Eau Claire","55035","5503500000","ATTORNEY GENERAL","statewide",48252,"Constitution","Terry Larson",1198
