"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"WV","Barbour","54001","5400100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",4899,"Non-partisan","Against the Amendment",2400
"WV","Barbour","54001","5400100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",4899,"Non-partisan","For the Amendment",2499
"WV","Berkeley","54003","5400300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",33651,"Non-partisan","Against the Amendment",16066
"WV","Berkeley","54003","5400300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",33651,"Non-partisan","For the Amendment",17585
"WV","Boone","54005","5400500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",6627,"Non-partisan","Against the Amendment",3121
"WV","Boone","54005","5400500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",6627,"Non-partisan","For the Amendment",3506
"WV","Braxton","54007","5400700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",3947,"Non-partisan","Against the Amendment",1954
"WV","Braxton","54007","5400700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",3947,"Non-partisan","For the Amendment",1993
"WV","Brooke","54009","5400900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",7527,"Non-partisan","Against the Amendment",3719
"WV","Brooke","54009","5400900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",7527,"Non-partisan","For the Amendment",3808
"WV","Cabell","54011","5401100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",28817,"Non-partisan","Against the Amendment",14956
"WV","Cabell","54011","5401100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",28817,"Non-partisan","For the Amendment",13861
"WV","Calhoun","54013","5401300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",2103,"Non-partisan","Against the Amendment",1111
"WV","Calhoun","54013","5401300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",2103,"Non-partisan","For the Amendment",992
"WV","Clay","54015","5401500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",2251,"Non-partisan","Against the Amendment",942
"WV","Clay","54015","5401500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",2251,"Non-partisan","For the Amendment",1309
"WV","Doddridge","54017","5401700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",2185,"Non-partisan","Against the Amendment",819
"WV","Doddridge","54017","5401700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",2185,"Non-partisan","For the Amendment",1366
"WV","Fayette","54019","5401900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",12150,"Non-partisan","Against the Amendment",5845
"WV","Fayette","54019","5401900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",12150,"Non-partisan","For the Amendment",6305
"WV","Gilmer","54021","5402100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",1893,"Non-partisan","Against the Amendment",857
"WV","Gilmer","54021","5402100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",1893,"Non-partisan","For the Amendment",1036
"WV","Grant","54023","5402300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",3573,"Non-partisan","Against the Amendment",1164
"WV","Grant","54023","5402300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",3573,"Non-partisan","For the Amendment",2409
"WV","Greenbrier","54025","5402500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",12053,"Non-partisan","Against the Amendment",6272
"WV","Greenbrier","54025","5402500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",12053,"Non-partisan","For the Amendment",5781
"WV","Hampshire","54027","5402700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",6518,"Non-partisan","Against the Amendment",2734
"WV","Hampshire","54027","5402700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",6518,"Non-partisan","For the Amendment",3784
"WV","Hancock","54029","5402900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",9878,"Non-partisan","Against the Amendment",4652
"WV","Hancock","54029","5402900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",9878,"Non-partisan","For the Amendment",5226
"WV","Hardy","54031","5403100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",4345,"Non-partisan","Against the Amendment",2136
"WV","Hardy","54031","5403100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",4345,"Non-partisan","For the Amendment",2209
"WV","Harrison","54033","5403300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",22404,"Non-partisan","Against the Amendment",10076
"WV","Harrison","54033","5403300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",22404,"Non-partisan","For the Amendment",12328
"WV","Jackson","54035","5403500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",9970,"Non-partisan","Against the Amendment",4191
"WV","Jackson","54035","5403500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",9970,"Non-partisan","For the Amendment",5779
"WV","Jefferson","54037","5403700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",20760,"Non-partisan","Against the Amendment",11715
"WV","Jefferson","54037","5403700000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",20760,"Non-partisan","For the Amendment",9045
"WV","Kanawha","54039","5403900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",63184,"Non-partisan","Against the Amendment",34911
"WV","Kanawha","54039","5403900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",63184,"Non-partisan","For the Amendment",28273
"WV","Lewis","54041","5404100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",5438,"Non-partisan","Against the Amendment",2429
"WV","Lewis","54041","5404100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",5438,"Non-partisan","For the Amendment",3009
"WV","Lincoln","54043","5404300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",5381,"Non-partisan","Against the Amendment",2469
"WV","Lincoln","54043","5404300000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",5381,"Non-partisan","For the Amendment",2912
"WV","Logan","54045","5404500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",8994,"Non-partisan","Against the Amendment",3780
"WV","Logan","54045","5404500000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",8994,"Non-partisan","For the Amendment",5214
"WV","Marion","54049","5404900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",19017,"Non-partisan","Against the Amendment",9720
"WV","Marion","54049","5404900000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",19017,"Non-partisan","For the Amendment",9297
"WV","Marshall","54051","5405100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",10501,"Non-partisan","Against the Amendment",4910
"WV","Marshall","54051","5405100000","Amendment No. 1: No Constitutional Right to Abortion Amendment (Vote for Vote For 1)","statewide",10501,"Non-partisan","For the Amendment",5591
