"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"WY","Converse","56009","5600900000","Circuit Court Judge","Eighth Judicial District",4318,"","No - Randal R. Arp",654
"WY","Converse","56009","5600900000","Circuit Court Judge","Eighth Judicial District",4318,"","Yes - Randal R. Arp",3664
"WY","Goshen","56015","5601500000","Circuit Court Judge","Eighth Judicial District",4493,"","No - Randal R. Arp",692
"WY","Goshen","56015","5601500000","Circuit Court Judge","Eighth Judicial District",4493,"","Yes - Randal R. Arp",3801
"WY","Niobrara","56027","5602700000","Circuit Court Judge","Eighth Judicial District",988,"","No - Randal R. Arp",191
"WY","Niobrara","56027","5602700000","Circuit Court Judge","Eighth Judicial District",988,"","Yes - Randal R. Arp",797
"WY","Platte","56031","5603100000","Circuit Court Judge","Eighth Judicial District",3351,"","No - Randal R. Arp",668
"WY","Platte","56031","5603100000","Circuit Court Judge","Eighth Judicial District",3351,"","Yes - Randal R. Arp",2683
"WY","Big Horn","56003","5600300000","Circuit Court Judge","Fifth Judicial District",3861,"","No - Bruce B. Waters",539
"WY","Big Horn","56003","5600300000","Circuit Court Judge","Fifth Judicial District",3861,"","Yes - Bruce B. Waters",3322
"WY","Hot Springs","56017","5601700000","Circuit Court Judge","Fifth Judicial District",1913,"","No - Bruce B. Waters",319
"WY","Hot Springs","56017","5601700000","Circuit Court Judge","Fifth Judicial District",1913,"","Yes - Bruce B. Waters",1594
"WY","Park","56029","5602900000","Circuit Court Judge","Fifth Judicial District",10616,"","No - Bruce B. Waters",1625
"WY","Park","56029","5602900000","Circuit Court Judge","Fifth Judicial District",10616,"","Yes - Bruce B. Waters",8991
"WY","Washakie","56043","5604300000","Circuit Court Judge","Fifth Judicial District",2675,"","No - Bruce B. Waters",368
"WY","Washakie","56043","5604300000","Circuit Court Judge","Fifth Judicial District",2675,"","Yes - Bruce B. Waters",2307
"WY","Laramie","56021","5602100000","Circuit Court Judge","First Judicial District",29806,"","No - Denise Nau",11081
"WY","Laramie","56021","5602100000","Circuit Court Judge","First Judicial District",29806,"","Yes - Denise Nau",18725
"WY","Johnson","56019","5601900000","Circuit Court Judge","Fourth Judicial District",3528,"","No - Shelley A. Cundiff",1952
"WY","Johnson","56019","5601900000","Circuit Court Judge","Fourth Judicial District",3528,"","Yes - Shelley A. Cundiff",1576
"WY","Sheridan","56033","5603300000","Circuit Court Judge","Fourth Judicial District",10260,"","No - Shelley A. Cundiff",2558
"WY","Sheridan","56033","5603300000","Circuit Court Judge","Fourth Judicial District",10260,"","Yes - Shelley A. Cundiff",7702
"WY","Fremont","56013","5601300000","Circuit Court Judge","Ninth Judicial District",12432,"","No - Wesley A. Roberts",2435
"WY","Fremont","56013","5601300000","Circuit Court Judge","Ninth Judicial District",12432,"","Yes - Wesley A. Roberts",9997
"WY","Sublette","56035","5603500000","Circuit Court Judge","Ninth Judicial District",2824,"","No - Wesley A. Roberts",443
"WY","Sublette","56035","5603500000","Circuit Court Judge","Ninth Judicial District",2824,"","Yes - Wesley A. Roberts",2381
"WY","Teton","56039","5603900000","Circuit Court Judge","Ninth Judicial District",8475,"","No - Wesley A. Roberts",1184
"WY","Teton","56039","5603900000","Circuit Court Judge","Ninth Judicial District",8475,"","Yes - Wesley A. Roberts",7291
"WY","Albany","56001","5600100000","Circuit Court Judge","Second Judicial District",12240,"","No - Robert A. Castor",2150
"WY","Albany","56001","5600100000","Circuit Court Judge","Second Judicial District",12240,"","Yes - Robert A. Castor",10090
"WY","Carbon","56007","5600700000","Circuit Court Judge","Second Judicial District",4484,"","No - Robert A. Castor",778
"WY","Carbon","56007","5600700000","Circuit Court Judge","Second Judicial District",4484,"","Yes - Robert A. Castor",3706
"WY","Natrona","56025","5602500000","Circuit Court Judge","Seventh Judicial District",21258,"","No - Michael N. Patchen",3645
"WY","Natrona","56025","5602500000","Circuit Court Judge","Seventh Judicial District",21258,"","Yes - Michael N. Patchen",17613
"WY","Campbell","56005","5600500000","Circuit Court Judge","Sixth Judicial District",11540,"","No - Paul S. Phillips",1856
"WY","Campbell","56005","5600500000","Circuit Court Judge","Sixth Judicial District",11540,"","Yes - Paul S. Phillips",9684
"WY","Crook","56011","5601100000","Circuit Court Judge","Sixth Judicial District",2530,"","No - Paul S. Phillips",424
"WY","Crook","56011","5601100000","Circuit Court Judge","Sixth Judicial District",2530,"","Yes - Paul S. Phillips",2106
"WY","Weston","56045","5604500000","Circuit Court Judge","Sixth Judicial District",2334,"","No - Paul S. Phillips",530
"WY","Weston","56045","5604500000","Circuit Court Judge","Sixth Judicial District",2334,"","Yes - Paul S. Phillips",1804
"WY","Lincoln","56023","5602300000","Circuit Court Judge","Third Judicial District",18390,"","No - Craig L. Jones",1011
"WY","Lincoln","56023","5602300000","Circuit Court Judge","Third Judicial District",18390,"","No - Frank J. Zebre",1125
"WY","Lincoln","56023","5602300000","Circuit Court Judge","Third Judicial District",18390,"","No - John R. Prokos",1061
"WY","Lincoln","56023","5602300000","Circuit Court Judge","Third Judicial District",18390,"","Yes - Craig L. Jones",5043
"WY","Lincoln","56023","5602300000","Circuit Court Judge","Third Judicial District",18390,"","Yes - Frank J. Zebre",5199
"WY","Lincoln","56023","5602300000","Circuit Court Judge","Third Judicial District",18390,"","Yes - John R. Prokos",4951
"WY","Sweetwater","56037","5603700000","Circuit Court Judge","Third Judicial District",33100,"","No - Craig L. Jones",2607
